年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量,聚类标签4数量,聚类标签5数量,聚类标签6数量,聚类标签7数量,聚类标签8数量,聚类标签9数量,聚类标签10数量,聚类标签11数量,聚类标签12数量,聚类标签13数量,聚类标签14数量
200305,20,39,0,1,31,2,0,0,17,3,16,19,18,6,14
200405,34,27,0,12,35,17,0,1,1,0,4,5,12,25,13
200505,21,25,7,4,22,3,8,21,8,22,8,11,11,3,12
200605,30,13,0,9,29,1,0,1,21,2,39,1,0,33,7
200705,36,30,0,12,33,10,0,1,8,1,10,8,8,15,14
200805,7,2,0,42,2,29,0,3,0,0,6,1,45,37,12
200905,37,7,0,17,36,6,0,0,0,0,17,0,10,50,6
201005,32,17,0,21,33,9,0,1,4,0,22,2,5,32,8
201105,38,12,0,10,37,2,0,1,3,0,18,0,4,56,5
201205,35,32,0,2,15,6,0,1,31,21,6,10,15,6,6
201305,5,18,9,5,7,17,26,23,29,16,12,3,10,3,3
201405,27,28,0,9,35,8,1,2,12,2,26,4,3,24,5
201505,25,22,6,22,14,8,2,3,8,8,0,13,24,4,27
201605,33,40,0,7,30,2,0,2,12,1,7,17,13,6,16
201705,36,31,0,10,35,7,0,0,6,2,7,8,11,21,12
201805,13,17,1,5,16,0,1,6,38,55,1,17,5,0,11
201905,9,11,12,0,16,18,10,8,48,7,33,2,4,8,0
202005,13,46,0,17,27,0,0,0,6,8,0,52,12,0,5
