longitude,latitude,region_id,tmp,ndvi,年份,year,month,聚类标签
112.952246,24.688057,1,9.725,0.73399997,200302,2003,2,1
112.965083,24.688057,2,10.175,0.7256,200302,2003,2,1
112.97792,24.688057,3,10.65,0.55329996,200302,2003,2,1
112.862387,24.696527,4,10.775,0.5029,200302,2003,2,1
112.888061,24.696527,5,8.35,0.6415,200302,2003,2,1
112.939409,24.696527,6,9.0,0.75689995,200302,2003,2,3
112.952246,24.696527,7,9.45,0.7334,200302,2003,2,1
112.965083,24.696527,8,10.175,0.7026,200302,2003,2,1
112.97792,24.696527,9,10.65,0.6598,200302,2003,2,1
112.990757,24.696527,10,10.7,0.5816,200302,2003,2,1
113.003594,24.696527,11,10.65,0.6532,200302,2003,2,1
113.016431,24.696527,12,10.675,0.6146,200302,2003,2,1
112.84955,24.704997,13,11.025,0.3868,200302,2003,2,2
112.862387,24.704997,14,10.85,0.3868,200302,2003,2,2
112.875224,24.704997,15,9.65,0.6163,200302,2003,2,1
112.888061,24.704997,16,8.7,0.6534,200302,2003,2,1
112.900898,24.704997,17,7.300000000000001,0.8551,200302,2003,2,3
112.913735,24.704997,18,7.800000000000001,0.78819996,200302,2003,2,3
112.926572,24.704997,19,8.5,0.66999996,200302,2003,2,1
112.939409,24.704997,20,8.85,0.4967,200302,2003,2,1
112.952246,24.704997,21,9.4,0.5995,200302,2003,2,1
112.965083,24.704997,22,9.975,0.6878,200302,2003,2,1
112.97792,24.704997,23,10.45,0.7102,200302,2003,2,1
112.990757,24.704997,24,10.575,0.58779997,200302,2003,2,1
113.003594,24.704997,25,10.65,0.6554,200302,2003,2,1
113.016431,24.704997,26,10.675,0.6213,200302,2003,2,1
112.84955,24.713467,27,10.7,0.4912,200302,2003,2,1
112.862387,24.713467,28,10.1,0.4581,200302,2003,2,1
112.875224,24.713467,29,8.525,0.6374,200302,2003,2,1
112.888061,24.713467,30,7.95,0.60859996,200302,2003,2,1
112.900898,24.713467,31,7.3,0.807,200302,2003,2,3
112.913735,24.713467,32,7.85,0.7718,200302,2003,2,3
112.926572,24.713467,33,8.4,0.7772,200302,2003,2,3
112.939409,24.713467,34,8.8,0.78419995,200302,2003,2,3
112.952246,24.713467,35,9.35,0.7007,200302,2003,2,1
112.965083,24.713467,36,9.95,0.7342,200302,2003,2,1
112.97792,24.713467,37,10.275,0.7258,200302,2003,2,1
112.990757,24.713467,38,10.375,0.7301,200302,2003,2,1
113.003594,24.713467,39,10.5,0.64199996,200302,2003,2,1
112.84955,24.721937,40,10.175,0.7044,200302,2003,2,1
112.862387,24.721937,41,9.55,0.7524,200302,2003,2,1
112.875224,24.721937,42,8.175,0.645,200302,2003,2,1
112.888061,24.721937,43,7.525,0.7725,200302,2003,2,3
112.900898,24.721937,44,7.425,0.67329997,200302,2003,2,3
112.913735,24.721937,45,7.949999999999999,0.7906,200302,2003,2,3
112.926572,24.721937,46,8.2,0.7352,200302,2003,2,3
112.939409,24.721937,47,8.475000000000001,0.7942,200302,2003,2,3
112.952246,24.721937,48,9.175,0.78029996,200302,2003,2,3
112.965083,24.721937,49,9.65,0.68149996,200302,2003,2,1
112.97792,24.721937,50,10.15,0.746,200302,2003,2,1
112.990757,24.721937,51,10.175,0.746,200302,2003,2,1
113.003594,24.721937,52,10.4,0.7102,200302,2003,2,1
112.862387,24.730407,53,9.625,0.76739997,200302,2003,2,1
112.875224,24.730407,54,8.4,0.70449996,200302,2003,2,3
112.888061,24.730407,55,8.05,0.8152,200302,2003,2,3
112.900898,24.730407,56,7.9,0.7902,200302,2003,2,3
112.913735,24.730407,57,8.375,0.7902,200302,2003,2,3
112.926572,24.730407,58,8.1,0.7398,200302,2003,2,3
112.939409,24.730407,59,8.55,0.8045,200302,2003,2,3
112.952246,24.730407,60,9.075,0.7427,200302,2003,2,1
