-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,413.00,424.00,433.00,431.00,432.00,438.00,415.00,393.00,390.00,376.00,363.00,357.00,349.00,333.00,319.00,314.00,329.00,336.00,317.00,310.00,298.00,283.00,284.00,283.00.1,288.00,288.00.1,290.00,309.00,308.00,299.00,300.00,307.00,316.00,325.00,331.00,334.00,344.00,352.00,378.00,385.00,386.00,385.00.1,373.00
,,,,,,,399.0,418.0,432.0,442.0,454.0,456.0,449.0,433.0,423.0,389.0,383.0,379.0,370.0,350.0,333.0,335.0,335.0,331.0,329.0,329.0,307.0,301.0,292.0,286.0,289.0,295.0,301.0,304.0,314.0,316.0,315.0,314.0,321.0,332.0,340.0,346.0,353.0,350.0,373.0,389.0,398.0,398.0,393.0,385.0
,,,,,,387.0,402.0,421.0,440.0,458.0,461.0,467.0,455.0,451.0,441.0,417.0,406.0,394.0,383.0,373.0,348.0,341.0,337.0,334.0,332.0,328.0,307.0,305.0,300.0,295.0,295.0,304.0,314.0,316.0,326.0,331.0,324.0,329.0,337.0,350.0,357.0,361.0,358.0,374.0,383.0,410.0,405.0,401.0,396.0,391.0
,,,,,,383.0,397.0,416.0,437.0,453.0,471.0,474.0,466.0,464.0,451.0,442.0,435.0,425.0,413.0,386.0,352.0,349.0,344.0,339.0,337.0,330.0,322.0,309.0,308.0,312.0,308.0,317.0,322.0,325.0,335.0,339.0,336.0,343.0,354.0,365.0,373.0,377.0,380.0,387.0,404.0,417.0,418.0,412.0,410.0,389.0
,,,,,351.0,372.0,390.0,408.0,432.0,447.0,465.0,471.0,473.0,472.0,479.0,474.0,467.0,451.0,437.0,428.0,385.0,366.0,351.0,347.0,342.0,340.0,334.0,333.0,327.0,329.0,332.0,332.0,334.0,339.0,353.0,361.0,357.0,358.0,369.0,379.0,387.0,389.0,414.0,427.0,448.0,450.0,433.0,422.0,406.0,400.0
,,,,,355.0,374.0,384.0,403.0,411.0,433.0,443.0,458.0,460.0,473.0,478.0,477.0,472.0,465.0,454.0,436.0,416.0,391.0,376.0,359.0,351.0,353.0,354.0,353.0,353.0,356.0,352.0,354.0,349.0,344.0,368.0,390.0,392.0,398.0,397.0,400.0,407.0,419.0,434.0,458.0,469.0,469.0,449.0,440.0,433.0,409.0
,,,,335.0,361.0,373.0,382.0,386.0,404.0,414.0,433.0,446.0,446.0,456.0,462.0,461.0,468.0,466.0,461.0,457.0,448.0,434.0,428.0,398.0,398.0,388.0,384.0,374.0,371.0,373.0,362.0,356.0,352.0,353.0,395.0,404.0,405.0,411.0,421.0,418.0,415.0,424.0,458.0,469.0,479.0,482.0,470.0,464.0,456.0,433.0
,,,320.0,323.0,341.0,356.0,365.0,379.0,383.0,395.0,411.0,422.0,430.0,437.0,452.0,448.0,455.0,451.0,446.0,454.0,456.0,452.0,454.0,443.0,432.0,420.0,412.0,406.0,394.0,389.0,372.0,377.0,373.0,389.0,399.0,409.0,413.0,415.0,416.0,424.0,424.0,444.0,469.0,476.0,475.0,480.0,481.0,477.0,469.0,457.0
,,,327.0,318.0,323.0,339.0,351.0,360.0,364.0,374.0,381.0,406.0,406.0,413.0,432.0,436.0,433.0,439.0,434.0,444.0,449.0,455.0,448.0,447.0,446.0,445.0,433.0,429.0,415.0,406.0,400.0,401.0,400.0,402.0,410.0,420.0,421.0,418.0,416.0,423.0,440.0,457.0,463.0,466.0,473.0,479.0,480.0,478.0,475.0,481.0
,,311.0,320.0,317.0,318.0,326.0,329.0,340.0,347.0,357.0,363.0,386.0,400.0,406.0,414.0,415.0,420.0,426.0,425.0,430.0,436.0,443.0,444.0,445.0,450.0,449.0,447.0,439.0,443.0,433.0,419.0,413.0,419.0,418.0,420.0,424.0,429.0,427.0,428.0,434.0,447.0,456.0,456.0,460.0,464.0,469.0,472.0,467.0,476.0,483.0
,292.0,295.0,301.0,315.0,308.0,308.0,310.0,329.0,337.0,343.0,353.0,360.0,382.0,386.0,390.0,396.0,403.0,406.0,413.0,418.0,425.0,431.0,427.0,433.0,433.0,438.0,441.0,442.0,442.0,437.0,436.0,440.0,432.0,426.0,432.0,429.0,429.0,429.0,431.0,439.0,444.0,455.0,456.0,455.0,450.0,448.0,456.0,458.0,465.0,475.0
