1172.00,1170.00,1170.00.1,1173.00,1183.00,1208.00,1218.00,1223.00,1225.00,1196.00,1192.00,1191.00,1193.00,1193.00.1,1180.00,1180.00.1,1183.00.1,1178.00,1173.00.1,1171.00,1171.00.1,1168.00,1167.00,1163.00,1162.00,1163.00.1,1163.00.2,1161.00,1153.00,1151.00,1153.00.1,1153.00.2,1153.00.3,1155.00,1156.00,1154.00,1150.00,1142.00,1136.00,1115.00,1106.00,1108.00,1089.00
1188.0,1192.0,1195.0,1211.0,1215.0,1223.0,1229.0,1232.0,1235.0,1219.0,1198.0,1201.0,1206.0,1205.0,1190.0,1192.0,1196.0,1190.0,1177.0,1169.0,1165.0,1161.0,1161.0,1162.0,1163.0,1161.0,1160.0,1157.0,1156.0,1155.0,1151.0,1150.0,1144.0,1136.0,1137.0,1130.0,1134.0,1132.0,1114.0,1104.0,1089.0,1072.0,1071.0
1219.0,1222.0,1232.0,1229.0,1228.0,1228.0,1237.0,1241.0,1243.0,1235.0,1226.0,1215.0,1219.0,1218.0,1216.0,1214.0,1209.0,1204.0,1194.0,1181.0,1173.0,1160.0,1158.0,1153.0,1148.0,1149.0,1155.0,1157.0,1160.0,1160.0,1156.0,1145.0,1140.0,1135.0,1130.0,1127.0,1124.0,1113.0,1102.0,1084.0,1078.0,1064.0,1048.0
1245.0,1251.0,1251.0,1255.0,1238.0,1236.0,1243.0,1252.0,1249.0,1246.0,1245.0,1238.0,1239.0,1227.0,1226.0,1223.0,1216.0,1206.0,1200.0,1190.0,1174.0,1166.0,1154.0,1157.0,1153.0,1152.0,1154.0,1158.0,1160.0,1161.0,1162.0,1150.0,1145.0,1137.0,1135.0,1130.0,1121.0,1101.0,1088.0,1081.0,1072.0,1046.0,1031.0
1254.0,1256.0,1258.0,1254.0,1253.0,1247.0,1246.0,1248.0,1248.0,1246.0,1244.0,1241.0,1240.0,1235.0,1226.0,1218.0,1210.0,1203.0,1192.0,1184.0,1173.0,1168.0,1166.0,1164.0,1166.0,1169.0,1167.0,1166.0,1167.0,1169.0,1172.0,1173.0,1154.0,1145.0,1133.0,1134.0,1124.0,1097.0,1088.0,1074.0,1057.0,1033.0,1013.0
1249.0,1255.0,1258.0,1263.0,1251.0,1250.0,1252.0,1247.0,1248.0,1247.0,1238.0,1240.0,1243.0,1233.0,1219.0,1217.0,1203.0,1196.0,1189.0,1179.0,1173.0,1173.0,1171.0,1168.0,1169.0,1174.0,1172.0,1166.0,1168.0,1174.0,1178.0,1176.0,1167.0,1154.0,1148.0,1142.0,1138.0,1114.0,1094.0,1067.0,1051.0,1028.0,1013.0
1244.0,1246.0,1252.0,1256.0,1245.0,1245.0,1243.0,1241.0,1221.0,1216.0,1216.0,1222.0,1220.0,1210.0,1207.0,1202.0,1192.0,1187.0,1177.0,1174.0,1166.0,1160.0,1154.0,1149.0,1150.0,1155.0,1158.0,1163.0,1173.0,1177.0,1175.0,1167.0,1160.0,1152.0,1146.0,1150.0,1139.0,1126.0,1111.0,1089.0,1051.0,1028.0,998.0
1221.0,1232.0,1234.0,1239.0,1237.0,1229.0,1230.0,1216.0,1203.0,1198.0,1201.0,1210.0,1200.0,1196.0,1182.0,1178.0,1181.0,1170.0,1169.0,1163.0,1157.0,1151.0,1145.0,1140.0,1132.0,1134.0,1134.0,1146.0,1168.0,1168.0,1165.0,1151.0,1146.0,1147.0,1144.0,1145.0,1135.0,1128.0,1123.0,1089.0,1061.0,1049.0,1000.0
1197.0,1190.0,1187.0,1207.0,1211.0,1211.0,1206.0,1198.0,1192.0,1194.0,1194.0,1198.0,1196.0,1181.0,1167.0,1165.0,1169.0,1163.0,1149.0,1154.0,1147.0,1138.0,1132.0,1123.0,1112.0,1109.0,1108.0,1136.0,1134.0,1132.0,1127.0,1123.0,1127.0,1125.0,1125.0,1120.0,1117.0,1128.0,1123.0,1105.0,1084.0,1044.0,1023.0
1175.0,1167.0,1167.0,1177.0,1182.0,1184.0,1182.0,1185.0,1186.0,1185.0,1186.0,1185.0,1182.0,1170.0,1160.0,1158.0,1156.0,1151.0,1152.0,1148.0,1136.0,1123.0,1111.0,1109.0,1095.0,1087.0,1085.0,1092.0,1089.0,1095.0,1100.0,1102.0,1106.0,1093.0,1093.0,1120.0,1117.0,1123.0,1121.0,1117.0,1107.0,1082.0,1066.0
1122.0,1124.0,1133.0,1148.0,1156.0,1164.0,1168.0,1165.0,1156.0,1156.0,1161.0,1177.0,1168.0,1166.0,1149.0,1147.0,1142.0,1143.0,1150.0,1139.0,1120.0,1111.0,1100.0,1092.0,1080.0,1082.0,1059.0,1071.0,1070.0,1080.0,1077.0,1077.0,1071.0,1093.0,1093.0,1097.0,1100.0,1108.0,1116.0,1117.0,1113.0,1090.0,1079.0
1097.0,1109.0,1127.0,1132.0,1154.0,1152.0,1147.0,1141.0,1127.0,1132.0,1143.0,1154.0,1151.0,1136.0,1126.0,1113.0,1106.0,1119.0,1116.0,1119.0,1110.0,1094.0,1087.0,1075.0,1062.0,1052.0,1044.0,1049.0,1051.0,1048.0,1051.0,1077.0,1071.0,1079.0,1072.0,1075.0,1079.0,1091.0,1103.0,1108.0,1106.0,1091.0,1086.0
1086.0,1090.0,1103.0,1121.0,1134.0,1144.0,1137.0,1114.0,1106.0,1102.0,1112.0,1127.0,1119.0,1112.0,1109.0,1098.0,1089.0,1092.0,1098.0,1102.0,1098.0,1085.0,1068.0,1055.0,1044.0,1037.0,1039.0,1034.0,1039.0,1048.0,1051.0,1055.0,1051.0,1042.0,1048.0,1053.0,1058.0,1065.0,1082.0,1094.0,1094.0,1087.0,1086.0
1067.0,1068.0,1071.0,1108.0,1106.0,1116.0,1113.0,1094.0,1067.0,1065.0,1074.0,1078.0,1077.0,1079.0,1081.0,1076.0,1066.0,1068.0,1080.0,1083.0,1079.0,1057.0,1046.0,1038.0,1029.0,1034.0,1038.0,1030.0,1039.0,1026.0,1013.0,1020.0,1016.0,1027.0,1025.0,1035.0,1037.0,1059.0,1071.0,1067.0,1063.0,1065.0,1065.0
1062.0,1055.0,1051.0,1051.0,1086.0,1093.0,1088.0,1064.0,1054.0,1049.0,1043.0,1047.0,1047.0,1046.0,1050.0,1045.0,1047.0,1058.0,1069.0,1071.0,1054.0,1045.0,1024.0,1017.0,1014.0,1033.0,1038.0,1030.0,1028.0,1013.0,1001.0,975.0,975.0,1002.0,1004.0,1006.0,1018.0,1027.0,1033.0,1042.0,1042.0,1036.0,1035.0
1057.0,1050.0,1040.0,1036.0,1037.0,1037.0,1044.0,1038.0,1026.0,1030.0,1022.0,1030.0,1026.0,1026.0,1025.0,1020.0,1020.0,1038.0,1057.0,1058.0,1037.0,1030.0,1002.0,997.0,1014.0,1033.0,1039.0,1032.0,1021.0,1008.0,977.0,967.0,954.0,955.0,964.0,977.0,994.0,1005.0,1008.0,1007.0,1013.0,1014.0,1008.0
