341.00,341.00.1,341.00.2,341.00.3,273.00,273.00.1,273.00.2,273.00.3,273.00.4,273.00.5,273.00.6,273.00.7,273.00.8,273.00.9,273.00.10,228.00,228.00.1,228.00.2,228.00.3,228.00.4,228.00.5,228.00.6,228.00.7,228.00.8,218.00,218.00.1,218.00.2,218.00.3,219.00,219.00.1,239.00
367.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,218.0,218.0,218.0,218.0,219.0,219.0
,367.0,367.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,218.0,218.0,218.0,218.0,219.0
,,367.0,367.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,218.0,218.0,218.0,218.0
,,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,218.0,218.0,218.0
,,,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,218.0,218.0
,,,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,218.0
,,,,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,252.0,228.0,228.0,228.0,228.0,228.0,228.0
,,,,,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,252.0,228.0,228.0,228.0,228.0,228.0
,,,,,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,252.0,252.0,228.0,228.0,228.0
,,,,,,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,252.0,252.0,236.0,228.0
,,,,,,,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,252.0,252.0,252.0
,,,,,,,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,252.0
,,,,,,,,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0,273.0,273.0
,,,,,,,,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,273.0,273.0,273.0,273.0
,,,,,,,,,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,302.0,273.0,273.0
,,,,,,,,,305.0,305.0,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,374.0,341.0,341.0,341.0,341.0,341.0,341.0,302.0,302.0
,,,,,,,,,,305.0,305.0,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,374.0,341.0,341.0,341.0,341.0,341.0,302.0
,,,,,,,,,,,305.0,305.0,305.0,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,374.0,374.0,341.0,341.0,341.0,341.0
,,,,,,,,,,,276.0,305.0,305.0,305.0,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,374.0,374.0,374.0,358.0,358.0
,,,,,,,,,,,,276.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,367.0,374.0,374.0,374.0,374.0,363.0
,,,,,,,,,,,,276.0,276.0,276.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,367.0,367.0,367.0,367.0,367.0,374.0,374.0,376.0,375.0
,,,,,,,,,,,,,276.0,276.0,276.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,321.0,367.0,367.0,367.0,367.0,374.0,380.0,378.0
,,,,,,,,,,,,,276.0,276.0,276.0,276.0,276.0,305.0,305.0,305.0,305.0,305.0,305.0,321.0,321.0,361.0,361.0,376.0,373.0,387.0
,,,,,,,,,,,,,,276.0,276.0,276.0,276.0,276.0,276.0,305.0,305.0,305.0,305.0,305.0,321.0,321.0,339.0,357.0,371.0,394.0
,,,,,,,,,,,,,,276.0,276.0,276.0,276.0,276.0,276.0,276.0,279.0,305.0,305.0,305.0,305.0,313.0,325.0,346.0,377.0,393.0
,,,,,,,,,,,,,,,290.0,276.0,276.0,276.0,276.0,276.0,276.0,279.0,279.0,290.0,290.0,307.0,324.0,345.0,364.0,393.0
,,,,,,,,,,,,,,,,290.0,290.0,276.0,276.0,276.0,276.0,276.0,279.0,279.0,291.0,311.0,325.0,345.0,364.0,396.0
,,,,,,,,,,,,,,,,307.0,290.0,290.0,295.0,276.0,276.0,276.0,276.0,285.0,290.0,311.0,325.0,347.0,364.0,396.0
,,,,,,,,,,,,,,,,,307.0,290.0,290.0,295.0,295.0,283.0,283.0,285.0,290.0,305.0,333.0,351.0,386.0,
,,,,,,,,,,,,,,,,,307.0,307.0,290.0,290.0,295.0,295.0,283.0,293.0,297.0,309.0,333.0,351.0,,
,,,,,,,,,,,,,,,,,,307.0,307.0,290.0,290.0,295.0,298.0,305.0,308.0,319.0,333.0,346.0,,
,,,,,,,,,,,,,,,,,,307.0,307.0,307.0,290.0,310.0,313.0,315.0,320.0,326.0,338.0,,,
,,,,,,,,,,,,,,,,,,,307.0,307.0,316.0,320.0,321.0,322.0,325.0,328.0,339.0,,,
,,,,,,,,,,,,,,,,,,,305.0,311.0,317.0,321.0,325.0,325.0,327.0,326.0,,,,
,,,,,,,,,,,,,,,,,,,,312.0,319.0,317.0,316.0,325.0,321.0,,,,,
,,,,,,,,,,,,,,,,,,,,,319.0,315.0,309.0,313.0,320.0,,,,,
,,,,,,,,,,,,,,,,,,,,,312.0,309.0,304.0,305.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,299.0,294.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,275.0,,,,,,,
