759.00,761.00,768.00,790.00,800.00,801.00,800.00.1,803.00,802.00,801.00.1,813.00,814.00,797.00,790.00.1,782.00,788.00,785.00,779.00,778.00,781.00,778.00.1,784.00,785.00.1,793.00,798.00,793.00.1,791.00,797.00.1,800.00.2,808.00,812.00,813.00.1,815.00,815.00.1,812.00.1,812.00.2,818.00,825.00,830.00,831.00,809.00,801.00.2,791.00.1
741.0,753.0,759.0,767.0,775.0,780.0,784.0,790.0,796.0,792.0,793.0,790.0,784.0,775.0,776.0,748.0,747.0,741.0,748.0,754.0,755.0,764.0,767.0,772.0,775.0,775.0,776.0,779.0,788.0,795.0,796.0,794.0,793.0,791.0,787.0,792.0,800.0,810.0,816.0,818.0,815.0,806.0,788.0
717.0,730.0,739.0,749.0,762.0,758.0,765.0,763.0,766.0,771.0,776.0,763.0,753.0,746.0,718.0,710.0,713.0,720.0,724.0,726.0,736.0,742.0,748.0,757.0,752.0,753.0,758.0,767.0,771.0,775.0,776.0,775.0,778.0,784.0,783.0,779.0,782.0,793.0,796.0,809.0,805.0,799.0,791.0
701.0,707.0,717.0,723.0,735.0,738.0,745.0,750.0,751.0,746.0,738.0,739.0,728.0,712.0,699.0,681.0,686.0,695.0,704.0,709.0,717.0,724.0,742.0,747.0,741.0,744.0,750.0,757.0,759.0,761.0,761.0,760.0,761.0,773.0,772.0,770.0,766.0,772.0,778.0,784.0,789.0,795.0,788.0
681.0,689.0,695.0,701.0,707.0,722.0,735.0,739.0,741.0,731.0,719.0,718.0,700.0,700.0,681.0,680.0,680.0,685.0,686.0,693.0,702.0,706.0,723.0,734.0,733.0,737.0,743.0,743.0,738.0,737.0,745.0,748.0,746.0,753.0,757.0,753.0,755.0,757.0,762.0,772.0,774.0,776.0,775.0
662.0,672.0,681.0,688.0,694.0,711.0,723.0,734.0,729.0,712.0,702.0,702.0,694.0,680.0,680.0,678.0,676.0,679.0,684.0,682.0,681.0,678.0,708.0,713.0,717.0,723.0,728.0,726.0,723.0,720.0,725.0,726.0,726.0,730.0,731.0,730.0,730.0,741.0,750.0,760.0,763.0,768.0,766.0
643.0,654.0,665.0,675.0,681.0,691.0,700.0,701.0,701.0,694.0,693.0,692.0,689.0,676.0,674.0,671.0,681.0,676.0,683.0,675.0,664.0,671.0,679.0,707.0,700.0,710.0,710.0,710.0,707.0,705.0,710.0,715.0,720.0,720.0,712.0,711.0,713.0,719.0,741.0,746.0,749.0,754.0,760.0
627.0,636.0,650.0,658.0,666.0,674.0,680.0,680.0,677.0,677.0,673.0,683.0,679.0,660.0,660.0,665.0,672.0,678.0,673.0,664.0,663.0,665.0,671.0,686.0,687.0,683.0,688.0,690.0,692.0,692.0,695.0,698.0,706.0,713.0,708.0,702.0,687.0,691.0,715.0,730.0,724.0,731.0,746.0
597.0,608.0,625.0,637.0,647.0,657.0,664.0,667.0,674.0,669.0,665.0,670.0,665.0,656.0,656.0,651.0,665.0,672.0,662.0,653.0,648.0,655.0,664.0,661.0,654.0,655.0,663.0,660.0,668.0,672.0,672.0,675.0,684.0,686.0,686.0,684.0,681.0,684.0,693.0,714.0,711.0,722.0,730.0
576.0,588.0,602.0,619.0,628.0,638.0,652.0,655.0,659.0,658.0,641.0,642.0,634.0,633.0,648.0,644.0,653.0,655.0,637.0,629.0,632.0,636.0,633.0,638.0,636.0,637.0,636.0,639.0,645.0,641.0,640.0,647.0,654.0,663.0,668.0,668.0,666.0,669.0,684.0,687.0,705.0,712.0,722.0
549.0,572.0,586.0,595.0,606.0,620.0,632.0,640.0,652.0,629.0,627.0,623.0,623.0,624.0,623.0,627.0,627.0,624.0,625.0,608.0,607.0,613.0,627.0,626.0,629.0,633.0,631.0,640.0,639.0,640.0,642.0,645.0,651.0,658.0,663.0,664.0,665.0,673.0,679.0,682.0,698.0,718.0,719.0
522.0,542.0,566.0,574.0,580.0,592.0,611.0,625.0,623.0,609.0,607.0,610.0,595.0,598.0,595.0,602.0,603.0,604.0,598.0,600.0,602.0,604.0,614.0,619.0,625.0,631.0,638.0,646.0,654.0,659.0,666.0,669.0,677.0,679.0,672.0,672.0,677.0,689.0,686.0,686.0,700.0,714.0,722.0
504.0,521.0,533.0,538.0,547.0,559.0,588.0,612.0,613.0,596.0,596.0,585.0,580.0,584.0,588.0,593.0,602.0,601.0,600.0,597.0,599.0,606.0,620.0,625.0,632.0,642.0,653.0,663.0,675.0,692.0,691.0,693.0,696.0,700.0,699.0,699.0,704.0,706.0,707.0,709.0,723.0,719.0,733.0
498.0,504.0,501.0,508.0,527.0,542.0,550.0,598.0,598.0,586.0,580.0,573.0,573.0,580.0,586.0,599.0,606.0,614.0,607.0,601.0,612.0,617.0,632.0,635.0,644.0,653.0,662.0,673.0,686.0,703.0,709.0,717.0,723.0,720.0,717.0,721.0,728.0,739.0,737.0,741.0,744.0,754.0,749.0
503.0,501.0,501.0,512.0,522.0,523.0,531.0,569.0,576.0,572.0,566.0,574.0,577.0,588.0,601.0,614.0,636.0,630.0,640.0,648.0,651.0,648.0,646.0,652.0,655.0,661.0,674.0,685.0,698.0,710.0,717.0,723.0,731.0,734.0,738.0,736.0,745.0,766.0,763.0,751.0,748.0,750.0,752.0
498.0,501.0,502.0,519.0,523.0,529.0,541.0,571.0,571.0,556.0,560.0,572.0,573.0,587.0,605.0,638.0,635.0,649.0,664.0,660.0,662.0,664.0,663.0,669.0,672.0,681.0,694.0,698.0,705.0,712.0,720.0,735.0,737.0,742.0,750.0,753.0,774.0,776.0,778.0,774.0,762.0,757.0,752.0
518.0,525.0,521.0,521.0,524.0,522.0,551.0,571.0,564.0,564.0,563.0,573.0,583.0,586.0,605.0,632.0,646.0,662.0,672.0,680.0,689.0,676.0,675.0,681.0,686.0,695.0,701.0,706.0,721.0,725.0,737.0,748.0,756.0,750.0,762.0,772.0,778.0,784.0,787.0,786.0,762.0,757.0,759.0
558.0,559.0,552.0,542.0,536.0,556.0,563.0,575.0,562.0,577.0,579.0,581.0,585.0,592.0,600.0,627.0,644.0,666.0,682.0,690.0,693.0,697.0,694.0,695.0,700.0,707.0,714.0,725.0,734.0,744.0,751.0,755.0,763.0,782.0,784.0,789.0,786.0,790.0,787.0,786.0,773.0,767.0,774.0
603.0,601.0,597.0,584.0,576.0,568.0,581.0,579.0,587.0,580.0,586.0,592.0,593.0,599.0,607.0,625.0,648.0,668.0,677.0,689.0,698.0,710.0,710.0,729.0,722.0,738.0,746.0,752.0,759.0,765.0,769.0,775.0,778.0,787.0,798.0,809.0,786.0,790.0,794.0,794.0,787.0,784.0,792.0
626.0,626.0,627.0,631.0,627.0,620.0,612.0,600.0,595.0,599.0,610.0,605.0,606.0,611.0,620.0,634.0,653.0,668.0,679.0,692.0,705.0,735.0,745.0,744.0,741.0,753.0,758.0,771.0,782.0,788.0,790.0,781.0,783.0,803.0,798.0,802.0,800.0,802.0,806.0,805.0,803.0,804.0,809.0
638.0,636.0,636.0,639.0,637.0,635.0,634.0,629.0,623.0,628.0,637.0,642.0,636.0,639.0,638.0,654.0,665.0,675.0,686.0,713.0,732.0,749.0,762.0,768.0,761.0,765.0,775.0,789.0,809.0,808.0,809.0,811.0,783.0,803.0,812.0,813.0,812.0,813.0,817.0,819.0,822.0,816.0,820.0
645.0,639.0,641.0,647.0,646.0,649.0,647.0,642.0,638.0,637.0,641.0,643.0,648.0,663.0,678.0,685.0,697.0,703.0,720.0,742.0,753.0,765.0,772.0,786.0,785.0,784.0,795.0,807.0,816.0,826.0,825.0,811.0,814.0,817.0,821.0,826.0,823.0,825.0,825.0,828.0,828.0,824.0,830.0
674.0,660.0,654.0,655.0,662.0,656.0,648.0,647.0,654.0,661.0,663.0,670.0,678.0,712.0,721.0,720.0,731.0,741.0,752.0,768.0,777.0,789.0,792.0,797.0,799.0,795.0,811.0,814.0,822.0,826.0,825.0,827.0,834.0,845.0,847.0,841.0,847.0,840.0,838.0,835.0,839.0,844.0,840.0
698.0,694.0,678.0,671.0,689.0,685.0,679.0,678.0,679.0,686.0,696.0,705.0,710.0,717.0,734.0,748.0,758.0,775.0,775.0,777.0,792.0,799.0,800.0,798.0,798.0,802.0,813.0,814.0,822.0,832.0,830.0,836.0,849.0,850.0,854.0,862.0,866.0,856.0,855.0,850.0,854.0,859.0,864.0
717.0,713.0,709.0,704.0,712.0,701.0,700.0,701.0,703.0,707.0,716.0,728.0,740.0,749.0,754.0,768.0,768.0,775.0,776.0,775.0,786.0,796.0,796.0,796.0,795.0,802.0,813.0,815.0,823.0,822.0,827.0,840.0,850.0,856.0,861.0,870.0,883.0,887.0,880.0,877.0,874.0,876.0,883.0
723.0,727.0,733.0,730.0,728.0,714.0,722.0,720.0,729.0,739.0,745.0,751.0,759.0,761.0,765.0,771.0,775.0,781.0,775.0,778.0,781.0,783.0,785.0,796.0,795.0,793.0,801.0,815.0,811.0,811.0,816.0,825.0,840.0,845.0,862.0,877.0,889.0,884.0,884.0,884.0,894.0,897.0,894.0
725.0,732.0,739.0,732.0,726.0,732.0,737.0,738.0,749.0,767.0,765.0,760.0,762.0,763.0,764.0,770.0,774.0,777.0,778.0,777.0,768.0,783.0,785.0,787.0,785.0,786.0,786.0,787.0,793.0,796.0,799.0,807.0,811.0,821.0,844.0,859.0,874.0,883.0,882.0,887.0,892.0,894.0,894.0
717.0,718.0,725.0,731.0,736.0,742.0,751.0,753.0,770.0,765.0,768.0,771.0,769.0,764.0,764.0,767.0,772.0,777.0,775.0,777.0,768.0,764.0,771.0,772.0,770.0,768.0,764.0,772.0,777.0,778.0,780.0,787.0,794.0,805.0,831.0,839.0,841.0,844.0,850.0,861.0,874.0,881.0,879.0
