575.00,575.00.1,575.00.2,575.00.3,575.00.4,575.00.5,575.00.6,575.00.7,575.00.8,575.00.9,575.00.10,546.00,546.00.1,546.00.2,546.00.3,546.00.4,546.00.5,546.00.6,546.00.7,546.00.8,538.00,531.00,524.00,513.00,508.00,517.00,528.00,535.00,546.00.9,559.00,567.00,572.00,583.00,610.00,630.00,673.00,667.00,670.00,665.00,669.00,683.00,673.00.1,664.00
575.0,575.0,575.0,575.0,575.0,575.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,522.0,513.0,517.0,492.0,493.0,517.0,528.0,532.0,534.0,540.0,562.0,567.0,576.0,582.0,605.0,621.0,636.0,640.0,656.0,661.0,674.0,665.0,653.0
525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,510.0,497.0,487.0,492.0,493.0,510.0,522.0,525.0,529.0,531.0,533.0,549.0,570.0,577.0,584.0,600.0,623.0,638.0,643.0,645.0,659.0,657.0,646.0
512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,501.0,497.0,487.0,474.0,477.0,495.0,507.0,516.0,517.0,521.0,515.0,528.0,550.0,569.0,573.0,577.0,616.0,628.0,640.0,641.0,641.0,644.0,627.0
478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,512.0,501.0,486.0,469.0,459.0,448.0,474.0,487.0,501.0,504.0,505.0,508.0,516.0,532.0,548.0,549.0,571.0,601.0,622.0,629.0,634.0,633.0,631.0,618.0
478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,484.0,473.0,458.0,444.0,447.0,454.0,466.0,478.0,482.0,486.0,500.0,513.0,512.0,518.0,543.0,554.0,566.0,597.0,604.0,624.0,625.0,624.0,610.0
478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,455.0,455.0,455.0,442.0,436.0,426.0,426.0,440.0,453.0,458.0,464.0,485.0,494.0,504.0,516.0,525.0,536.0,558.0,573.0,591.0,608.0,605.0,612.0,609.0
478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,434.0,434.0,434.0,434.0,434.0,432.0,428.0,421.0,416.0,419.0,426.0,438.0,449.0,465.0,465.0,487.0,496.0,506.0,520.0,530.0,540.0,546.0,571.0,581.0,591.0,595.0,598.0
478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,405.0,412.0,411.0,408.0,419.0,421.0,442.0,446.0,460.0,469.0,486.0,486.0,499.0,513.0,528.0,532.0,540.0,565.0,571.0,576.0,593.0,594.0
478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,381.0,381.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,390.0,393.0,409.0,420.0,422.0,431.0,437.0,447.0,460.0,475.0,489.0,493.0,504.0,519.0,532.0,538.0,554.0,571.0,571.0,582.0,587.0,607.0
478.0,478.0,377.0,377.0,377.0,377.0,377.0,377.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,383.0,386.0,415.0,415.0,428.0,434.0,448.0,461.0,476.0,487.0,495.0,501.0,517.0,532.0,540.0,558.0,567.0,582.0,583.0,586.0,598.0,600.0
388.0,388.0,388.0,388.0,388.0,388.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,385.0,390.0,415.0,424.0,435.0,448.0,463.0,486.0,491.0,498.0,505.0,510.0,522.0,533.0,540.0,558.0,569.0,587.0,589.0,595.0,592.0,601.0
388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,397.0,414.0,437.0,440.0,445.0,456.0,485.0,503.0,502.0,509.0,515.0,520.0,530.0,529.0,533.0,544.0,563.0,587.0,587.0,588.0,591.0,588.0
315.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,415.0,415.0,430.0,451.0,459.0,491.0,488.0,500.0,503.0,510.0,516.0,519.0,523.0,528.0,529.0,525.0,539.0,558.0,571.0,573.0,580.0,579.0,580.0
313.0,315.0,315.0,315.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,422.0,422.0,422.0,422.0,454.0,465.0,484.0,488.0,493.0,500.0,507.0,513.0,514.0,516.0,521.0,524.0,529.0,526.0,533.0,542.0,551.0,566.0,571.0,573.0,571.0
313.0,313.0,313.0,315.0,315.0,323.0,323.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,462.0,475.0,487.0,488.0,492.0,495.0,496.0,499.0,506.0,510.0,513.0,520.0,518.0,525.0,525.0,534.0,542.0,551.0,572.0,566.0,568.0
