-999.00,-999.00.1,593.00,593.00.1,593.00.2,593.00.3,593.00.4,593.00.5,593.00.6,593.00.7,593.00.8,593.00.9,593.00.10,593.00.11,593.00.12,593.00.13,593.00.14,593.00.15,593.00.16,593.00.17,592.00,592.00.1,592.00.2,592.00.3,592.00.4,592.00.5,592.00.6,592.00.7,592.00.8,592.00.9,592.00.10,592.00.11,592.00.12,591.00,588.00,592.00.13,596.00,610.00,623.00,620.00,609.00,612.00,624.00,640.00,660.00,669.00,682.00,684.00,696.00,704.00,732.00,748.00,762.00,783.00,817.00,814.00,823.00,836.00
,,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,597.0,609.0,608.0,622.0,635.0,638.0,637.0,640.0,643.0,650.0,661.0,666.0,681.0,687.0,695.0,697.0,726.0,750.0,763.0,780.0,819.0,819.0,837.0,858.0,867.0
,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,602.0,609.0,618.0,633.0,647.0,658.0,667.0,669.0,668.0,667.0,667.0,674.0,685.0,708.0,702.0,727.0,749.0,764.0,785.0,801.0,819.0,832.0,853.0,872.0,887.0
,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,602.0,617.0,642.0,652.0,654.0,666.0,676.0,679.0,678.0,673.0,670.0,685.0,697.0,732.0,730.0,751.0,770.0,782.0,804.0,815.0,826.0,836.0,863.0,881.0,902.0
628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,620.0,637.0,652.0,671.0,671.0,669.0,685.0,689.0,690.0,692.0,691.0,697.0,730.0,762.0,772.0,788.0,802.0,813.0,830.0,832.0,838.0,857.0,872.0,897.0,904.0
638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,635.0,648.0,671.0,688.0,690.0,699.0,715.0,717.0,717.0,717.0,719.0,733.0,766.0,777.0,793.0,813.0,845.0,855.0,854.0,855.0,858.0,872.0,892.0,900.0,916.0
,662.0,662.0,662.0,662.0,662.0,662.0,662.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,656.0,665.0,688.0,701.0,703.0,728.0,737.0,736.0,736.0,739.0,741.0,749.0,777.0,793.0,812.0,846.0,856.0,860.0,867.0,866.0,873.0,881.0,893.0,906.0,911.0
,677.0,677.0,677.0,677.0,677.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,669.0,702.0,713.0,710.0,735.0,743.0,754.0,760.0,761.0,767.0,767.0,771.0,792.0,810.0,833.0,850.0,865.0,863.0,869.0,878.0,886.0,896.0,900.0,908.0,912.0
,,701.0,701.0,701.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,703.0,720.0,732.0,729.0,741.0,757.0,774.0,780.0,783.0,788.0,788.0,792.0,810.0,822.0,844.0,844.0,859.0,865.0,872.0,880.0,891.0,904.0,906.0,907.0,906.0
,,,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,711.0,732.0,732.0,739.0,754.0,774.0,777.0,790.0,789.0,792.0,794.0,810.0,814.0,829.0,841.0,843.0,847.0,858.0,874.0,883.0,891.0,904.0,906.0,912.0,909.0
,,,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,716.0,733.0,750.0,758.0,761.0,770.0,783.0,787.0,796.0,792.0,791.0,803.0,805.0,815.0,826.0,839.0,837.0,852.0,858.0,877.0,879.0,888.0,907.0,912.0,888.0
,,,,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,725.0,745.0,751.0,754.0,758.0,766.0,773.0,780.0,789.0,787.0,781.0,788.0,795.0,804.0,812.0,831.0,831.0,830.0,842.0,849.0,857.0,864.0,873.0,873.0,868.0
,,,,,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,725.0,743.0,747.0,748.0,755.0,764.0,773.0,775.0,776.0,777.0,773.0,780.0,789.0,795.0,798.0,814.0,819.0,819.0,826.0,841.0,847.0,850.0,856.0,868.0,863.0
,,,,,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,711.0,711.0,711.0,724.0,749.0,750.0,761.0,767.0,763.0,767.0,770.0,769.0,769.0,776.0,778.0,789.0,788.0,802.0,807.0,805.0,808.0,828.0,838.0,854.0,854.0,856.0,852.0
,,,,,,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,705.0,705.0,705.0,705.0,705.0,705.0,720.0,730.0,753.0,754.0,751.0,756.0,759.0,764.0,765.0,761.0,766.0,773.0,780.0,768.0,769.0,785.0,796.0,798.0,810.0,819.0,842.0,851.0,847.0,833.0
,,,,,,,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,698.0,723.0,719.0,726.0,742.0,744.0,750.0,759.0,760.0,756.0,758.0,761.0,760.0,764.0,762.0,761.0,767.0,774.0,781.0,805.0,818.0,814.0,808.0,810.0
,,,,,,,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,678.0,685.0,690.0,691.0,710.0,713.0,725.0,741.0,749.0,748.0,750.0,752.0,759.0,751.0,751.0,748.0,748.0,755.0,760.0,769.0,782.0,795.0,794.0,804.0,800.0
,,,,,,,,704.0,704.0,704.0,704.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,662.0,650.0,650.0,668.0,701.0,699.0,698.0,703.0,701.0,741.0,747.0,748.0,738.0,737.0,731.0,731.0,738.0,737.0,744.0,763.0,778.0,782.0,790.0,789.0
,,,,,,,,,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,639.0,642.0,644.0,649.0,675.0,687.0,683.0,680.0,685.0,700.0,739.0,732.0,724.0,721.0,721.0,721.0,718.0,743.0,743.0,745.0,754.0,760.0,776.0,762.0
,,,,,,,,,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,629.0,630.0,631.0,630.0,637.0,656.0,663.0,646.0,650.0,689.0,687.0,680.0,687.0,685.0,706.0,714.0,710.0,713.0,715.0,719.0,722.0,734.0,739.0,750.0,736.0
,,,,,,,,,,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,622.0,625.0,629.0,633.0,629.0,633.0,630.0,642.0,647.0,651.0,658.0,664.0,666.0,687.0,702.0,703.0,709.0,711.0,711.0,709.0,720.0,727.0,724.0,736.0
