-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,293.00,293.00.1,293.00.2,293.00.3,293.00.4,293.00.5,293.00.6,293.00.7,293.00.8,293.00.9,293.00.10,293.00.11,293.00.12,293.00.13,293.00.14,293.00.15,293.00.16,293.00.17,293.00.18,293.00.19,293.00.20,316.00,335.00,351.00,351.00.1,351.00.2,351.00.3,351.00.4,351.00.5,351.00.6,318.00
,,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,331.0
,,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,331.0
,,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,331.0,351.0
,,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,355.0
,,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,355.0,355.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,355.0,355.0,359.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,355.0,359.0,359.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,355.0,359.0,359.0,363.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,359.0,359.0,363.0,363.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,359.0,359.0,363.0,363.0,429.0
