1012.00,1012.00.1,1002.00,994.00,996.00,989.00,1008.00,1008.00.1,1006.00,991.00,983.00,976.00,973.00,969.00,970.00,978.00,972.00,982.00,987.00,982.00.1,966.00,958.00,960.00,961.00,961.00.1,962.00,963.00,958.00.1,961.00.2,970.00.1,973.00.1,977.00,989.00.1,1004.00,1025.00,1028.00,1012.00.2,1015.00,1021.00,1023.00,1011.00,1012.00.3,1016.00
993.0,991.0,980.0,968.0,959.0,965.0,985.0,984.0,986.0,964.0,963.0,950.0,944.0,969.0,970.0,967.0,964.0,957.0,956.0,950.0,944.0,951.0,949.0,948.0,949.0,958.0,960.0,968.0,967.0,974.0,984.0,988.0,999.0,1027.0,1051.0,1047.0,1030.0,1029.0,1036.0,1039.0,1034.0,1031.0,1029.0
954.0,956.0,951.0,948.0,946.0,949.0,957.0,959.0,954.0,947.0,935.0,921.0,944.0,946.0,942.0,941.0,946.0,933.0,939.0,943.0,942.0,951.0,950.0,945.0,960.0,978.0,976.0,983.0,998.0,1005.0,1004.0,1002.0,1020.0,1048.0,1058.0,1060.0,1063.0,1047.0,1048.0,1052.0,1052.0,1046.0,1047.0
942.0,933.0,926.0,921.0,912.0,919.0,926.0,928.0,926.0,928.0,935.0,921.0,920.0,924.0,922.0,922.0,930.0,927.0,929.0,939.0,945.0,942.0,955.0,963.0,968.0,995.0,996.0,1014.0,1029.0,1034.0,1035.0,1035.0,1049.0,1056.0,1072.0,1083.0,1086.0,1071.0,1065.0,1065.0,1058.0,1059.0,1073.0
927.0,922.0,916.0,908.0,897.0,899.0,900.0,912.0,926.0,928.0,914.0,906.0,907.0,910.0,917.0,922.0,923.0,924.0,933.0,937.0,945.0,952.0,974.0,995.0,1011.0,1026.0,1056.0,1051.0,1071.0,1067.0,1060.0,1061.0,1066.0,1073.0,1084.0,1081.0,1081.0,1083.0,1079.0,1079.0,1076.0,1071.0,1080.0
913.0,910.0,904.0,896.0,893.0,893.0,900.0,912.0,906.0,907.0,899.0,896.0,897.0,901.0,918.0,923.0,936.0,941.0,947.0,942.0,974.0,1004.0,1017.0,1024.0,1037.0,1059.0,1058.0,1074.0,1082.0,1081.0,1083.0,1077.0,1083.0,1090.0,1089.0,1087.0,1093.0,1095.0,1090.0,1085.0,1078.0,1075.0,1086.0
901.0,895.0,892.0,886.0,893.0,893.0,902.0,901.0,905.0,891.0,890.0,897.0,898.0,903.0,920.0,943.0,959.0,965.0,972.0,983.0,1011.0,1021.0,1032.0,1036.0,1052.0,1059.0,1072.0,1077.0,1085.0,1091.0,1092.0,1088.0,1090.0,1095.0,1098.0,1101.0,1118.0,1113.0,1111.0,1100.0,1079.0,1082.0,1096.0
890.0,883.0,892.0,886.0,891.0,895.0,898.0,902.0,900.0,897.0,897.0,904.0,909.0,920.0,946.0,959.0,970.0,976.0,981.0,987.0,1006.0,1026.0,1032.0,1036.0,1053.0,1059.0,1070.0,1082.0,1088.0,1091.0,1096.0,1103.0,1107.0,1109.0,1112.0,1122.0,1135.0,1135.0,1129.0,1093.0,1093.0,1094.0,1121.0
890.0,883.0,884.0,892.0,901.0,902.0,907.0,910.0,922.0,913.0,913.0,917.0,931.0,949.0,962.0,975.0,980.0,984.0,987.0,993.0,1005.0,1022.0,1030.0,1033.0,1046.0,1051.0,1067.0,1081.0,1087.0,1092.0,1099.0,1104.0,1116.0,1122.0,1130.0,1140.0,1142.0,1149.0,1146.0,1141.0,1129.0,1126.0,1144.0
882.0,882.0,885.0,897.0,901.0,901.0,909.0,919.0,922.0,920.0,921.0,927.0,939.0,958.0,969.0,978.0,983.0,987.0,995.0,1005.0,1014.0,1023.0,1029.0,1041.0,1045.0,1052.0,1060.0,1070.0,1079.0,1085.0,1096.0,1101.0,1113.0,1125.0,1129.0,1134.0,1148.0,1162.0,1158.0,1149.0,1144.0,1141.0,1148.0
887.0,886.0,892.0,896.0,901.0,903.0,905.0,912.0,924.0,925.0,928.0,934.0,948.0,955.0,958.0,964.0,975.0,983.0,991.0,1002.0,1009.0,1016.0,1022.0,1035.0,1039.0,1044.0,1053.0,1062.0,1068.0,1080.0,1086.0,1095.0,1106.0,1108.0,1118.0,1131.0,1149.0,1160.0,1168.0,1171.0,1182.0,1176.0,1173.0
