-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29,-999.00.30,-999.00.31,-999.00.32,-999.00.33,-999.00.34,-999.00.35,-999.00.36,-999.00.37,-999.00.38,-999.00.39,-999.00.40,-999.00.41,-999.00.42,-999.00.43,-999.00.44,-999.00.45,705.00,691.00,692.00,694.00,-999.00.46,-999.00.47,-999.00.48,-999.00.49,-999.00.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,673.0,668.0,662.0,670.0,680.0,683.0,710.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,673.0,661.0,648.0,645.0,653.0,677.0,686.0,684.0,686.0,692.0,700.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.0,634.0,633.0,622.0,626.0,631.0,646.0,659.0,672.0,671.0,666.0,671.0,684.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,612.0,618.0,619.0,616.0,616.0,612.0,616.0,621.0,640.0,650.0,654.0,661.0,668.0,672.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.0,602.0,606.0,606.0,604.0,600.0,602.0,605.0,603.0,619.0,639.0,651.0,645.0,659.0,666.0,669.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.0,588.0,590.0,588.0,592.0,591.0,599.0,594.0,595.0,600.0,599.0,632.0,644.0,638.0,651.0,662.0,664.0,668.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,580.0,580.0,584.0,584.0,591.0,585.0,591.0,597.0,602.0,607.0,605.0,622.0,637.0,643.0,654.0,666.0,665.0,667.0,665.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,568.0,568.0,568.0,568.0,578.0,593.0,592.0,616.0,611.0,623.0,637.0,644.0,644.0,643.0,658.0,659.0,679.0,677.0,673.0,674.0,674.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0,569.0,569.0,569.0,569.0,569.0,569.0,584.0,598.0,616.0,619.0,638.0,643.0,657.0,680.0,690.0,713.0,716.0,695.0,699.0,698.0,691.0,688.0,685.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,603.0,613.0,614.0,645.0,662.0,668.0,688.0,694.0,709.0,714.0,720.0,715.0,712.0,707.0,701.0,693.0,690.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,623.0,649.0,670.0,689.0,685.0,689.0,702.0,711.0,724.0,724.0,719.0,717.0,713.0,707.0,703.0,704.0
,,,,,,,,,,,,,,,,,,,,,,,,,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,640.0,648.0,670.0,694.0,696.0,703.0,703.0,704.0,716.0,726.0,729.0,725.0,717.0,721.0,717.0,709.0,716.0
,,,,,,,,,,,,,,,,,,,,,,,668.0,668.0,668.0,668.0,668.0,668.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,668.0,668.0,670.0,689.0,715.0,717.0,712.0,711.0,716.0,720.0,728.0,733.0,729.0,725.0,730.0,730.0,729.0,734.0
,,,,,,,,,,,,,,,,,,,,,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,665.0,665.0,665.0,665.0,665.0,665.0,677.0,697.0,720.0,731.0,733.0,741.0,739.0,739.0,738.0,735.0,736.0,747.0,741.0,745.0,746.0,746.0,748.0
,,,,,,,,,,,,,,,,,,,,691.0,691.0,691.0,691.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,670.0,670.0,670.0,700.0,725.0,732.0,736.0,743.0,758.0,760.0,764.0,760.0,764.0,767.0,771.0,760.0,766.0,767.0,763.0,757.0
,,,,,,,,,,,,,,,,,,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,686.0,686.0,714.0,725.0,732.0,739.0,753.0,753.0,769.0,774.0,782.0,789.0,790.0,798.0,794.0,802.0,806.0,800.0,791.0
,,,,,,,,,,,,,,,,,669.0,669.0,669.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,668.0,668.0,668.0,668.0,668.0,668.0,685.0,713.0,723.0,727.0,734.0,737.0,748.0,764.0,794.0,801.0,812.0,801.0,802.0,814.0,833.0,845.0,844.0,826.0
,,,,,,,,,,,,,,,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,673.0,673.0,673.0,689.0,707.0,720.0,722.0,726.0,737.0,745.0,788.0,795.0,813.0,820.0,813.0,814.0,833.0,860.0,858.0,861.0,861.0
,,,,,,,,,,,,,545.0,545.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,684.0,684.0,697.0,702.0,723.0,728.0,732.0,739.0,774.0,797.0,813.0,826.0,834.0,835.0,842.0,862.0,863.0,875.0,877.0,861.0
,,,,,,,,,,,,545.0,545.0,545.0,545.0,545.0,545.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,691.0,691.0,691.0,691.0,691.0,691.0,707.0,707.0,727.0,738.0,753.0,754.0,768.0,785.0,802.0,818.0,832.0,859.0,862.0,864.0,888.0,885.0,875.0,877.0,873.0
,,,,,,,,,,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,706.0,706.0,706.0,706.0,710.0,719.0,738.0,746.0,750.0,758.0,772.0,797.0,807.0,823.0,841.0,872.0,887.0,889.0,888.0,885.0,888.0,890.0,890.0
,,,,,,,,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,703.0,703.0,712.0,714.0,732.0,739.0,745.0,760.0,775.0,790.0,808.0,821.0,843.0,890.0,887.0,889.0,904.0,909.0,915.0,919.0,907.0
,,,,,,,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,698.0,695.0,703.0,710.0,712.0,722.0,748.0,762.0,782.0,814.0,822.0,843.0,890.0,894.0,900.0,908.0,919.0,925.0,942.0,945.0
,,,,,,,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,596.0,652.0,652.0,652.0,652.0,658.0,665.0,671.0,683.0,695.0,710.0,726.0,749.0,771.0,814.0,822.0,876.0,889.0,902.0,905.0,917.0,921.0,936.0,938.0,942.0
,,,,,,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,596.0,622.0,622.0,632.0,639.0,661.0,673.0,680.0,697.0,717.0,749.0,771.0,795.0,807.0,867.0,882.0,896.0,902.0,908.0,915.0,934.0,935.0,943.0
,,,,,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,596.0,596.0,596.0,596.0,606.0,617.0,627.0,636.0,658.0,675.0,697.0,717.0,736.0,769.0,792.0,814.0,854.0,871.0,881.0,883.0,903.0,909.0,909.0,928.0,937.0
,,,,,506.0,506.0,506.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,559.0,559.0,568.0,604.0,615.0,634.0,658.0,675.0,693.0,711.0,742.0,764.0,793.0,805.0,839.0,858.0,864.0,873.0,882.0,895.0,906.0,909.0,924.0
