-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,750.00,755.00,764.00,766.00,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29,-999.00.30,-999.00.31,-999.00.32,-999.00.33,-999.00.34,-999.00.35,-999.00.36,-999.00.37
693.0,691.0,,,,,691.0,716.0,718.0,725.0,733.0,755.0,762.0,762.0,778.0,791.0,803.0,,,,,,,,,,,,,,,,,,,,,,,,,
669.0,678.0,676.0,677.0,684.0,686.0,695.0,711.0,722.0,729.0,727.0,764.0,774.0,780.0,793.0,807.0,839.0,841.0,854.0,,,,,,,,,,,,,,,,,,,,,,,
667.0,667.0,676.0,687.0,698.0,697.0,709.0,715.0,722.0,734.0,766.0,773.0,790.0,794.0,805.0,835.0,849.0,866.0,886.0,883.0,885.0,,,,,,,,,,,,,,,,,,,,,
667.0,669.0,689.0,697.0,708.0,717.0,721.0,723.0,728.0,744.0,770.0,784.0,795.0,807.0,832.0,851.0,865.0,879.0,890.0,896.0,910.0,924.0,930.0,,,,,,,,,,,,,,,,,,,
672.0,690.0,699.0,707.0,717.0,730.0,736.0,744.0,751.0,759.0,786.0,792.0,809.0,835.0,849.0,857.0,871.0,880.0,896.0,911.0,930.0,939.0,930.0,935.0,942.0,,,,,,,,,,,,,,,,,
680.0,690.0,699.0,711.0,726.0,736.0,747.0,762.0,767.0,770.0,802.0,810.0,825.0,839.0,853.0,855.0,877.0,894.0,909.0,918.0,930.0,939.0,942.0,951.0,959.0,982.0,1000.0,,,,,,,,,,,,,1162.0,1194.0,1222.0
685.0,692.0,702.0,710.0,725.0,742.0,755.0,760.0,770.0,795.0,808.0,819.0,830.0,838.0,848.0,859.0,871.0,891.0,909.0,918.0,932.0,973.0,974.0,971.0,994.0,1013.0,1032.0,1043.0,1056.0,,,,,,,,1102.0,1127.0,1132.0,1163.0,1192.0,1221.0
694.0,698.0,703.0,711.0,727.0,743.0,761.0,774.0,778.0,796.0,809.0,824.0,835.0,847.0,858.0,873.0,871.0,891.0,920.0,932.0,966.0,980.0,1004.0,1013.0,1038.0,1051.0,1045.0,1068.0,1079.0,1087.0,1101.0,,,1098.0,1097.0,1101.0,1111.0,1124.0,1130.0,1179.0,1188.0,1209.0
704.0,704.0,711.0,716.0,727.0,746.0,761.0,778.0,787.0,810.0,826.0,844.0,855.0,867.0,858.0,873.0,887.0,912.0,931.0,959.0,975.0,1008.0,1016.0,1030.0,1058.0,1069.0,1081.0,1085.0,1096.0,1109.0,1117.0,1114.0,1112.0,1113.0,1114.0,1118.0,1118.0,1122.0,1128.0,1175.0,1191.0,1209.0
715.0,725.0,723.0,721.0,726.0,739.0,757.0,771.0,786.0,821.0,847.0,862.0,855.0,867.0,884.0,906.0,913.0,924.0,940.0,969.0,994.0,1011.0,1018.0,1037.0,1070.0,1080.0,1086.0,1100.0,1107.0,1126.0,1135.0,1136.0,1137.0,1132.0,1137.0,1131.0,1128.0,1128.0,1136.0,1172.0,1184.0,1196.0
733.0,734.0,728.0,727.0,731.0,739.0,754.0,771.0,787.0,826.0,847.0,862.0,874.0,891.0,918.0,923.0,935.0,936.0,956.0,986.0,1005.0,1019.0,1028.0,1048.0,1074.0,1085.0,1094.0,1106.0,1123.0,1136.0,1143.0,1148.0,1166.0,1168.0,1167.0,1161.0,1153.0,1139.0,1164.0,1178.0,1171.0,1193.0
744.0,737.0,733.0,733.0,741.0,748.0,762.0,780.0,802.0,826.0,851.0,869.0,895.0,915.0,921.0,946.0,963.0,976.0,973.0,995.0,1005.0,1018.0,1027.0,1058.0,1070.0,1086.0,1099.0,1116.0,1124.0,1137.0,1143.0,1159.0,1162.0,1166.0,1170.0,1171.0,1167.0,1165.0,1162.0,1178.0,1174.0,1194.0
756.0,750.0,745.0,742.0,750.0,760.0,762.0,780.0,810.0,827.0,861.0,885.0,917.0,933.0,949.0,967.0,999.0,1007.0,1007.0,1009.0,1020.0,1027.0,1034.0,1065.0,1079.0,1086.0,1102.0,1109.0,1123.0,1127.0,1136.0,1151.0,1156.0,1160.0,1168.0,1171.0,1176.0,1176.0,1177.0,1178.0,1182.0,1198.0
