429.00,429.00.1,429.00.2,429.00.3,429.00.4,429.00.5,429.00.6,429.00.7,429.00.8,429.00.9,429.00.10,429.00.11,406.00,406.00.1,399.00,385.00,382.00,379.00,378.00,389.00,395.00,404.00,411.00,415.00,418.00,411.00.1,405.00,399.00.1,397.00,399.00.2,391.00,382.00.1,381.00,372.00,371.00,371.00.1,373.00,379.00.1,384.00,389.00.1,392.00,378.00.1,385.00.1
429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,395.0,395.0,395.0,395.0,391.0,376.0,373.0,366.0,366.0,368.0,374.0,389.0,398.0,401.0,406.0,398.0,390.0,385.0,381.0,369.0,371.0,373.0,360.0,352.0,347.0,360.0,365.0,369.0,373.0,378.0,385.0,373.0,375.0
429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,364.0,353.0,347.0,348.0,354.0,366.0,379.0,377.0,369.0,376.0,373.0,370.0,367.0,355.0,357.0,352.0,345.0,339.0,337.0,351.0,358.0,366.0,369.0,375.0,373.0,372.0,373.0
429.0,429.0,429.0,429.0,429.0,429.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,364.0,353.0,347.0,348.0,354.0,366.0,379.0,377.0,369.0,376.0,373.0,349.0,345.0,339.0,336.0,332.0,328.0,330.0,337.0,337.0,352.0,364.0,371.0,376.0,377.0,380.0,388.0
429.0,429.0,429.0,429.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,364.0,353.0,347.0,348.0,354.0,366.0,379.0,377.0,369.0,376.0,349.0,349.0,334.0,334.0,333.0,331.0,332.0,329.0,339.0,340.0,364.0,373.0,376.0,389.0,397.0,401.0,405.0
429.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,364.0,353.0,347.0,348.0,354.0,366.0,379.0,377.0,369.0,349.0,349.0,333.0,333.0,333.0,326.0,332.0,336.0,342.0,347.0,364.0,374.0,383.0,396.0,400.0,406.0,405.0,415.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,364.0,344.0,347.0,348.0,354.0,366.0,379.0,377.0,369.0,349.0,340.0,340.0,340.0,340.0,361.0,368.0,361.0,357.0,364.0,383.0,403.0,399.0,410.0,413.0,419.0,426.0,437.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,367.0,364.0,344.0,347.0,348.0,354.0,366.0,379.0,377.0,340.0,340.0,340.0,340.0,340.0,365.0,365.0,374.0,382.0,383.0,383.0,392.0,418.0,415.0,422.0,421.0,430.0,438.0,450.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,367.0,364.0,344.0,347.0,348.0,354.0,366.0,379.0,377.0,340.0,340.0,340.0,340.0,379.0,379.0,379.0,396.0,400.0,405.0,396.0,423.0,420.0,431.0,444.0,444.0,443.0,454.0,465.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,367.0,367.0,364.0,344.0,347.0,348.0,354.0,366.0,379.0,340.0,340.0,340.0,405.0,405.0,405.0,405.0,405.0,417.0,417.0,418.0,422.0,435.0,446.0,443.0,454.0,467.0,471.0,454.0,465.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,364.0,344.0,347.0,486.0,486.0,486.0,486.0,506.0,405.0,405.0,405.0,405.0,405.0,405.0,441.0,439.0,438.0,437.0,442.0,452.0,459.0,468.0,480.0,467.0,471.0,474.0,476.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,367.0,367.0,450.0,450.0,450.0,450.0,486.0,486.0,486.0,486.0,506.0,506.0,521.0,521.0,405.0,405.0,456.0,456.0,460.0,457.0,453.0,465.0,466.0,473.0,468.0,480.0,485.0,490.0,490.0,497.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,367.0,367.0,367.0,415.0,415.0,415.0,450.0,450.0,450.0,450.0,450.0,486.0,486.0,486.0,506.0,506.0,506.0,521.0,521.0,507.0,479.0,479.0,483.0,480.0,479.0,477.0,466.0,473.0,490.0,495.0,499.0,500.0,501.0,506.0
395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,367.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,450.0,450.0,450.0,450.0,486.0,486.0,486.0,486.0,506.0,506.0,521.0,521.0,521.0,507.0,507.0,510.0,505.0,479.0,477.0,490.0,493.0,500.0,507.0,513.0,514.0,519.0,532.0
395.0,395.0,395.0,395.0,395.0,395.0,388.0,388.0,388.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,450.0,450.0,450.0,450.0,486.0,486.0,486.0,506.0,506.0,506.0,521.0,521.0,537.0,533.0,510.0,505.0,505.0,502.0,509.0,520.0,522.0,522.0,528.0,528.0,529.0,539.0
395.0,395.0,395.0,362.0,362.0,388.0,388.0,388.0,388.0,388.0,388.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,450.0,450.0,450.0,486.0,486.0,486.0,504.0,506.0,506.0,524.0,533.0,538.0,533.0,533.0,531.0,530.0,528.0,536.0,542.0,535.0,535.0,536.0,533.0,546.0,548.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,388.0,388.0,388.0,388.0,388.0,388.0,415.0,415.0,415.0,415.0,415.0,415.0,450.0,450.0,450.0,486.0,486.0,504.0,516.0,533.0,545.0,533.0,538.0,554.0,560.0,557.0,551.0,546.0,552.0,557.0,557.0,551.0,550.0,551.0,549.0,575.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,388.0,388.0,388.0,388.0,388.0,415.0,415.0,415.0,415.0,415.0,450.0,450.0,477.0,499.0,517.0,539.0,533.0,545.0,553.0,559.0,574.0,577.0,578.0,576.0,577.0,580.0,575.0,578.0,576.0,577.0,580.0,586.0,597.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,388.0,388.0,388.0,388.0,388.0,415.0,415.0,415.0,415.0,444.0,475.0,499.0,517.0,539.0,542.0,548.0,555.0,562.0,581.0,582.0,584.0,586.0,586.0,587.0,589.0,588.0,586.0,588.0,591.0,595.0,601.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,388.0,388.0,388.0,388.0,388.0,410.0,410.0,441.0,475.0,499.0,523.0,540.0,542.0,549.0,553.0,568.0,573.0,574.0,576.0,579.0,581.0,583.0,585.0,587.0,587.0,589.0,594.0,594.0,596.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,388.0,388.0,388.0,388.0,410.0,441.0,466.0,492.0,505.0,521.0,535.0,538.0,544.0,556.0,561.0,564.0,573.0,578.0,581.0,570.0,567.0,571.0,573.0,577.0,581.0,585.0,585.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,388.0,388.0,414.0,436.0,467.0,472.0,492.0,505.0,519.0,530.0,530.0,541.0,546.0,552.0,562.0,562.0,553.0,544.0,550.0,546.0,555.0,560.0,563.0,570.0,572.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,397.0,403.0,434.0,441.0,466.0,474.0,488.0,506.0,508.0,512.0,527.0,529.0,530.0,531.0,524.0,530.0,530.0,531.0,541.0,545.0,551.0,556.0,557.0,560.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,392.0,398.0,393.0,433.0,445.0,458.0,475.0,487.0,491.0,509.0,512.0,513.0,503.0,498.0,495.0,497.0,513.0,526.0,532.0,539.0,545.0,552.0,558.0,555.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,389.0,382.0,399.0,407.0,431.0,448.0,460.0,472.0,494.0,489.0,486.0,478.0,482.0,484.0,488.0,496.0,517.0,535.0,545.0,545.0,554.0,561.0,560.0
