-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,836.00,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29,-999.00.30,-999.00.31,-999.00.32,-999.00.33,-999.00.34,-999.00.35,-999.00.36,-999.00.37,-999.00.38
,,,,,,,,,,,836.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,835.0,837.0,838.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,837.0,840.0,839.0,837.0,831.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,847.0,848.0,843.0,834.0,830.0,829.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,849.0,851.0,850.0,850.0,838.0,832.0,828.0,829.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,847.0,851.0,848.0,845.0,837.0,833.0,829.0,822.0,819.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,846.0,846.0,846.0,845.0,837.0,834.0,829.0,827.0,824.0,821.0,815.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,848.0,845.0,842.0,842.0,842.0,837.0,832.0,829.0,827.0,825.0,821.0,816.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,846.0,844.0,842.0,845.0,841.0,836.0,830.0,823.0,822.0,824.0,819.0,812.0,812.0,,,,,,,,,,,,,,,,,,,,,
,,,,,851.0,852.0,849.0,845.0,845.0,840.0,839.0,836.0,828.0,827.0,827.0,820.0,815.0,813.0,814.0,,,,,,,,,,,,,,,,,,,,
,,,,874.0,859.0,854.0,850.0,846.0,842.0,839.0,840.0,836.0,831.0,830.0,827.0,823.0,815.0,809.0,810.0,809.0,,,,,,,,,,,,,,,,,,,
,,,,885.0,861.0,857.0,852.0,844.0,844.0,845.0,840.0,837.0,831.0,829.0,833.0,830.0,820.0,814.0,807.0,809.0,808.0,,,,,,,,,,,,,,,,,,
,,,908.0,889.0,876.0,861.0,853.0,851.0,845.0,846.0,853.0,850.0,831.0,827.0,827.0,825.0,818.0,811.0,808.0,808.0,807.0,,,,,,,,,,,,,,,,,,
,,921.0,915.0,901.0,889.0,870.0,868.0,859.0,851.0,851.0,854.0,849.0,843.0,836.0,826.0,821.0,814.0,809.0,811.0,812.0,809.0,802.0,,,,,,,,,,,,,,,,,
,,924.0,910.0,903.0,895.0,883.0,874.0,872.0,852.0,851.0,850.0,847.0,843.0,845.0,828.0,819.0,817.0,811.0,811.0,814.0,810.0,801.0,784.0,,,,,,,,,,,,,,,,
,944.0,930.0,915.0,901.0,900.0,889.0,883.0,876.0,864.0,851.0,847.0,844.0,845.0,843.0,842.0,835.0,829.0,816.0,815.0,815.0,815.0,801.0,789.0,780.0,,,,,,,,,,,,,,,
981.0,962.0,950.0,933.0,919.0,899.0,901.0,892.0,888.0,876.0,862.0,852.0,855.0,850.0,849.0,845.0,841.0,837.0,824.0,822.0,815.0,813.0,802.0,791.0,784.0,,,,,,,,,,,,,,,
993.0,986.0,975.0,952.0,947.0,937.0,914.0,917.0,902.0,900.0,889.0,874.0,864.0,855.0,853.0,848.0,843.0,842.0,827.0,818.0,812.0,809.0,809.0,799.0,791.0,791.0,,,,,,,,,,,,,,
991.0,987.0,983.0,969.0,966.0,968.0,969.0,954.0,926.0,922.0,895.0,883.0,874.0,859.0,853.0,856.0,857.0,852.0,835.0,825.0,823.0,821.0,817.0,809.0,805.0,798.0,800.0,,,,,,,,,,,,,
984.0,983.0,985.0,976.0,976.0,976.0,983.0,974.0,976.0,933.0,928.0,914.0,899.0,881.0,864.0,870.0,883.0,875.0,866.0,851.0,836.0,833.0,826.0,821.0,827.0,822.0,825.0,822.0,,,,,,,,,,,,
989.0,986.0,983.0,973.0,972.0,983.0,989.0,987.0,980.0,977.0,953.0,931.0,919.0,909.0,904.0,899.0,905.0,891.0,882.0,874.0,865.0,844.0,841.0,844.0,835.0,835.0,839.0,845.0,835.0,,,,,,,,,,,
974.0,974.0,975.0,970.0,968.0,970.0,982.0,982.0,981.0,986.0,982.0,965.0,952.0,940.0,930.0,923.0,927.0,899.0,889.0,882.0,871.0,858.0,843.0,847.0,847.0,836.0,841.0,843.0,838.0,,,,,,,,,,,
962.0,955.0,957.0,954.0,954.0,955.0,964.0,974.0,976.0,979.0,979.0,978.0,979.0,976.0,967.0,950.0,932.0,911.0,892.0,882.0,876.0,872.0,859.0,856.0,847.0,834.0,837.0,840.0,836.0,830.0,,,,,,,,,,
954.0,936.0,939.0,941.0,940.0,937.0,943.0,954.0,955.0,957.0,960.0,965.0,973.0,981.0,980.0,971.0,939.0,914.0,903.0,887.0,882.0,874.0,868.0,860.0,853.0,840.0,835.0,830.0,829.0,831.0,831.0,,,,,,,,,
948.0,934.0,932.0,926.0,922.0,922.0,924.0,934.0,937.0,933.0,937.0,949.0,959.0,970.0,977.0,980.0,950.0,930.0,913.0,898.0,890.0,883.0,874.0,864.0,858.0,846.0,839.0,834.0,837.0,832.0,829.0,814.0,,,,,,,,
943.0,937.0,928.0,925.0,905.0,910.0,908.0,920.0,922.0,918.0,926.0,935.0,951.0,963.0,976.0,972.0,970.0,954.0,934.0,916.0,909.0,898.0,887.0,875.0,866.0,857.0,852.0,845.0,834.0,833.0,823.0,814.0,,,,,,,,
924.0,924.0,923.0,898.0,884.0,883.0,886.0,895.0,901.0,906.0,908.0,919.0,935.0,945.0,956.0,969.0,970.0,964.0,958.0,940.0,928.0,908.0,893.0,883.0,879.0,878.0,871.0,854.0,839.0,829.0,831.0,823.0,825.0,,,,,,,
897.0,893.0,883.0,873.0,868.0,869.0,873.0,873.0,879.0,887.0,891.0,895.0,907.0,923.0,937.0,962.0,969.0,963.0,956.0,952.0,946.0,941.0,926.0,911.0,897.0,889.0,878.0,868.0,854.0,848.0,832.0,838.0,825.0,821.0,,,,,,
869.0,867.0,862.0,853.0,849.0,850.0,850.0,850.0,858.0,867.0,873.0,883.0,898.0,909.0,917.0,941.0,944.0,947.0,948.0,951.0,949.0,948.0,948.0,942.0,938.0,932.0,915.0,894.0,877.0,869.0,832.0,838.0,841.0,837.0,823.0,,,,,
846.0,852.0,847.0,841.0,833.0,826.0,829.0,836.0,842.0,849.0,856.0,874.0,883.0,898.0,909.0,928.0,925.0,935.0,934.0,945.0,949.0,955.0,950.0,944.0,946.0,947.0,934.0,928.0,877.0,869.0,867.0,861.0,851.0,843.0,831.0,818.0,,,,
836.0,834.0,831.0,826.0,820.0,815.0,817.0,824.0,833.0,839.0,853.0,860.0,873.0,891.0,905.0,909.0,907.0,908.0,912.0,923.0,934.0,942.0,936.0,930.0,948.0,948.0,942.0,928.0,908.0,892.0,874.0,868.0,861.0,847.0,836.0,818.0,,,,
812.0,821.0,820.0,813.0,806.0,805.0,808.0,813.0,820.0,830.0,842.0,852.0,864.0,877.0,898.0,903.0,902.0,896.0,894.0,901.0,923.0,922.0,919.0,915.0,922.0,948.0,942.0,934.0,924.0,899.0,896.0,876.0,867.0,855.0,845.0,823.0,809.0,,,
798.0,808.0,813.0,806.0,796.0,796.0,803.0,810.0,815.0,821.0,829.0,839.0,859.0,866.0,879.0,885.0,887.0,886.0,886.0,892.0,905.0,907.0,906.0,915.0,922.0,942.0,944.0,937.0,933.0,912.0,901.0,893.0,873.0,860.0,850.0,833.0,817.0,808.0,,
791.0,791.0,800.0,795.0,788.0,784.0,791.0,801.0,809.0,815.0,821.0,827.0,833.0,843.0,863.0,873.0,880.0,877.0,880.0,881.0,891.0,907.0,906.0,906.0,905.0,914.0,925.0,937.0,932.0,910.0,904.0,892.0,875.0,862.0,849.0,844.0,831.0,820.0,815.0,
782.0,782.0,782.0,779.0,781.0,778.0,780.0,791.0,802.0,814.0,817.0,824.0,821.0,824.0,851.0,859.0,866.0,868.0,867.0,881.0,891.0,888.0,892.0,886.0,889.0,882.0,904.0,909.0,913.0,898.0,894.0,876.0,867.0,853.0,848.0,846.0,842.0,833.0,825.0,
764.0,764.0,762.0,762.0,761.0,769.0,776.0,784.0,793.0,802.0,807.0,807.0,801.0,808.0,837.0,850.0,856.0,857.0,867.0,865.0,870.0,870.0,876.0,882.0,870.0,867.0,879.0,897.0,888.0,875.0,878.0,870.0,857.0,849.0,845.0,842.0,844.0,846.0,835.0,
747.0,750.0,755.0,757.0,762.0,757.0,764.0,778.0,784.0,790.0,786.0,782.0,785.0,814.0,822.0,830.0,856.0,857.0,851.0,853.0,853.0,857.0,862.0,868.0,867.0,857.0,863.0,870.0,869.0,855.0,844.0,848.0,850.0,844.0,839.0,842.0,845.0,850.0,843.0,
737.0,739.0,746.0,759.0,764.0,767.0,757.0,759.0,775.0,784.0,777.0,771.0,772.0,792.0,822.0,830.0,839.0,840.0,834.0,824.0,827.0,833.0,830.0,842.0,845.0,839.0,834.0,842.0,849.0,835.0,825.0,832.0,833.0,829.0,827.0,836.0,843.0,846.0,847.0,
735.0,742.0,750.0,766.0,764.0,762.0,760.0,765.0,772.0,778.0,778.0,766.0,772.0,792.0,798.0,803.0,809.0,810.0,805.0,799.0,807.0,805.0,823.0,823.0,825.0,826.0,835.0,830.0,816.0,810.0,815.0,815.0,815.0,811.0,812.0,819.0,828.0,836.0,842.0,
737.0,737.0,744.0,753.0,762.0,762.0,760.0,763.0,766.0,770.0,778.0,766.0,772.0,780.0,788.0,793.0,793.0,797.0,795.0,795.0,791.0,794.0,789.0,794.0,797.0,821.0,817.0,804.0,795.0,796.0,799.0,808.0,809.0,804.0,805.0,810.0,814.0,823.0,826.0,
748.0,738.0,741.0,744.0,749.0,750.0,747.0,752.0,756.0,770.0,768.0,764.0,771.0,771.0,781.0,786.0,790.0,794.0,797.0,795.0,789.0,783.0,782.0,785.0,798.0,795.0,793.0,782.0,782.0,784.0,787.0,797.0,808.0,803.0,809.0,815.0,817.0,821.0,825.0,
743.0,732.0,735.0,743.0,739.0,733.0,739.0,752.0,756.0,756.0,758.0,753.0,767.0,765.0,773.0,780.0,791.0,798.0,799.0,794.0,777.0,781.0,787.0,787.0,786.0,777.0,771.0,765.0,772.0,773.0,775.0,787.0,799.0,799.0,804.0,811.0,819.0,816.0,817.0,820.0
731.0,732.0,733.0,733.0,729.0,733.0,739.0,743.0,746.0,739.0,744.0,746.0,758.0,767.0,773.0,777.0,782.0,796.0,791.0,787.0,781.0,776.0,780.0,778.0,766.0,760.0,757.0,759.0,758.0,758.0,765.0,776.0,790.0,784.0,790.0,797.0,800.0,802.0,807.0,812.0
720.0,727.0,727.0,733.0,729.0,725.0,732.0,731.0,731.0,733.0,739.0,741.0,750.0,758.0,767.0,777.0,777.0,775.0,776.0,772.0,772.0,768.0,768.0,759.0,746.0,744.0,748.0,754.0,754.0,758.0,761.0,765.0,761.0,765.0,771.0,778.0,787.0,792.0,800.0,804.0
718.0,727.0,727.0,725.0,724.0,724.0,729.0,729.0,728.0,731.0,738.0,738.0,747.0,743.0,752.0,761.0,766.0,765.0,769.0,762.0,760.0,751.0,751.0,748.0,741.0,738.0,737.0,739.0,746.0,753.0,760.0,764.0,768.0,763.0,763.0,769.0,777.0,784.0,794.0,807.0
