-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,903.00,916.00,924.00,933.00,938.00,934.00,925.00,915.00,918.00,909.00,901.00,906.00,922.00,939.00,956.00,975.00,1003.00,1003.00.1,1007.00,1005.00,989.00,990.00,1013.00,1016.00,1024.00,1058.00,1066.00
987.0,991.0,995.0,990.0,980.0,966.0,946.0,944.0,935.0,928.0,927.0,926.0,894.0,896.0,896.0,896.0,895.0,899.0,903.0,905.0,914.0,921.0,925.0,915.0,907.0,899.0,893.0,890.0,912.0,926.0,936.0,950.0,964.0,997.0,1004.0,984.0,975.0,973.0,976.0,990.0,1001.0,1022.0,1037.0
996.0,1002.0,1000.0,996.0,988.0,976.0,959.0,950.0,950.0,944.0,938.0,942.0,927.0,908.0,897.0,895.0,892.0,892.0,893.0,895.0,914.0,921.0,919.0,910.0,899.0,888.0,882.0,885.0,899.0,911.0,921.0,929.0,923.0,953.0,964.0,965.0,958.0,958.0,959.0,963.0,973.0,1014.0,1017.0
1005.0,1001.0,996.0,991.0,985.0,975.0,966.0,966.0,959.0,945.0,943.0,944.0,947.0,936.0,920.0,905.0,894.0,894.0,893.0,895.0,902.0,906.0,904.0,899.0,894.0,880.0,880.0,882.0,890.0,900.0,909.0,914.0,916.0,915.0,918.0,922.0,929.0,935.0,942.0,951.0,949.0,992.0,1002.0
1015.0,1009.0,995.0,995.0,989.0,982.0,976.0,967.0,962.0,962.0,964.0,957.0,951.0,946.0,939.0,929.0,894.0,894.0,892.0,892.0,894.0,898.0,898.0,889.0,887.0,880.0,872.0,876.0,879.0,885.0,888.0,891.0,903.0,906.0,903.0,899.0,892.0,919.0,927.0,942.0,941.0,955.0,971.0
1027.0,1015.0,1015.0,1008.0,1000.0,995.0,986.0,981.0,975.0,978.0,986.0,981.0,968.0,954.0,939.0,929.0,923.0,915.0,907.0,895.0,896.0,902.0,901.0,888.0,880.0,878.0,870.0,872.0,875.0,885.0,884.0,886.0,881.0,882.0,866.0,867.0,878.0,889.0,906.0,920.0,923.0,930.0,943.0
1046.0,1039.0,1026.0,1018.0,1018.0,1015.0,1006.0,998.0,987.0,989.0,997.0,992.0,982.0,954.0,944.0,943.0,938.0,930.0,931.0,922.0,920.0,915.0,911.0,891.0,880.0,871.0,867.0,863.0,863.0,878.0,880.0,882.0,870.0,862.0,846.0,853.0,864.0,874.0,887.0,897.0,900.0,906.0,913.0
1068.0,1059.0,1053.0,1048.0,1044.0,1037.0,1025.0,1015.0,1004.0,1002.0,995.0,992.0,982.0,967.0,960.0,953.0,951.0,947.0,945.0,938.0,934.0,932.0,924.0,905.0,893.0,873.0,865.0,862.0,864.0,867.0,864.0,859.0,859.0,842.0,837.0,842.0,852.0,865.0,871.0,873.0,887.0,893.0,890.0
1091.0,1089.0,1071.0,1063.0,1067.0,1058.0,1047.0,1038.0,1028.0,1002.0,995.0,995.0,986.0,978.0,971.0,964.0,960.0,961.0,965.0,958.0,951.0,946.0,938.0,927.0,913.0,878.0,867.0,861.0,862.0,861.0,854.0,854.0,848.0,837.0,833.0,833.0,838.0,848.0,857.0,864.0,876.0,884.0,882.0
1106.0,1110.0,1102.0,1097.0,1094.0,1085.0,1078.0,1038.0,1028.0,1023.0,999.0,993.0,996.0,997.0,991.0,981.0,987.0,971.0,971.0,969.0,957.0,953.0,949.0,944.0,932.0,891.0,873.0,861.0,858.0,857.0,848.0,841.0,842.0,835.0,825.0,825.0,825.0,832.0,843.0,850.0,863.0,872.0,872.0
1142.0,1134.0,1128.0,1119.0,1114.0,1085.0,1078.0,1074.0,1074.0,1055.0,1039.0,1009.0,1010.0,1023.0,1022.0,1017.0,1001.0,1000.0,981.0,979.0,962.0,955.0,954.0,956.0,940.0,904.0,880.0,864.0,852.0,852.0,845.0,841.0,834.0,839.0,826.0,821.0,818.0,821.0,829.0,834.0,843.0,850.0,854.0
