1072.00,-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16,-999.00.17,-999.00.18,-999.00.19,-999.00.20,-999.00.21,-999.00.22,-999.00.23,-999.00.24,-999.00.25,-999.00.26,-999.00.27,-999.00.28,-999.00.29,-999.00.30,-999.00.31,-999.00.32,-999.00.33,-999.00.34,-999.00.35,-999.00.36,-999.00.37,-999.00.38,-999.00.39,-999.00.40,-999.00.41,-999.00.42,-999.00.43,-999.00.44,-999.00.45
1039.0,1039.0,1028.0,1012.0,987.0,970.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017.0,1018.0,1020.0,1013.0,999.0,984.0,965.0,958.0,937.0,911.0,898.0,881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005.0,1005.0,1011.0,1010.0,1003.0,995.0,977.0,959.0,946.0,922.0,900.0,877.0,868.0,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987.0,989.0,991.0,997.0,1001.0,990.0,983.0,958.0,943.0,927.0,905.0,876.0,869.0,866.0,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955.0,957.0,965.0,976.0,990.0,987.0,979.0,955.0,946.0,931.0,911.0,889.0,871.0,871.0,868.0,853.0,837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.0,936.0,942.0,955.0,976.0,981.0,963.0,948.0,943.0,922.0,907.0,891.0,880.0,876.0,869.0,856.0,845.0,838.0,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892.0,909.0,927.0,944.0,961.0,957.0,949.0,943.0,931.0,913.0,892.0,886.0,894.0,890.0,888.0,880.0,863.0,848.0,842.0,827.0,817.0,,,,,,,,,,,,,,,,,,,,,,,,,,
878.0,881.0,896.0,920.0,933.0,941.0,945.0,931.0,926.0,902.0,892.0,886.0,901.0,900.0,898.0,894.0,882.0,867.0,849.0,838.0,817.0,809.0,,,,,,,,,,,,,,,,,,,,,,,,,
869.0,877.0,884.0,894.0,905.0,908.0,908.0,915.0,919.0,905.0,894.0,885.0,903.0,903.0,899.0,892.0,889.0,879.0,865.0,847.0,817.0,803.0,800.0,797.0,,,,,,,,,,,,,,,,,,,,,,,
858.0,867.0,874.0,875.0,876.0,879.0,889.0,897.0,906.0,900.0,896.0,889.0,895.0,904.0,905.0,902.0,892.0,881.0,865.0,852.0,831.0,807.0,797.0,793.0,787.0,782.0,,,,,,,,,,,,,,,,,,,,,
844.0,848.0,864.0,860.0,861.0,866.0,872.0,880.0,886.0,891.0,886.0,875.0,882.0,892.0,899.0,902.0,897.0,886.0,866.0,852.0,841.0,825.0,812.0,796.0,791.0,780.0,775.0,770.0,,,,,,,,,,,,,,,,,,,
