1066.00,1063.00,1058.00,1060.00,1055.00,1055.00.1,1064.00,1077.00,1086.00,1098.00,1108.00,1109.00,1108.00.1,1118.00,1118.00.1,1118.00.2,1118.00.3,1109.00.1,1115.00,1115.00.1,1119.00,1119.00.1,1136.00,1136.00.1,1136.00.2,1136.00.3,1136.00.4,1136.00.5,1136.00.6,1098.00.1,1098.00.2,1098.00.3,1098.00.4,1098.00.5,1098.00.6,1098.00.7,1098.00.8,1098.00.9,1027.00,1027.00.1,1027.00.2,1027.00.3,1027.00.4
1078.0,1075.0,1072.0,1060.0,1055.0,1070.0,1079.0,1092.0,1104.0,1110.0,1112.0,1122.0,1126.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1115.0,1115.0,1119.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0,1027.0
1108.0,1106.0,1072.0,1069.0,1081.0,1082.0,1088.0,1100.0,1105.0,1107.0,1115.0,1129.0,1129.0,1126.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1115.0,1115.0,1119.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0,1027.0,1027.0
1108.0,1106.0,1101.0,1095.0,1086.0,1086.0,1091.0,1093.0,1094.0,1096.0,1105.0,1105.0,1129.0,1129.0,1126.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1115.0,1119.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1027.0
1115.0,1108.0,1104.0,1096.0,1091.0,1089.0,1089.0,1088.0,1087.0,1090.0,1100.0,1100.0,1100.0,1100.0,1129.0,1126.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1115.0,1119.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0
1114.0,1108.0,1099.0,1092.0,1091.0,1089.0,1087.0,1092.0,1089.0,1090.0,1090.0,1100.0,1100.0,1100.0,1100.0,1100.0,1126.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1119.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0
1119.0,1115.0,1110.0,1099.0,1089.0,1085.0,1083.0,1088.0,1094.0,1094.0,1090.0,1090.0,1100.0,1100.0,1100.0,1100.0,1100.0,1126.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1119.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0
1127.0,1130.0,1125.0,1118.0,1110.0,1103.0,1101.0,1102.0,1102.0,1094.0,1094.0,1090.0,1090.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1126.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0,1098.0
1137.0,1142.0,1140.0,1135.0,1124.0,1108.0,1105.0,1105.0,1102.0,1102.0,1094.0,1094.0,1090.0,1090.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1119.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0,1098.0,1098.0
1146.0,1148.0,1144.0,1140.0,1133.0,1114.0,1109.0,1109.0,1109.0,1109.0,1102.0,1094.0,1094.0,1090.0,1090.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1098.0
1150.0,1153.0,1150.0,1142.0,1133.0,1118.0,1118.0,1109.0,1109.0,1109.0,1109.0,1109.0,1094.0,1094.0,1090.0,1090.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1118.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
