-999.00,-999.00.1,-999.00.2,-999.00.3,258.00,258.00.1,258.00.2,258.00.3,293.00,293.00.1,293.00.2,293.00.3,293.00.4,293.00.5,293.00.6,293.00.7,293.00.8,293.00.9,293.00.10,293.00.11,293.00.12,293.00.13,316.00,335.00,351.00,351.00.1,351.00.2,351.00.3,351.00.4,351.00.5,351.00.6
,,,,258.0,258.0,258.0,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,,258.0,258.0,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,,258.0,258.0,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,,258.0,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,258.0,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,316.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,258.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
,,,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,335.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0
