351.00,351.00.1,351.00.2,351.00.3,240.00,240.00.1,240.00.2,240.00.3,240.00.4,240.00.5,240.00.6,241.00,232.00,232.00.1,318.00,318.00.1,318.00.2,318.00.3,318.00.4,318.00.5,318.00.6,318.00.7,318.00.8,318.00.9,318.00.10,318.00.11,318.00.12,318.00.13,318.00.14,318.00.15,318.00.16,331.00,331.00.1,351.00.4,351.00.5,351.00.6,355.00,355.00.1,359.00,359.00.1,363.00,354.00
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,359.0,363.0,363.0,371.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,240.0,240.0,241.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,363.0,371.0,371.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,240.0,240.0,241.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,371.0,371.0,371.0,366.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0,360.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0,360.0,362.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0,360.0,362.0,362.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0,360.0,362.0,362.0,373.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,359.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0,360.0,362.0,362.0,373.0,373.0
351.0,351.0,351.0,351.0,351.0,240.0,240.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,331.0,331.0,351.0,351.0,355.0,355.0,359.0,359.0,363.0,363.0,363.0,371.0,371.0,366.0,366.0,360.0,360.0,362.0,362.0,373.0,373.0,378.0
