865.00,876.00,877.00,875.00,880.00,887.00,898.00,906.00,912.00,910.00,902.00,901.00,910.00.1,910.00.2,908.00,906.00.1,897.00,898.00.1,902.00.1,908.00.1,912.00.1,912.00.2,915.00,915.00.1,915.00.2,938.00,935.00,962.00,959.00,968.00,974.00,983.00,1005.00,1014.00,1016.00,1016.00.1,1013.00,1008.00,1013.00.1,1021.00,1025.00,1018.00,1006.00
848.0,858.0,862.0,859.0,856.0,869.0,881.0,886.0,898.0,897.0,882.0,882.0,897.0,899.0,902.0,888.0,880.0,878.0,882.0,887.0,883.0,893.0,897.0,915.0,915.0,914.0,929.0,963.0,962.0,957.0,973.0,984.0,1003.0,1014.0,1016.0,1014.0,1013.0,1008.0,1010.0,1018.0,1016.0,1018.0,1020.0
825.0,819.0,811.0,810.0,820.0,837.0,849.0,849.0,860.0,857.0,858.0,862.0,872.0,870.0,870.0,860.0,860.0,862.0,863.0,866.0,861.0,893.0,897.0,898.0,900.0,902.0,910.0,949.0,957.0,964.0,971.0,983.0,1000.0,1012.0,1012.0,1011.0,1012.0,1013.0,1015.0,1017.0,1018.0,1022.0,1026.0
810.0,802.0,794.0,793.0,798.0,809.0,815.0,814.0,823.0,826.0,836.0,843.0,849.0,846.0,847.0,840.0,844.0,849.0,847.0,866.0,861.0,866.0,869.0,872.0,877.0,885.0,910.0,939.0,948.0,957.0,964.0,980.0,990.0,1000.0,1013.0,1014.0,1014.0,1017.0,1021.0,1020.0,1018.0,1024.0,1027.0
786.0,787.0,781.0,786.0,793.0,796.0,792.0,791.0,795.0,807.0,803.0,814.0,830.0,838.0,831.0,824.0,828.0,849.0,847.0,850.0,848.0,849.0,854.0,854.0,859.0,867.0,890.0,910.0,949.0,952.0,961.0,974.0,981.0,988.0,1002.0,1009.0,1013.0,1019.0,1025.0,1028.0,1031.0,1025.0,1028.0
757.0,754.0,757.0,767.0,774.0,776.0,778.0,785.0,787.0,798.0,798.0,801.0,809.0,805.0,809.0,824.0,828.0,832.0,828.0,828.0,834.0,831.0,840.0,847.0,850.0,857.0,886.0,903.0,929.0,943.0,949.0,959.0,978.0,987.0,992.0,997.0,1003.0,1011.0,1020.0,1028.0,1034.0,1022.0,1023.0
742.0,737.0,740.0,748.0,749.0,753.0,755.0,762.0,775.0,775.0,773.0,776.0,779.0,805.0,809.0,808.0,806.0,812.0,809.0,810.0,813.0,811.0,818.0,833.0,844.0,856.0,887.0,899.0,915.0,924.0,945.0,963.0,978.0,986.0,987.0,990.0,999.0,1015.0,1024.0,1026.0,1028.0,1028.0,1027.0
732.0,724.0,719.0,721.0,728.0,738.0,748.0,750.0,755.0,755.0,751.0,776.0,779.0,784.0,787.0,785.0,791.0,788.0,790.0,796.0,804.0,800.0,804.0,815.0,827.0,844.0,885.0,893.0,904.0,920.0,942.0,967.0,978.0,983.0,987.0,993.0,1006.0,1016.0,1023.0,1026.0,1034.0,1036.0,1035.0
719.0,711.0,708.0,709.0,714.0,720.0,724.0,722.0,737.0,735.0,751.0,752.0,758.0,762.0,764.0,768.0,769.0,764.0,769.0,778.0,789.0,794.0,798.0,811.0,811.0,853.0,871.0,889.0,900.0,916.0,937.0,965.0,973.0,982.0,994.0,1006.0,1019.0,1024.0,1029.0,1031.0,1043.0,1046.0,1045.0
711.0,699.0,698.0,701.0,700.0,705.0,708.0,714.0,737.0,735.0,726.0,726.0,734.0,734.0,731.0,740.0,739.0,743.0,758.0,769.0,778.0,789.0,794.0,805.0,816.0,844.0,866.0,894.0,905.0,919.0,935.0,956.0,966.0,976.0,992.0,1009.0,1016.0,1025.0,1036.0,1044.0,1054.0,1054.0,1055.0
699.0,693.0,689.0,688.0,675.0,677.0,708.0,714.0,722.0,726.0,712.0,709.0,708.0,711.0,721.0,717.0,720.0,739.0,740.0,762.0,774.0,781.0,798.0,808.0,814.0,851.0,871.0,893.0,908.0,925.0,943.0,959.0,966.0,979.0,992.0,1005.0,1011.0,1020.0,1029.0,1042.0,1055.0,1057.0,1055.0
