-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,374.00,386.00,394.00,411.00,431.00,442.00,449.00,460.00,469.00,489.00,504.00,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14
,,,,,372.0,385.0,390.0,412.0,431.0,438.0,440.0,445.0,469.0,481.0,488.0,497.0,,,,,,,,,
,,,,,369.0,382.0,397.0,412.0,422.0,430.0,429.0,432.0,449.0,466.0,484.0,495.0,497.0,,,,,,,,
,,,,,367.0,385.0,404.0,412.0,418.0,417.0,417.0,416.0,439.0,455.0,470.0,488.0,493.0,,,,,,,,
,,,,,362.0,382.0,399.0,405.0,408.0,398.0,395.0,401.0,429.0,445.0,459.0,472.0,482.0,494.0,,,,,,,
,,,,330.0,362.0,376.0,392.0,401.0,404.0,389.0,385.0,392.0,417.0,429.0,442.0,458.0,470.0,478.0,484.0,,,,,,
,,,,328.0,352.0,369.0,382.0,387.0,381.0,380.0,379.0,393.0,398.0,408.0,419.0,432.0,441.0,464.0,474.0,,,,,,
,,,,327.0,338.0,353.0,363.0,365.0,362.0,366.0,366.0,386.0,388.0,394.0,399.0,410.0,424.0,437.0,464.0,474.0,,,,,
,,,,313.0,327.0,341.0,349.0,346.0,344.0,349.0,353.0,376.0,368.0,375.0,394.0,403.0,417.0,427.0,450.0,476.0,480.0,,,,
,,,,312.0,328.0,344.0,349.0,340.0,339.0,338.0,343.0,365.0,374.0,371.0,381.0,394.0,411.0,427.0,450.0,476.0,481.0,,,,
,,,,306.0,327.0,345.0,347.0,341.0,335.0,333.0,340.0,347.0,351.0,365.0,378.0,390.0,411.0,427.0,446.0,453.0,471.0,478.0,,,
,,,,294.0,311.0,336.0,340.0,343.0,332.0,329.0,325.0,332.0,341.0,356.0,378.0,390.0,406.0,417.0,431.0,442.0,456.0,466.0,468.0,,
,,,,288.0,300.0,328.0,339.0,338.0,337.0,332.0,320.0,326.0,321.0,356.0,369.0,380.0,389.0,406.0,419.0,434.0,445.0,456.0,449.0,,
,,,,288.0,306.0,319.0,332.0,333.0,331.0,330.0,322.0,326.0,321.0,338.0,363.0,368.0,384.0,393.0,417.0,426.0,436.0,443.0,444.0,438.0,
,,,,288.0,306.0,311.0,319.0,324.0,322.0,330.0,322.0,314.0,310.0,328.0,330.0,349.0,367.0,377.0,394.0,410.0,427.0,435.0,434.0,420.0,385.0
,,,288.0,288.0,311.0,311.0,319.0,324.0,322.0,325.0,317.0,306.0,304.0,309.0,312.0,327.0,350.0,377.0,390.0,404.0,418.0,425.0,426.0,412.0,380.0
,,,288.0,311.0,311.0,311.0,312.0,312.0,311.0,303.0,299.0,297.0,296.0,307.0,308.0,317.0,329.0,361.0,377.0,395.0,411.0,421.0,418.0,411.0,366.0
,,,288.0,311.0,311.0,312.0,312.0,301.0,301.0,285.0,281.0,279.0,282.0,286.0,296.0,307.0,322.0,353.0,371.0,392.0,407.0,416.0,417.0,413.0,368.0
