358.00,348.00,333.00,329.00,321.00,309.00,298.00,285.00,267.00,252.00,245.00,236.00,227.00,222.00,216.00,220.00,228.00,242.00,259.00,266.00,270.00,270.00.1,263.00,286.00,289.00,289.00.1,303.00,303.00.1,348.00.1,348.00.2,348.00.3,373.00,365.00,365.00.1,365.00.2,344.00,344.00.1,344.00.2,343.00,357.00,357.00.1,366.00
352.0,333.0,327.0,321.0,306.0,295.0,291.0,273.0,257.0,241.0,236.0,229.0,224.0,217.0,207.0,210.0,222.0,234.0,251.0,258.0,260.0,260.0,263.0,263.0,289.0,289.0,289.0,303.0,303.0,348.0,348.0,373.0,365.0,365.0,365.0,344.0,344.0,344.0,357.0,357.0,357.0,358.0
351.0,335.0,317.0,310.0,298.0,289.0,278.0,261.0,250.0,239.0,241.0,240.0,239.0,213.0,204.0,203.0,213.0,217.0,228.0,228.0,260.0,260.0,263.0,263.0,263.0,289.0,289.0,303.0,303.0,303.0,348.0,365.0,365.0,365.0,344.0,344.0,344.0,344.0,357.0,357.0,337.0,337.0
338.0,328.0,307.0,300.0,288.0,272.0,265.0,254.0,246.0,242.0,241.0,243.0,242.0,219.0,205.0,201.0,205.0,205.0,228.0,228.0,260.0,260.0,260.0,263.0,263.0,289.0,289.0,289.0,303.0,303.0,348.0,365.0,365.0,365.0,344.0,344.0,344.0,357.0,357.0,314.0,314.0,314.0
353.0,328.0,307.0,300.0,288.0,247.0,247.0,244.0,239.0,242.0,249.0,242.0,242.0,229.0,206.0,206.0,205.0,205.0,228.0,228.0,228.0,260.0,260.0,263.0,263.0,263.0,289.0,289.0,303.0,303.0,303.0,365.0,365.0,365.0,344.0,344.0,344.0,357.0,295.0,295.0,295.0,295.0
353.0,353.0,307.0,300.0,288.0,247.0,247.0,244.0,239.0,242.0,240.0,240.0,241.0,232.0,206.0,206.0,206.0,205.0,205.0,228.0,228.0,260.0,260.0,260.0,263.0,263.0,289.0,289.0,289.0,303.0,303.0,365.0,365.0,344.0,344.0,344.0,276.0,276.0,276.0,276.0,276.0,276.0
353.0,353.0,307.0,300.0,247.0,247.0,247.0,244.0,239.0,240.0,240.0,240.0,241.0,232.0,232.0,206.0,206.0,205.0,205.0,205.0,228.0,228.0,260.0,260.0,263.0,263.0,263.0,289.0,289.0,303.0,303.0,365.0,365.0,344.0,344.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
353.0,353.0,353.0,300.0,247.0,247.0,247.0,244.0,239.0,240.0,240.0,240.0,232.0,232.0,232.0,206.0,206.0,206.0,205.0,205.0,228.0,228.0,260.0,260.0,260.0,263.0,263.0,289.0,289.0,289.0,303.0,365.0,344.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0
369.0,353.0,353.0,247.0,247.0,247.0,247.0,244.0,240.0,240.0,240.0,240.0,232.0,232.0,232.0,232.0,206.0,206.0,205.0,205.0,205.0,228.0,228.0,260.0,260.0,263.0,263.0,263.0,289.0,289.0,303.0,303.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0
369.0,353.0,353.0,247.0,247.0,247.0,247.0,244.0,240.0,240.0,240.0,240.0,232.0,232.0,232.0,232.0,206.0,206.0,206.0,205.0,205.0,228.0,228.0,228.0,260.0,260.0,263.0,263.0,289.0,289.0,289.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,237.0,237.0
369.0,369.0,353.0,247.0,247.0,247.0,247.0,244.0,240.0,240.0,240.0,240.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,205.0,205.0,205.0,228.0,228.0,260.0,260.0,263.0,263.0,263.0,289.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,215.0,215.0,215.0,215.0
