-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,-999.00.8,-999.00.9,642.00,636.00,629.00,618.00,614.00,609.00,632.00,637.00,625.00,631.00,617.00,615.00,615.00.1,614.00.1,594.00,590.00,595.00,602.00,598.00,598.00.1,602.00.1,606.00,604.00,605.00,605.00.1,603.00,601.00,590.00.1,587.00,566.00,556.00,558.00,548.00,545.00,535.00,514.00,528.00,536.00,552.00,564.00,573.00,585.00
,,,,,,,,,647.0,633.0,628.0,623.0,613.0,606.0,601.0,599.0,601.0,601.0,601.0,598.0,597.0,597.0,595.0,576.0,569.0,574.0,579.0,577.0,577.0,581.0,586.0,602.0,603.0,596.0,583.0,583.0,581.0,572.0,554.0,536.0,539.0,543.0,529.0,522.0,514.0,528.0,530.0,535.0,558.0,564.0,571.0
,,,,,,,,664.0,648.0,632.0,617.0,611.0,603.0,596.0,597.0,587.0,592.0,591.0,575.0,572.0,568.0,569.0,567.0,562.0,562.0,562.0,566.0,563.0,560.0,561.0,571.0,574.0,565.0,558.0,558.0,556.0,555.0,551.0,538.0,524.0,516.0,522.0,529.0,509.0,514.0,509.0,525.0,536.0,548.0,563.0,575.0
,,,,,,,,666.0,654.0,639.0,619.0,610.0,601.0,594.0,578.0,566.0,554.0,555.0,554.0,554.0,553.0,552.0,552.0,555.0,560.0,561.0,558.0,550.0,536.0,540.0,551.0,557.0,552.0,540.0,539.0,538.0,533.0,530.0,525.0,516.0,507.0,522.0,505.0,504.0,505.0,510.0,521.0,541.0,549.0,563.0,577.0
,,,,,,,663.0,659.0,650.0,634.0,621.0,615.0,602.0,594.0,559.0,550.0,538.0,537.0,536.0,537.0,534.0,535.0,540.0,545.0,550.0,548.0,544.0,531.0,516.0,518.0,545.0,546.0,547.0,536.0,528.0,520.0,521.0,520.0,518.0,516.0,507.0,504.0,505.0,498.0,493.0,500.0,512.0,526.0,539.0,553.0,568.0
,,,,,,664.0,661.0,655.0,642.0,630.0,616.0,608.0,599.0,570.0,547.0,545.0,534.0,528.0,523.0,519.0,510.0,516.0,523.0,531.0,538.0,533.0,525.0,517.0,503.0,510.0,523.0,537.0,536.0,532.0,525.0,509.0,491.0,520.0,518.0,500.0,491.0,486.0,495.0,492.0,489.0,492.0,502.0,511.0,522.0,537.0,552.0
,,,,,,656.0,646.0,641.0,630.0,620.0,609.0,592.0,581.0,567.0,552.0,534.0,520.0,504.0,508.0,509.0,495.0,502.0,510.0,520.0,529.0,520.0,516.0,508.0,493.0,492.0,507.0,502.0,510.0,513.0,506.0,509.0,491.0,494.0,498.0,487.0,474.0,477.0,480.0,490.0,492.0,496.0,499.0,504.0,515.0,533.0,545.0
,,,,,654.0,645.0,637.0,625.0,619.0,609.0,598.0,576.0,568.0,553.0,539.0,527.0,504.0,489.0,484.0,483.0,486.0,496.0,499.0,510.0,525.0,519.0,515.0,502.0,488.0,492.0,493.0,490.0,488.0,513.0,506.0,491.0,475.0,461.0,458.0,473.0,470.0,471.0,480.0,484.0,493.0,500.0,506.0,507.0,514.0,527.0,551.0
,,,,640.0,646.0,639.0,628.0,613.0,604.0,596.0,582.0,568.0,559.0,537.0,524.0,512.0,496.0,484.0,480.0,479.0,477.0,484.0,498.0,498.0,499.0,497.0,493.0,498.0,494.0,485.0,463.0,490.0,488.0,491.0,481.0,472.0,462.0,457.0,458.0,463.0,469.0,471.0,475.0,482.0,492.0,498.0,504.0,510.0,519.0,539.0,555.0
,,,,626.0,634.0,634.0,622.0,608.0,593.0,585.0,564.0,553.0,525.0,520.0,514.0,502.0,489.0,477.0,475.0,473.0,474.0,480.0,485.0,485.0,480.0,481.0,459.0,461.0,452.0,485.0,463.0,459.0,462.0,464.0,471.0,457.0,450.0,444.0,451.0,455.0,461.0,475.0,481.0,486.0,496.0,502.0,506.0,516.0,530.0,552.0,571.0
,,,616.0,625.0,626.0,627.0,620.0,609.0,592.0,572.0,555.0,531.0,508.0,504.0,503.0,494.0,480.0,473.0,467.0,466.0,471.0,477.0,477.0,466.0,463.0,454.0,443.0,461.0,452.0,447.0,443.0,444.0,445.0,446.0,446.0,444.0,439.0,439.0,446.0,450.0,464.0,475.0,499.0,498.0,500.0,503.0,519.0,532.0,554.0,573.0,576.0
