-999.00,-999.00.1,-999.00.2,-999.00.3,-999.00.4,-999.00.5,-999.00.6,-999.00.7,618.00,615.00,619.00,622.00,642.00,649.00,668.00,665.00,674.00,684.00,700.00,714.00,712.00,695.00,702.00,706.00,720.00,739.00,749.00,748.00,756.00,762.00,774.00,773.00,779.00,793.00,801.00,808.00,825.00,835.00,843.00,861.00,870.00,878.00,883.00,887.00,882.00,875.00,875.00.1,870.00.1,874.00,875.00.2,873.00,-999.00.8,-999.00.9,-999.00.10,-999.00.11,-999.00.12,-999.00.13,-999.00.14,-999.00.15,-999.00.16
,,,,,,,611.0,612.0,615.0,607.0,610.0,618.0,635.0,644.0,642.0,647.0,662.0,675.0,685.0,685.0,675.0,667.0,667.0,680.0,688.0,695.0,705.0,719.0,737.0,746.0,757.0,766.0,777.0,790.0,804.0,828.0,840.0,849.0,859.0,869.0,879.0,883.0,887.0,891.0,896.0,894.0,886.0,880.0,881.0,886.0,884.0,,,,,,,,
,,,,,,,594.0,595.0,589.0,605.0,603.0,613.0,623.0,624.0,626.0,621.0,617.0,635.0,638.0,640.0,637.0,642.0,651.0,644.0,654.0,672.0,686.0,693.0,706.0,733.0,738.0,759.0,776.0,784.0,793.0,822.0,837.0,842.0,853.0,864.0,879.0,888.0,894.0,900.0,903.0,902.0,895.0,895.0,898.0,902.0,894.0,891.0,,,,,,,
,,,,,,574.0,573.0,574.0,578.0,593.0,590.0,588.0,590.0,598.0,603.0,601.0,599.0,596.0,595.0,596.0,604.0,612.0,614.0,626.0,632.0,638.0,658.0,664.0,685.0,704.0,729.0,741.0,766.0,776.0,783.0,812.0,820.0,830.0,853.0,864.0,878.0,887.0,893.0,901.0,906.0,909.0,904.0,906.0,906.0,909.0,902.0,898.0,,,,,,,
,,,,,563.0,553.0,557.0,556.0,561.0,569.0,574.0,567.0,576.0,575.0,580.0,578.0,575.0,574.0,573.0,574.0,578.0,581.0,589.0,602.0,618.0,629.0,642.0,663.0,671.0,689.0,717.0,739.0,752.0,768.0,780.0,803.0,820.0,830.0,841.0,852.0,870.0,878.0,882.0,897.0,904.0,910.0,908.0,915.0,910.0,915.0,916.0,913.0,906.0,,,,,,
,,,,,547.0,534.0,531.0,537.0,537.0,542.0,541.0,547.0,552.0,551.0,560.0,560.0,559.0,560.0,564.0,563.0,564.0,564.0,571.0,585.0,602.0,612.0,632.0,645.0,665.0,683.0,698.0,721.0,743.0,754.0,789.0,803.0,812.0,819.0,836.0,843.0,857.0,866.0,872.0,880.0,890.0,896.0,902.0,909.0,913.0,920.0,916.0,914.0,918.0,913.0,,,,,
,,,,540.0,537.0,516.0,510.0,508.0,507.0,501.0,506.0,511.0,516.0,517.0,523.0,530.0,533.0,533.0,538.0,538.0,544.0,551.0,556.0,565.0,583.0,603.0,608.0,620.0,634.0,661.0,685.0,701.0,743.0,754.0,781.0,792.0,800.0,808.0,818.0,829.0,842.0,849.0,861.0,872.0,882.0,891.0,899.0,904.0,908.0,915.0,914.0,917.0,913.0,910.0,,,,,
,,,523.0,517.0,513.0,503.0,484.0,483.0,480.0,479.0,482.0,490.0,494.0,491.0,494.0,498.0,499.0,501.0,501.0,503.0,519.0,528.0,538.0,551.0,571.0,576.0,601.0,602.0,622.0,628.0,685.0,701.0,718.0,742.0,770.0,781.0,786.0,794.0,805.0,819.0,832.0,842.0,852.0,861.0,867.0,875.0,888.0,898.0,900.0,897.0,892.0,890.0,891.0,890.0,897.0,,,,
,,,512.0,498.0,481.0,469.0,461.0,461.0,459.0,460.0,469.0,476.0,479.0,479.0,481.0,486.0,486.0,485.0,485.0,491.0,488.0,497.0,512.0,533.0,543.0,557.0,579.0,585.0,622.0,628.0,655.0,686.0,697.0,726.0,758.0,768.0,771.0,776.0,791.0,811.0,820.0,827.0,837.0,846.0,855.0,864.0,869.0,880.0,879.0,876.0,877.0,870.0,871.0,878.0,881.0,890.0,,,
,,512.0,505.0,491.0,467.0,458.0,451.0,448.0,448.0,449.0,457.0,466.0,471.0,470.0,472.0,477.0,477.0,475.0,472.0,477.0,480.0,478.0,490.0,511.0,519.0,538.0,579.0,585.0,606.0,619.0,621.0,663.0,691.0,709.0,741.0,752.0,759.0,764.0,773.0,790.0,806.0,819.0,826.0,834.0,843.0,852.0,861.0,868.0,864.0,859.0,861.0,864.0,859.0,867.0,873.0,878.0,,,
,511.0,506.0,500.0,492.0,466.0,451.0,441.0,437.0,436.0,443.0,452.0,460.0,460.0,461.0,461.0,463.0,463.0,461.0,459.0,460.0,463.0,468.0,475.0,488.0,519.0,538.0,559.0,568.0,585.0,594.0,614.0,649.0,674.0,726.0,736.0,742.0,750.0,758.0,768.0,778.0,786.0,797.0,813.0,822.0,832.0,843.0,849.0,861.0,852.0,848.0,852.0,849.0,852.0,852.0,866.0,872.0,882.0,,
