999.00,997.00,991.00,984.00,986.00,987.00,986.00.1,987.00.1,986.00.2,994.00,1003.00,1011.00,1007.00,1005.00,994.00.1,989.00,987.00.2,975.00,965.00,965.00.1,929.00,910.00,892.00,887.00,884.00,863.00,863.00.1,862.00,862.00.1,862.00.2,854.00,851.00,848.00,847.00,849.00,848.00.1,849.00.1,842.00,836.00,834.00,818.00,806.00,798.00
1002.0,994.0,990.0,986.0,971.0,968.0,962.0,963.0,963.0,964.0,978.0,984.0,990.0,992.0,989.0,982.0,975.0,968.0,965.0,958.0,937.0,909.0,906.0,906.0,894.0,870.0,868.0,862.0,861.0,855.0,848.0,836.0,835.0,828.0,834.0,835.0,838.0,835.0,836.0,831.0,816.0,800.0,789.0
1013.0,1002.0,993.0,979.0,969.0,962.0,958.0,955.0,953.0,954.0,947.0,954.0,971.0,973.0,963.0,956.0,953.0,951.0,949.0,951.0,934.0,920.0,914.0,913.0,902.0,876.0,870.0,869.0,853.0,845.0,842.0,836.0,824.0,821.0,823.0,823.0,825.0,822.0,822.0,823.0,805.0,796.0,794.0
1017.0,1011.0,1007.0,997.0,977.0,967.0,958.0,950.0,947.0,947.0,941.0,944.0,936.0,950.0,941.0,935.0,928.0,931.0,926.0,931.0,927.0,926.0,913.0,907.0,897.0,872.0,869.0,860.0,848.0,847.0,835.0,834.0,829.0,827.0,823.0,821.0,822.0,823.0,817.0,808.0,799.0,797.0,807.0
1014.0,1011.0,1010.0,1002.0,993.0,982.0,970.0,957.0,953.0,946.0,950.0,934.0,945.0,935.0,933.0,920.0,912.0,910.0,907.0,915.0,920.0,914.0,912.0,899.0,881.0,873.0,868.0,860.0,845.0,832.0,837.0,836.0,837.0,836.0,834.0,830.0,821.0,816.0,814.0,812.0,803.0,810.0,819.0
1019.0,1019.0,1016.0,1004.0,991.0,981.0,975.0,978.0,977.0,960.0,953.0,949.0,941.0,920.0,924.0,901.0,893.0,881.0,877.0,886.0,902.0,908.0,903.0,891.0,878.0,874.0,868.0,859.0,842.0,827.0,831.0,837.0,841.0,834.0,829.0,826.0,819.0,816.0,815.0,821.0,816.0,821.0,829.0
1039.0,1029.0,1010.0,998.0,981.0,976.0,975.0,980.0,983.0,975.0,969.0,951.0,938.0,921.0,905.0,897.0,876.0,872.0,869.0,870.0,874.0,880.0,878.0,876.0,869.0,866.0,858.0,850.0,834.0,820.0,821.0,827.0,833.0,834.0,823.0,817.0,812.0,808.0,811.0,823.0,827.0,828.0,839.0
1046.0,1037.0,1023.0,1012.0,985.0,977.0,973.0,978.0,994.0,993.0,986.0,977.0,950.0,935.0,912.0,894.0,871.0,867.0,865.0,863.0,861.0,866.0,865.0,855.0,853.0,852.0,851.0,849.0,840.0,826.0,820.0,819.0,814.0,820.0,823.0,820.0,817.0,818.0,821.0,830.0,830.0,839.0,846.0
1047.0,1039.0,1033.0,1027.0,1015.0,991.0,983.0,990.0,993.0,992.0,985.0,979.0,975.0,950.0,935.0,906.0,897.0,871.0,865.0,860.0,856.0,853.0,852.0,846.0,842.0,846.0,850.0,848.0,849.0,844.0,832.0,825.0,818.0,816.0,823.0,823.0,820.0,821.0,830.0,832.0,845.0,848.0,851.0
1053.0,1045.0,1039.0,1033.0,1029.0,1021.0,1013.0,1004.0,999.0,995.0,982.0,976.0,977.0,961.0,942.0,933.0,906.0,886.0,878.0,866.0,857.0,854.0,848.0,845.0,847.0,854.0,852.0,848.0,846.0,841.0,843.0,829.0,830.0,823.0,822.0,825.0,827.0,834.0,850.0,859.0,860.0,861.0,862.0
1054.0,1050.0,1039.0,1031.0,1028.0,1026.0,1019.0,1010.0,997.0,992.0,984.0,978.0,966.0,957.0,944.0,936.0,914.0,897.0,883.0,876.0,879.0,872.0,872.0,850.0,852.0,851.0,852.0,857.0,854.0,860.0,855.0,860.0,843.0,836.0,836.0,838.0,837.0,849.0,872.0,882.0,882.0,881.0,880.0
