1154.00,1144.00,1148.00,1149.00,1143.00,1134.00,1126.00,1119.00,1120.00,1121.00,1118.00,1114.00,1108.00,1106.00,1107.00,1106.00.1,1108.00.1,1104.00,1097.00,1092.00,1083.00,1080.00,1079.00,1080.00.1,1082.00,1088.00,1089.00,1083.00.1,1083.00.2,1087.00,1087.00.1,1087.00.2,1105.00,1127.00,1127.00.1,1124.00,1124.00.1,1124.00.2,1113.00,1113.00.1,1086.00,1086.00.1,1086.00.2
1154.0,1145.0,1149.0,1153.0,1153.0,1146.0,1138.0,1119.0,1119.0,1125.0,1120.0,1112.0,1111.0,1106.0,1099.0,1098.0,1092.0,1086.0,1083.0,1082.0,1082.0,1075.0,1072.0,1074.0,1072.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1127.0,1127.0,1127.0,1124.0,1124.0,1113.0,1113.0,1113.0,1086.0,1086.0
1159.0,1150.0,1158.0,1161.0,1162.0,1156.0,1132.0,1125.0,1120.0,1121.0,1119.0,1116.0,1110.0,1109.0,1103.0,1096.0,1092.0,1084.0,1081.0,1079.0,1079.0,1074.0,1074.0,1074.0,1074.0,1078.0,1078.0,1083.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1127.0,1127.0,1124.0,1124.0,1124.0,1113.0,1113.0,1086.0,1086.0
1165.0,1164.0,1157.0,1162.0,1159.0,1163.0,1141.0,1132.0,1130.0,1133.0,1127.0,1122.0,1117.0,1114.0,1116.0,1118.0,1109.0,1095.0,1084.0,1081.0,1080.0,1078.0,1082.0,1082.0,1074.0,1074.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1127.0,1127.0,1127.0,1124.0,1124.0,1113.0,1113.0,1113.0,1086.0
1171.0,1165.0,1159.0,1159.0,1157.0,1156.0,1150.0,1142.0,1143.0,1145.0,1141.0,1135.0,1122.0,1118.0,1119.0,1122.0,1121.0,1109.0,1100.0,1104.0,1090.0,1086.0,1082.0,1082.0,1082.0,1074.0,1078.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1127.0,1127.0,1124.0,1124.0,1124.0,1113.0,1113.0,1086.0
1175.0,1169.0,1160.0,1154.0,1153.0,1150.0,1161.0,1162.0,1157.0,1158.0,1156.0,1132.0,1130.0,1123.0,1119.0,1118.0,1122.0,1121.0,1113.0,1120.0,1086.0,1086.0,1086.0,1082.0,1082.0,1082.0,1074.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1127.0,1127.0,1124.0,1124.0,1113.0,1113.0,1113.0
1176.0,1172.0,1166.0,1168.0,1168.0,1177.0,1182.0,1182.0,1179.0,1170.0,1158.0,1157.0,1126.0,1120.0,1127.0,1123.0,1127.0,1129.0,1113.0,1120.0,1120.0,1086.0,1086.0,1082.0,1082.0,1082.0,1082.0,1078.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1127.0,1124.0,1124.0,1124.0,1113.0,1113.0
1189.0,1184.0,1187.0,1181.0,1194.0,1193.0,1192.0,1192.0,1187.0,1178.0,1174.0,1156.0,1143.0,1135.0,1145.0,1145.0,1139.0,1129.0,1129.0,1120.0,1120.0,1086.0,1086.0,1086.0,1082.0,1082.0,1082.0,1082.0,1078.0,1078.0,1083.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1127.0,1127.0,1124.0,1124.0,1113.0,1113.0
1207.0,1201.0,1201.0,1203.0,1206.0,1204.0,1213.0,1208.0,1194.0,1189.0,1181.0,1169.0,1152.0,1140.0,1138.0,1145.0,1139.0,1139.0,1129.0,1129.0,1120.0,1120.0,1086.0,1086.0,1082.0,1082.0,1082.0,1082.0,1082.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1127.0,1124.0,1124.0,1124.0,1113.0
1216.0,1211.0,1216.0,1218.0,1216.0,1221.0,1219.0,1215.0,1206.0,1196.0,1187.0,1170.0,1152.0,1152.0,1138.0,1138.0,1139.0,1139.0,1139.0,1129.0,1120.0,1120.0,1086.0,1086.0,1086.0,1082.0,1082.0,1082.0,1082.0,1078.0,1078.0,1083.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1127.0,1124.0,1124.0,1113.0
1221.0,1216.0,1217.0,1219.0,1218.0,1219.0,1220.0,1223.0,1223.0,1196.0,1187.0,1170.0,1152.0,1152.0,1138.0,1138.0,1138.0,1139.0,1139.0,1139.0,1139.0,1120.0,1120.0,1086.0,1086.0,1082.0,1082.0,1082.0,1082.0,1082.0,1078.0,1078.0,1083.0,1083.0,1087.0,1087.0,1087.0,1087.0,1087.0,1127.0,1124.0,1124.0,1124.0
