733.00,730.00,720.00,721.00,720.00.1,726.00,731.00,746.00,753.00,747.00,740.00,740.00.1,753.00.1,767.00,774.00,772.00,775.00,780.00,784.00,774.00.1,772.00.1,772.00.2,761.00,751.00,743.00,741.00,743.00.1,744.00,744.00.1,753.00.2,755.00,753.00.3,751.00.1,745.00,752.00,732.00,739.00,741.00.1,741.00.2,745.00.1,744.00.2,740.00.2,733.00.1
761.0,758.0,747.0,750.0,752.0,756.0,768.0,773.0,775.0,766.0,768.0,763.0,770.0,787.0,800.0,798.0,797.0,797.0,801.0,805.0,801.0,799.0,796.0,783.0,767.0,771.0,776.0,772.0,770.0,775.0,779.0,778.0,779.0,780.0,779.0,761.0,766.0,755.0,760.0,762.0,763.0,760.0,756.0
767.0,767.0,767.0,769.0,780.0,785.0,781.0,781.0,783.0,784.0,804.0,806.0,800.0,808.0,819.0,819.0,821.0,827.0,831.0,837.0,840.0,832.0,813.0,804.0,796.0,795.0,796.0,795.0,788.0,785.0,794.0,807.0,806.0,805.0,797.0,797.0,806.0,803.0,800.0,783.0,789.0,790.0,784.0
797.0,792.0,791.0,789.0,792.0,792.0,796.0,799.0,800.0,802.0,806.0,808.0,811.0,836.0,832.0,839.0,839.0,838.0,842.0,847.0,845.0,841.0,835.0,815.0,803.0,801.0,819.0,817.0,818.0,819.0,823.0,830.0,832.0,826.0,825.0,819.0,816.0,817.0,814.0,811.0,806.0,811.0,813.0
825.0,824.0,823.0,819.0,821.0,825.0,816.0,820.0,821.0,822.0,827.0,827.0,828.0,844.0,848.0,866.0,864.0,853.0,854.0,854.0,852.0,852.0,850.0,846.0,841.0,842.0,843.0,847.0,836.0,835.0,846.0,840.0,839.0,836.0,843.0,846.0,823.0,826.0,829.0,832.0,833.0,843.0,848.0
843.0,842.0,841.0,842.0,842.0,836.0,839.0,840.0,844.0,853.0,848.0,846.0,852.0,852.0,863.0,878.0,897.0,894.0,875.0,872.0,872.0,872.0,878.0,888.0,884.0,870.0,870.0,865.0,875.0,874.0,868.0,873.0,867.0,849.0,850.0,853.0,864.0,872.0,866.0,873.0,881.0,884.0,874.0
850.0,855.0,864.0,864.0,866.0,857.0,858.0,860.0,870.0,864.0,859.0,863.0,871.0,865.0,881.0,900.0,905.0,900.0,904.0,906.0,893.0,896.0,901.0,906.0,905.0,897.0,893.0,884.0,896.0,900.0,893.0,888.0,893.0,902.0,899.0,903.0,911.0,914.0,916.0,908.0,911.0,912.0,894.0
851.0,869.0,875.0,878.0,877.0,883.0,894.0,890.0,884.0,876.0,880.0,883.0,896.0,892.0,896.0,902.0,908.0,914.0,916.0,906.0,906.0,917.0,920.0,923.0,926.0,931.0,917.0,921.0,916.0,915.0,919.0,919.0,931.0,937.0,928.0,928.0,938.0,932.0,934.0,930.0,931.0,928.0,898.0
847.0,864.0,875.0,880.0,890.0,893.0,905.0,903.0,899.0,900.0,898.0,902.0,904.0,912.0,910.0,914.0,916.0,922.0,919.0,923.0,927.0,935.0,943.0,950.0,950.0,937.0,944.0,943.0,942.0,949.0,954.0,952.0,949.0,952.0,950.0,944.0,942.0,941.0,945.0,948.0,944.0,934.0,913.0
831.0,851.0,865.0,875.0,887.0,898.0,906.0,911.0,913.0,914.0,923.0,924.0,913.0,922.0,917.0,925.0,933.0,942.0,939.0,940.0,945.0,954.0,958.0,965.0,959.0,954.0,954.0,953.0,956.0,964.0,966.0,966.0,968.0,969.0,966.0,945.0,946.0,962.0,957.0,949.0,949.0,937.0,929.0
825.0,840.0,855.0,871.0,886.0,891.0,901.0,911.0,916.0,925.0,935.0,938.0,938.0,942.0,943.0,946.0,950.0,947.0,944.0,951.0,961.0,967.0,972.0,979.0,983.0,982.0,970.0,966.0,969.0,973.0,976.0,976.0,966.0,973.0,973.0,965.0,971.0,976.0,967.0,952.0,955.0,946.0,946.0
