经度,纬度,降水量,时间步长,月份
112.952246,24.688057,168.75,0,201101
112.965083,24.688057,164.0,0,201101
112.97792,24.688057,159.0,0,201101
112.862387,24.696527,168.5,0,201101
112.888061,24.696527,178.25,0,201101
112.939409,24.696527,171.5,0,201101
112.952246,24.696527,170.5,0,201101
112.965083,24.696527,164.0,0,201101
112.97792,24.696527,159.0,0,201101
112.990757,24.696527,155.0,0,201101
113.003594,24.696527,154.0,0,201101
113.016431,24.696527,153.75,0,201101
112.84955,24.704997,166.0,0,201101
112.862387,24.704997,167.75,0,201101
112.875224,24.704997,173.75,0,201101
112.888061,24.704997,176.25,0,201101
112.900898,24.704997,183.5,0,201101
112.913735,24.704997,177.75,0,201101
112.926572,24.704997,174.0,0,201101
112.939409,24.704997,171.5,0,201101
112.952246,24.704997,169.5,0,201101
112.965083,24.704997,162.0,0,201101
112.97792,24.704997,159.0,0,201101
112.990757,24.704997,156.0,0,201101
113.003594,24.704997,154.0,0,201101
113.016431,24.704997,153.75,0,201101
112.84955,24.713467,167.0,0,201101
112.862387,24.713467,169.5,0,201101
112.875224,24.713467,175.75,0,201101
112.888061,24.713467,179.0,0,201101
112.900898,24.713467,180.5,0,201101
112.913735,24.713467,174.75,0,201101
112.926572,24.713467,172.75,0,201101
112.939409,24.713467,171.0,0,201101
112.952246,24.713467,167.5,0,201101
112.965083,24.713467,162.0,0,201101
112.97792,24.713467,159.75,0,201101
112.990757,24.713467,158.25,0,201101
113.003594,24.713467,155.5,0,201101
112.84955,24.721937,169.5,0,201101
112.862387,24.721937,171.25,0,201101
112.875224,24.721937,174.75,0,201101
112.888061,24.721937,178.0,0,201101
112.900898,24.721937,177.0,0,201101
112.913735,24.721937,173.75,0,201101
112.926572,24.721937,174.25,0,201101
112.939409,24.721937,174.0,0,201101
112.952246,24.721937,168.25,0,201101
112.965083,24.721937,164.25,0,201101
112.97792,24.721937,161.25,0,201101
112.990757,24.721937,160.0,0,201101
113.003594,24.721937,157.0,0,201101
112.862387,24.730407,172.0,0,201101
112.875224,24.730407,174.5,0,201101
112.888061,24.730407,175.0,0,201101
112.900898,24.730407,174.0,0,201101
112.913735,24.730407,170.75,0,201101
112.926572,24.730407,174.0,0,201101
112.939409,24.730407,172.0,0,201101
112.952246,24.730407,168.0,0,201101
112.965083,24.730407,162.0,0,201101
112.97792,24.730407,161.0,0,201101
112.990757,24.730407,159.0,0,201101
113.003594,24.730407,156.0,0,201101
112.84955,24.738877,163.5,0,201101
112.862387,24.738877,169.0,0,201101
112.875224,24.738877,169.5,0,201101
112.888061,24.738877,169.25,0,201101
112.900898,24.738877,168.0,0,201101
112.913735,24.738877,169.0,0,201101
112.926572,24.738877,171.0,0,201101
112.939409,24.738877,173.5,0,201101
112.952246,24.738877,168.75,0,201101
112.965083,24.738877,163.0,0,201101
112.97792,24.738877,159.0,0,201101
112.990757,24.738877,157.0,0,201101
113.003594,24.738877,155.0,0,201101
112.84955,24.747347,159.25,0,201101
112.862387,24.747347,162.75,0,201101
112.875224,24.747347,162.25,0,201101
112.888061,24.747347,164.0,0,201101
112.900898,24.747347,165.25,0,201101
112.913735,24.747347,169.0,0,201101
112.926572,24.747347,170.0,0,201101
112.939409,24.747347,173.0,0,201101
112.952246,24.747347,169.75,0,201101
112.965083,24.747347,164.0,0,201101
112.97792,24.747347,159.0,0,201101
112.84955,24.755817,154.5,0,201101
112.862387,24.755817,156.0,0,201101
112.875224,24.755817,157.75,0,201101
112.888061,24.755817,162.25,0,201101
112.900898,24.755817,166.25,0,201101
112.913735,24.755817,170.75,0,201101
112.926572,24.755817,173.25,0,201101
112.939409,24.755817,176.0,0,201101
112.952246,24.755817,170.0,0,201101
112.965083,24.755817,167.0,0,201101
112.97792,24.755817,161.25,0,201101
112.84955,24.764287,154.25,0,201101
112.862387,24.764287,154.75,0,201101
112.875224,24.764287,157.5,0,201101
112.888061,24.764287,160.75,0,201101
112.900898,24.764287,165.0,0,201101
112.913735,24.764287,169.25,0,201101
112.926572,24.764287,173.75,0,201101
112.939409,24.764287,178.0,0,201101
112.952246,24.764287,176.5,0,201101
112.965083,24.764287,172.75,0,201101
112.97792,24.764287,164.75,0,201101
112.836713,24.772757,156.0,0,201101
112.84955,24.772757,156.5,0,201101
112.862387,24.772757,159.0,0,201101
112.875224,24.772757,162.75,0,201101
112.888061,24.772757,162.0,0,201101
112.900898,24.772757,164.5,0,201101
112.913735,24.772757,168.75,0,201101
112.926572,24.772757,173.5,0,201101
112.939409,24.772757,178.5,0,201101
112.952246,24.772757,181.0,0,201101
112.965083,24.772757,173.5,0,201101
112.97792,24.772757,167.0,0,201101
112.836713,24.781227,157.5,0,201101
112.84955,24.781227,157.25,0,201101
112.862387,24.781227,161.5,0,201101
112.875224,24.781227,169.75,0,201101
112.888061,24.781227,169.25,0,201101
112.900898,24.781227,169.0,0,201101
112.913735,24.781227,171.5,0,201101
112.926572,24.781227,175.0,0,201101
112.939409,24.781227,178.0,0,201101
112.952246,24.781227,182.25,0,201101
112.965083,24.781227,176.75,0,201101
112.97792,24.781227,168.0,0,201101
112.84955,24.789697,160.5,0,201101
112.862387,24.789697,164.0,0,201101
112.875224,24.789697,170.25,0,201101
112.888061,24.789697,172.0,0,201101
112.900898,24.789697,172.25,0,201101
112.913735,24.789697,175.75,0,201101
112.926572,24.789697,181.0,0,201101
112.939409,24.789697,182.25,0,201101
112.952246,24.789697,182.75,0,201101
112.965083,24.789697,179.75,0,201101
112.97792,24.789697,171.0,0,201101
112.84955,24.798167,162.25,0,201101
112.862387,24.798167,164.0,0,201101
112.875224,24.798167,164.0,0,201101
112.888061,24.798167,166.75,0,201101
112.900898,24.798167,172.75,0,201101
112.913735,24.798167,176.25,0,201101
112.926572,24.798167,180.5,0,201101
112.939409,24.798167,182.75,0,201101
112.952246,24.798167,187.75,0,201101
112.965083,24.798167,183.25,0,201101
112.97792,24.798167,179.25,0,201101
112.875224,24.806637,158.75,0,201101
112.888061,24.806637,161.25,0,201101
112.900898,24.806637,168.5,0,201101
112.913735,24.806637,174.75,0,201101
112.926572,24.806637,180.25,0,201101
112.939409,24.806637,182.5,0,201101
112.952246,24.806637,189.25,0,201101
112.965083,24.806637,186.5,0,201101
112.97792,24.806637,180.75,0,201101
112.875224,24.815107,157.75,0,201101
112.888061,24.815107,160.5,0,201101
112.900898,24.815107,170.25,0,201101
112.913735,24.815107,178.5,0,201101
112.926572,24.815107,182.5,0,201101
112.939409,24.815107,184.75,0,201101
112.952246,24.815107,191.75,0,201101
112.965083,24.815107,184.0,0,201101
112.875224,24.823577,160.25,0,201101
112.888061,24.823577,162.75,0,201101
112.900898,24.823577,173.5,0,201101
112.913735,24.823577,180.75,0,201101
112.926572,24.823577,186.25,0,201101
112.939409,24.823577,190.0,0,201101
112.952246,24.823577,191.75,0,201101
112.965083,24.823577,184.25,0,201101
112.888061,24.832047,163.5,0,201101
112.900898,24.832047,175.25,0,201101
112.913735,24.832047,179.75,0,201101
112.888061,24.840517,162.25,0,201101
112.888061,24.848987,162.25,0,201101
112.952246,24.688057,524.75,1,201102
112.965083,24.688057,519.75,1,201102
112.97792,24.688057,516.5,1,201102
112.862387,24.696527,507.5,1,201102
112.888061,24.696527,534.0,1,201102
112.939409,24.696527,529.75,1,201102
112.952246,24.696527,527.5,1,201102
112.965083,24.696527,521.5,1,201102
112.97792,24.696527,516.5,1,201102
112.990757,24.696527,515.5,1,201102
113.003594,24.696527,516.25,1,201102
113.016431,24.696527,516.5,1,201102
112.84955,24.704997,501.25,1,201102
112.862387,24.704997,506.25,1,201102
112.875224,24.704997,519.5,1,201102
112.888061,24.704997,530.0,1,201102
112.900898,24.704997,542.0,1,201102
112.913735,24.704997,538.25,1,201102
112.926572,24.704997,532.0,1,201102
112.939409,24.704997,531.25,1,201102
112.952246,24.704997,527.75,1,201102
112.965083,24.704997,521.75,1,201102
112.97792,24.704997,519.25,1,201102
112.990757,24.704997,517.0,1,201102
113.003594,24.704997,516.25,1,201102
113.016431,24.704997,516.5,1,201102
112.84955,24.713467,505.25,1,201102
112.862387,24.713467,514.25,1,201102
112.875224,24.713467,530.25,1,201102
112.888061,24.713467,535.5,1,201102
112.900898,24.713467,540.75,1,201102
112.913735,24.713467,537.25,1,201102
112.926572,24.713467,532.25,1,201102
112.939409,24.713467,531.75,1,201102
112.952246,24.713467,526.75,1,201102
112.965083,24.713467,520.5,1,201102
112.97792,24.713467,518.0,1,201102
112.990757,24.713467,516.0,1,201102
113.003594,24.713467,515.25,1,201102
112.84955,24.721937,512.0,1,201102
112.862387,24.721937,519.75,1,201102
112.875224,24.721937,533.0,1,201102
112.888061,24.721937,537.0,1,201102
112.900898,24.721937,538.25,1,201102
112.913735,24.721937,535.0,1,201102
112.926572,24.721937,535.25,1,201102
112.939409,24.721937,535.5,1,201102
112.952246,24.721937,528.0,1,201102
112.965083,24.721937,522.0,1,201102
112.97792,24.721937,517.25,1,201102
112.990757,24.721937,519.0,1,201102
113.003594,24.721937,515.25,1,201102
112.862387,24.730407,518.5,1,201102
112.875224,24.730407,529.5,1,201102
112.888061,24.730407,529.5,1,201102
112.900898,24.730407,532.0,1,201102
112.913735,24.730407,529.0,1,201102
112.926572,24.730407,535.5,1,201102
112.939409,24.730407,531.75,1,201102
112.952246,24.730407,528.25,1,201102
112.965083,24.730407,522.5,1,201102
112.97792,24.730407,519.0,1,201102
112.990757,24.730407,516.5,1,201102
113.003594,24.730407,515.25,1,201102
112.84955,24.738877,502.25,1,201102
112.862387,24.738877,509.75,1,201102
112.875224,24.738877,519.5,1,201102
112.888061,24.738877,519.5,1,201102
112.900898,24.738877,518.25,1,201102
112.913735,24.738877,521.5,1,201102
112.926572,24.738877,531.75,1,201102
112.939409,24.738877,532.25,1,201102
112.952246,24.738877,528.75,1,201102
112.965083,24.738877,524.0,1,201102
112.97792,24.738877,517.75,1,201102
112.990757,24.738877,514.25,1,201102
113.003594,24.738877,514.25,1,201102
