时间步长,经度,纬度,相对湿度 (%),年份
0,112.952246,24.688057,69.9,201701
0,112.965083,24.688057,71.95,201701
0,112.97792,24.688057,70.19,201701
0,112.862387,24.696527,71.22,201701
0,112.888061,24.696527,72.9,201701
0,112.939409,24.696527,67.43,201701
0,112.952246,24.696527,71.05,201701
0,112.965083,24.696527,73.54,201701
0,112.97792,24.696527,72.79,201701
0,112.990757,24.696527,73.95,201701
0,113.003594,24.696527,74.27,201701
0,113.016431,24.696527,73.87,201701
0,112.84955,24.704997,72.06,201701
0,112.862387,24.704997,71.35,201701
0,112.875224,24.704997,71.73,201701
0,112.888061,24.704997,72.65,201701
0,112.900898,24.704997,72.91,201701
0,112.913735,24.704997,72.41,201701
0,112.926572,24.704997,71.29,201701
0,112.939409,24.704997,69.39,201701
0,112.952246,24.704997,72.05,201701
0,112.965083,24.704997,74.95,201701
0,112.97792,24.704997,74.73,201701
0,112.990757,24.704997,75.77,201701
0,113.003594,24.704997,74.97,201701
0,113.016431,24.704997,74.06,201701
0,112.84955,24.713467,71.61,201701
0,112.862387,24.713467,72.51,201701
0,112.875224,24.713467,72.9,201701
0,112.888061,24.713467,72.47,201701
0,112.900898,24.713467,73.02,201701
0,112.913735,24.713467,72.76,201701
0,112.926572,24.713467,72.6,201701
0,112.939409,24.713467,73.52,201701
0,112.952246,24.713467,74.34,201701
0,112.965083,24.713467,75.43,201701
0,112.97792,24.713467,73.03,201701
0,112.990757,24.713467,73.78,201701
0,113.003594,24.713467,73.77,201701
0,112.84955,24.721937,72.93,201701
0,112.862387,24.721937,73.29,201701
0,112.875224,24.721937,73.69,201701
0,112.888061,24.721937,73.76,201701
0,112.900898,24.721937,71.47,201701
0,112.913735,24.721937,72.91,201701
0,112.926572,24.721937,73.97,201701
0,112.939409,24.721937,74.56,201701
0,112.952246,24.721937,75.19,201701
0,112.965083,24.721937,72.85,201701
0,112.97792,24.721937,70.91,201701
0,112.990757,24.721937,72.94,201701
0,113.003594,24.721937,73.71,201701
0,112.862387,24.730407,74.35,201701
0,112.875224,24.730407,74.98,201701
0,112.888061,24.730407,74.09,201701
0,112.900898,24.730407,70.84,201701
0,112.913735,24.730407,71.51,201701
0,112.926572,24.730407,73.47,201701
0,112.939409,24.730407,74.51,201701
0,112.952246,24.730407,72.53,201701
0,112.965083,24.730407,69.67,201701
0,112.97792,24.730407,68.88,201701
0,112.990757,24.730407,67.78,201701
0,113.003594,24.730407,71.98,201701
0,112.84955,24.738877,75.22,201701
0,112.862387,24.738877,75.46,201701
0,112.875224,24.738877,70.71,201701
0,112.888061,24.738877,71.11,201701
0,112.900898,24.738877,68.1,201701
0,112.913735,24.738877,68.83,201701
0,112.926572,24.738877,72.19,201701
0,112.939409,24.738877,73.28,201701
0,112.952246,24.738877,69.76,201701
0,112.965083,24.738877,67.95,201701
0,112.97792,24.738877,69.08,201701
0,112.990757,24.738877,68.47,201701
0,113.003594,24.738877,70.0,201701
0,112.84955,24.747347,74.16,201701
0,112.862387,24.747347,75.62,201701
0,112.875224,24.747347,68.54,201701
0,112.888061,24.747347,68.12,201701
0,112.900898,24.747347,65.44,201701
0,112.913735,24.747347,68.19,201701
0,112.926572,24.747347,72.99,201701
0,112.939409,24.747347,72.02,201701
0,112.952246,24.747347,68.03,201701
0,112.965083,24.747347,72.15,201701
0,112.97792,24.747347,70.91,201701
0,112.84955,24.755817,72.72,201701
0,112.862387,24.755817,73.72,201701
0,112.875224,24.755817,67.86,201701
0,112.888061,24.755817,65.53,201701
0,112.900898,24.755817,64.81,201701
0,112.913735,24.755817,65.36,201701
0,112.926572,24.755817,71.44,201701
0,112.939409,24.755817,72.58,201701
0,112.952246,24.755817,70.07,201701
0,112.965083,24.755817,72.83,201701
0,112.97792,24.755817,74.16,201701
0,112.84955,24.764287,72.12,201701
0,112.862387,24.764287,69.7,201701
0,112.875224,24.764287,65.8,201701
0,112.888061,24.764287,64.42,201701
0,112.900898,24.764287,66.56,201701
0,112.913735,24.764287,64.09,201701
0,112.926572,24.764287,67.98,201701
0,112.939409,24.764287,72.6,201701
0,112.952246,24.764287,72.85,201701
0,112.965083,24.764287,74.0,201701
0,112.97792,24.764287,70.42,201701
0,112.836713,24.772757,64.85,201701
0,112.84955,24.772757,69.24,201701
0,112.862387,24.772757,67.51,201701
0,112.875224,24.772757,64.87,201701
0,112.888061,24.772757,65.01,201701
0,112.900898,24.772757,64.45,201701
0,112.913735,24.772757,65.26,201701
0,112.926572,24.772757,66.85,201701
0,112.939409,24.772757,68.26,201701
0,112.952246,24.772757,72.91,201701
0,112.965083,24.772757,71.82,201701
0,112.97792,24.772757,68.32,201701
0,112.836713,24.781227,65.12,201701
0,112.84955,24.781227,66.89,201701
0,112.862387,24.781227,64.97,201701
0,112.875224,24.781227,64.88,201701
0,112.888061,24.781227,66.2,201701
0,112.900898,24.781227,64.34,201701
0,112.913735,24.781227,65.01,201701
0,112.926572,24.781227,66.77,201701
0,112.939409,24.781227,64.62,201701
0,112.952246,24.781227,71.41,201701
0,112.965083,24.781227,71.8,201701
0,112.97792,24.781227,67.84,201701
0,112.84955,24.789697,69.48,201701
0,112.862387,24.789697,63.92,201701
0,112.875224,24.789697,64.56,201701
0,112.888061,24.789697,68.53,201701
0,112.900898,24.789697,65.98,201701
0,112.913735,24.789697,63.93,201701
0,112.926572,24.789697,66.17,201701
0,112.939409,24.789697,65.15,201701
0,112.952246,24.789697,68.35,201701
0,112.965083,24.789697,67.95,201701
0,112.97792,24.789697,67.62,201701
0,112.84955,24.798167,68.04,201701
0,112.862387,24.798167,65.61,201701
0,112.875224,24.798167,65.7,201701
0,112.888061,24.798167,70.93,201701
0,112.900898,24.798167,64.42,201701
0,112.913735,24.798167,65.91,201701
0,112.926572,24.798167,65.68,201701
0,112.939409,24.798167,65.56,201701
0,112.952246,24.798167,66.29,201701
0,112.965083,24.798167,65.87,201701
0,112.97792,24.798167,68.83,201701
0,112.875224,24.806637,66.85,201701
0,112.888061,24.806637,69.65,201701
0,112.900898,24.806637,65.31,201701
0,112.913735,24.806637,66.48,201701
0,112.926572,24.806637,65.98,201701
0,112.939409,24.806637,66.35,201701
0,112.952246,24.806637,66.07,201701
0,112.965083,24.806637,65.85,201701
0,112.97792,24.806637,71.16,201701
0,112.875224,24.815107,66.59,201701
0,112.888061,24.815107,66.6,201701
0,112.900898,24.815107,66.29,201701
0,112.913735,24.815107,65.35,201701
0,112.926572,24.815107,66.21,201701
0,112.939409,24.815107,66.76,201701
0,112.952246,24.815107,65.53,201701
0,112.965083,24.815107,67.54,201701
0,112.875224,24.823577,65.35,201701
0,112.888061,24.823577,67.38,201701
0,112.900898,24.823577,65.44,201701
0,112.913735,24.823577,66.65,201701
0,112.926572,24.823577,65.98,201701
