经度,纬度,温度,时间步长,月份
112.952246,24.688057,7.074999999999999,0,201901
112.965083,24.688057,7.5,0,201901
112.97792,24.688057,7.925,0,201901
112.862387,24.696527,8.1,0,201901
112.888061,24.696527,5.775,0,201901
112.939409,24.696527,6.374999999999999,0,201901
112.952246,24.696527,6.824999999999999,0,201901
112.965083,24.696527,7.475,0,201901
112.97792,24.696527,7.925,0,201901
112.990757,24.696527,7.975,0,201901
113.003594,24.696527,7.95,0,201901
113.016431,24.696527,7.925000000000001,0,201901
112.84955,24.704997,8.375,0,201901
112.862387,24.704997,8.175,0,201901
112.875224,24.704997,7.025,0,201901
112.888061,24.704997,6.125,0,201901
112.900898,24.704997,4.7,0,201901
112.913735,24.704997,5.225,0,201901
112.926572,24.704997,5.9,0,201901
112.939409,24.704997,6.25,0,201901
112.952246,24.704997,6.75,0,201901
112.965083,24.704997,7.275,0,201901
112.97792,24.704997,7.725,0,201901
112.990757,24.704997,7.85,0,201901
113.003594,24.704997,7.949999999999999,0,201901
113.016431,24.704997,7.925000000000001,0,201901
112.84955,24.713467,8.075,0,201901
112.862387,24.713467,7.450000000000001,0,201901
112.875224,24.713467,5.925,0,201901
112.888061,24.713467,5.375,0,201901
112.900898,24.713467,4.75,0,201901
112.913735,24.713467,5.275,0,201901
112.926572,24.713467,5.800000000000001,0,201901
112.939409,24.713467,6.175000000000001,0,201901
112.952246,24.713467,6.675000000000001,0,201901
112.965083,24.713467,7.25,0,201901
112.97792,24.713467,7.55,0,201901
112.990757,24.713467,7.65,0,201901
113.003594,24.713467,7.775,0,201901
112.84955,24.721937,7.549999999999999,0,201901
112.862387,24.721937,6.925000000000001,0,201901
112.875224,24.721937,5.575,0,201901
112.888061,24.721937,4.95,0,201901
112.900898,24.721937,4.875,0,201901
112.913735,24.721937,5.3500000000000005,0,201901
112.926572,24.721937,5.6,0,201901
112.939409,24.721937,5.85,0,201901
112.952246,24.721937,6.5,0,201901
112.965083,24.721937,6.949999999999999,0,201901
112.97792,24.721937,7.4,0,201901
112.990757,24.721937,7.475,0,201901
113.003594,24.721937,7.649999999999999,0,201901
112.862387,24.730407,6.95,0,201901
112.875224,24.730407,5.775,0,201901
112.888061,24.730407,5.425000000000001,0,201901
112.900898,24.730407,5.275,0,201901
112.913735,24.730407,5.725,0,201901
112.926572,24.730407,5.475,0,201901
112.939409,24.730407,5.924999999999999,0,201901
112.952246,24.730407,6.425000000000001,0,201901
112.965083,24.730407,6.975,0,201901
112.97792,24.730407,7.25,0,201901
112.990757,24.730407,7.475,0,201901
113.003594,24.730407,7.675,0,201901
112.84955,24.738877,7.85,0,201901
112.862387,24.738877,7.300000000000001,0,201901
112.875224,24.738877,6.475,0,201901
112.888061,24.738877,6.275,0,201901
112.900898,24.738877,6.375,0,201901
112.913735,24.738877,6.2,0,201901
112.926572,24.738877,5.699999999999999,0,201901
112.939409,24.738877,5.75,0,201901
112.952246,24.738877,6.3500000000000005,0,201901
112.965083,24.738877,6.949999999999999,0,201901
112.97792,24.738877,7.375,0,201901
112.990757,24.738877,7.574999999999999,0,201901
113.003594,24.738877,7.674999999999999,0,201901
112.84955,24.747347,8.275,0,201901
112.862387,24.747347,7.8,0,201901
112.875224,24.747347,7.425,0,201901
112.888061,24.747347,7.025,0,201901
112.900898,24.747347,6.775,0,201901
112.913735,24.747347,6.275,0,201901
112.926572,24.747347,5.85,0,201901
112.939409,24.747347,5.675000000000001,0,201901
112.952246,24.747347,6.225,0,201901
112.965083,24.747347,6.9,0,201901
112.97792,24.747347,7.449999999999999,0,201901
112.84955,24.755817,8.875,0,201901
112.862387,24.755817,8.5,0,201901
112.875224,24.755817,8.075000000000001,0,201901
112.888061,24.755817,7.425,0,201901
112.900898,24.755817,6.775,0,201901
112.913735,24.755817,6.175,0,201901
112.926572,24.755817,5.625,0,201901
112.939409,24.755817,5.425000000000001,0,201901
112.952246,24.755817,6.175000000000001,0,201901
112.965083,24.755817,6.675,0,201901
112.97792,24.755817,7.3,0,201901
112.84955,24.764287,9.175,0,201901
112.862387,24.764287,8.75,0,201901
112.875224,24.764287,8.225,0,201901
112.888061,24.764287,7.725,0,201901
112.900898,24.764287,7.1,0,201901
112.913735,24.764287,6.5,0,201901
112.926572,24.764287,5.775,0,201901
112.939409,24.764287,5.3,0,201901
112.952246,24.764287,5.75,0,201901
112.965083,24.764287,6.225,0,201901
112.97792,24.764287,7.0,0,201901
112.836713,24.772757,9.4,0,201901
112.84955,24.772757,9.075,0,201901
112.862387,24.772757,8.5,0,201901
112.875224,24.772757,7.925,0,201901
112.888061,24.772757,7.775,0,201901
112.900898,24.772757,7.35,0,201901
112.913735,24.772757,6.75,0,201901
112.926572,24.772757,6.175,0,201901
112.939409,24.772757,5.55,0,201901
112.952246,24.772757,5.55,0,201901
112.965083,24.772757,6.375,0,201901
112.97792,24.772757,6.875,0,201901
112.836713,24.781227,9.375,0,201901
112.84955,24.781227,8.9,0,201901
112.862387,24.781227,8.15,0,201901
112.875224,24.781227,7.300000000000001,0,201901
112.888061,24.781227,7.15,0,201901
112.900898,24.781227,7.050000000000001,0,201901
112.913735,24.781227,6.550000000000001,0,201901
112.926572,24.781227,6.1,0,201901
112.939409,24.781227,5.574999999999999,0,201901
112.952246,24.781227,5.25,0,201901
112.965083,24.781227,6.025,0,201901
112.97792,24.781227,6.85,0,201901
112.84955,24.789697,8.625,0,201901
112.862387,24.789697,7.975,0,201901
112.875224,24.789697,7.35,0,201901
112.888061,24.789697,7.0,0,201901
112.900898,24.789697,6.8,0,201901
112.913735,24.789697,6.175,0,201901
112.926572,24.789697,5.6000000000000005,0,201901
112.939409,24.789697,5.2,0,201901
112.952246,24.789697,5.125,0,201901
112.965083,24.789697,5.799999999999999,0,201901
112.97792,24.789697,6.675000000000001,0,201901
112.84955,24.798167,8.450000000000001,0,201901
112.862387,24.798167,8.05,0,201901
112.875224,24.798167,7.975,0,201901
112.888061,24.798167,7.424999999999999,0,201901
112.900898,24.798167,6.85,0,201901
112.913735,24.798167,6.275,0,201901
112.926572,24.798167,5.700000000000001,0,201901
112.939409,24.798167,5.175000000000001,0,201901
112.952246,24.798167,4.925,0,201901
112.965083,24.798167,5.424999999999999,0,201901
112.97792,24.798167,5.949999999999999,0,201901
112.875224,24.806637,8.525,0,201901
112.888061,24.806637,8.024999999999999,0,201901
112.900898,24.806637,7.3,0,201901
112.913735,24.806637,6.5,0,201901
112.926572,24.806637,5.949999999999999,0,201901
112.939409,24.806637,5.45,0,201901
112.952246,24.806637,5.074999999999999,0,201901
112.965083,24.806637,5.275,0,201901
112.97792,24.806637,5.925,0,201901
112.875224,24.815107,8.625,0,201901
112.888061,24.815107,8.125,0,201901
112.900898,24.815107,7.3,0,201901
112.913735,24.815107,6.45,0,201901
112.926572,24.815107,5.8,0,201901
112.939409,24.815107,5.275,0,201901
112.952246,24.815107,5.074999999999999,0,201901
112.965083,24.815107,5.7,0,201901
112.875224,24.823577,8.375,0,201901
112.888061,24.823577,8.1,0,201901
112.900898,24.823577,7.125,0,201901
112.913735,24.823577,6.4,0,201901
112.926572,24.823577,5.6000000000000005,0,201901
112.939409,24.823577,5.15,0,201901
112.952246,24.823577,5.075,0,201901
112.965083,24.823577,5.675,0,201901
112.888061,24.832047,8.100000000000001,0,201901
112.900898,24.832047,6.9750000000000005,0,201901
112.913735,24.832047,6.6,0,201901
112.888061,24.840517,8.175,0,201901
112.888061,24.848987,8.175,0,201901
112.952246,24.688057,10.025,1,201902
112.965083,24.688057,10.475,1,201902
112.97792,24.688057,10.95,1,201902
112.862387,24.696527,11.075,1,201902
112.888061,24.696527,8.65,1,201902
112.939409,24.696527,9.3,1,201902
112.952246,24.696527,9.75,1,201902
112.965083,24.696527,10.475,1,201902
112.97792,24.696527,10.95,1,201902
112.990757,24.696527,11.0,1,201902
113.003594,24.696527,10.95,1,201902
113.016431,24.696527,10.975,1,201902
112.84955,24.704997,11.325,1,201902
112.862387,24.704997,11.15,1,201902
112.875224,24.704997,9.95,1,201902
112.888061,24.704997,9.0,1,201902
112.900898,24.704997,7.6,1,201902
112.913735,24.704997,8.1,1,201902
112.926572,24.704997,8.799999999999999,1,201902
112.939409,24.704997,9.15,1,201902
112.952246,24.704997,9.7,1,201902
112.965083,24.704997,10.275,1,201902
112.97792,24.704997,10.75,1,201902
