经度,纬度,降水量,时间步长,相对湿度 (%),温度,月份
112.952246,24.688057,509.25,0,71.32,6.275,201501
112.965083,24.688057,495.75,0,71.93,6.7,201501
112.97792,24.688057,482.0,0,69.77,7.125,201501
112.862387,24.696527,500.75,0,68.13,7.199999999999999,201501
112.888061,24.696527,531.75,0,67.55,4.875,201501
112.939409,24.696527,516.5,0,69.18,5.550000000000001,201501
112.952246,24.696527,514.25,0,71.41,6.0,201501
112.965083,24.696527,495.5,0,71.6,6.675,201501
112.97792,24.696527,482.0,0,72.92,7.125,201501
112.990757,24.696527,470.75,0,73.55,7.175000000000001,201501
113.003594,24.696527,468.25,0,74.02,7.15,201501
113.016431,24.696527,468.5,0,72.97,7.125,201501
112.84955,24.704997,492.0,0,67.64,7.475,201501
112.862387,24.704997,497.75,0,66.97,7.274999999999999,201501
112.875224,24.704997,517.5,0,67.02,6.125,201501
112.888061,24.704997,526.0,0,66.97,5.225,201501
112.900898,24.704997,548.5,0,67.11,3.8,201501
112.913735,24.704997,532.0,0,67.44,4.35,201501
112.926572,24.704997,521.75,0,69.41,5.050000000000001,201501
112.939409,24.704997,516.25,0,70.0,5.375,201501
112.952246,24.704997,511.25,0,71.23,5.925,201501
112.965083,24.704997,489.5,0,73.28,6.475,201501
112.97792,24.704997,481.5,0,75.69,6.925,201501
112.990757,24.704997,473.25,0,76.69,7.05,201501
113.003594,24.704997,468.25,0,75.97,7.15,201501
113.016431,24.704997,468.5,0,74.34,7.124999999999999,201501
112.84955,24.713467,494.5,0,66.29,7.175,201501
112.862387,24.713467,503.0,0,67.14,6.55,201501
112.875224,24.713467,522.25,0,67.5,5.025,201501
112.888061,24.713467,533.75,0,66.96,4.475,201501
112.900898,24.713467,539.75,0,67.0,3.85,201501
112.913735,24.713467,523.25,0,67.42,4.375,201501
112.926572,24.713467,518.5,0,68.93,4.9,201501
112.939409,24.713467,516.0,0,72.14,5.275,201501
112.952246,24.713467,505.25,0,73.81,5.800000000000001,201501
112.965083,24.713467,489.0,0,74.48,6.375,201501
112.97792,24.713467,483.75,0,73.74,6.7,201501
112.990757,24.713467,481.25,0,74.22,6.775,201501
113.003594,24.713467,473.25,0,74.24,6.925,201501
112.84955,24.721937,502.25,0,68.19,6.65,201501
112.862387,24.721937,508.0,0,68.75,6.025,201501
112.875224,24.721937,519.25,0,69.71,4.675,201501
112.888061,24.721937,530.5,0,69.22,4.05,201501
112.900898,24.721937,528.25,0,67.08,3.975000000000001,201501
112.913735,24.721937,520.0,0,68.91,4.45,201501
112.926572,24.721937,523.5,0,70.51,4.7,201501
112.939409,24.721937,523.75,0,72.1,4.95,201501
112.952246,24.721937,507.5,0,74.79,5.6,201501
112.965083,24.721937,496.75,0,72.2,6.050000000000001,201501
112.97792,24.721937,488.75,0,72.04,6.5,201501
112.990757,24.721937,486.25,0,74.65,6.574999999999999,201501
113.003594,24.721937,478.25,0,73.85,6.75,201501
112.862387,24.730407,510.5,0,72.01,6.05,201501
112.875224,24.730407,518.5,0,72.67,4.875,201501
112.888061,24.730407,521.75,0,72.14,4.525,201501
112.900898,24.730407,519.75,0,68.96,4.375,201501
112.913735,24.730407,511.25,0,70.13,4.825,201501
112.926572,24.730407,523.0,0,71.45,4.575,201501
112.939409,24.730407,517.75,0,73.57,5.025,201501
112.952246,24.730407,507.0,0,72.39,5.525,201501
112.965083,24.730407,490.75,0,71.02,6.075,201501
112.97792,24.730407,488.25,0,70.81,6.35,201501
112.990757,24.730407,483.0,0,70.0,6.574999999999999,201501
113.003594,24.730407,475.0,0,73.03,6.775,201501
112.84955,24.738877,485.0,0,73.45,6.949999999999999,201501
112.862387,24.738877,501.5,0,73.82,6.4,201501
112.875224,24.738877,504.5,0,69.61,5.575,201501
112.888061,24.738877,505.0,0,70.62,5.375,201501
112.900898,24.738877,502.5,0,68.09,5.475,201501
112.913735,24.738877,505.25,0,69.16,5.3,201501
112.926572,24.738877,514.25,0,71.05,4.8,201501
112.939409,24.738877,522.75,0,73.8,4.85,201501
112.952246,24.738877,509.25,0,71.46,5.45,201501
112.965083,24.738877,493.0,0,70.12,6.05,201501
112.97792,24.738877,482.25,0,69.07,6.4750000000000005,201501
112.990757,24.738877,477.0,0,69.04,6.675,201501
113.003594,24.738877,471.75,0,70.91,6.775,201501
112.84955,24.747347,470.75,0,73.94,7.375,201501
112.862387,24.747347,481.75,0,74.32,6.9,201501
112.875224,24.747347,481.75,0,68.98,6.525,201501
112.888061,24.747347,487.75,0,68.67,6.125,201501
112.900898,24.747347,493.75,0,66.58,5.875,201501
112.913735,24.747347,504.75,0,69.17,5.375,201501
112.926572,24.747347,511.0,0,73.49,4.949999999999999,201501
112.939409,24.747347,519.0,0,73.17,4.775,201501
112.952246,24.747347,511.5,0,69.93,5.325,201501
112.965083,24.747347,495.25,0,71.23,6.0,201501
112.97792,24.747347,481.75,0,71.18,6.55,201501
112.84955,24.755817,453.25,0,72.03,8.0,201501
112.862387,24.755817,459.0,0,72.89,7.625,201501
112.875224,24.755817,464.5,0,70.39,7.2,201501
112.888061,24.755817,478.5,0,67.3,6.550000000000001,201501
112.900898,24.755817,492.75,0,67.17,5.9,201501
112.913735,24.755817,506.75,0,67.34,5.3,201501
112.926572,24.755817,515.0,0,72.9,4.75,201501
112.939409,24.755817,523.5,0,73.49,4.55,201501
112.952246,24.755817,511.0,0,70.95,5.275,201501
112.965083,24.755817,502.5,0,71.38,5.775,201501
112.97792,24.755817,486.25,0,74.33,6.4,201501
112.84955,24.764287,446.5,0,72.19,8.35,201501
112.862387,24.764287,449.5,0,70.92,7.925,201501
112.875224,24.764287,458.0,0,67.5,7.4,201501
112.888061,24.764287,469.0,0,66.06,6.9,201501
112.900898,24.764287,483.0,0,68.5,6.275,201501
112.913735,24.764287,497.0,0,66.24,5.675000000000001,201501
112.926572,24.764287,511.25,0,69.3,4.95,201501
112.939409,24.764287,525.0,0,72.15,4.475,201501
112.952246,24.764287,526.0,0,71.51,4.9,201501
112.965083,24.764287,515.0,0,73.51,5.4,201501
112.97792,24.764287,493.5,0,71.12,6.15,201501
112.836713,24.772757,445.0,0,64.96,8.6,201501
112.84955,24.772757,447.75,0,71.41,8.274999999999999,201501
112.862387,24.772757,456.25,0,69.1,7.7,201501
112.875224,24.772757,467.75,0,66.3,7.125,201501
112.888061,24.772757,468.0,0,66.35,6.975,201501
112.900898,24.772757,476.25,0,65.88,6.550000000000001,201501
112.913735,24.772757,490.25,0,66.8,5.949999999999999,201501
112.926572,24.772757,504.5,0,68.09,5.375,201501
112.939409,24.772757,521.0,0,68.49,4.75,201501
112.952246,24.772757,532.75,0,71.53,4.75,201501
112.965083,24.772757,511.0,0,70.37,5.575,201501
112.97792,24.772757,495.25,0,69.26,6.075,201501
112.836713,24.781227,443.75,0,65.35,8.575,201501
112.84955,24.781227,444.0,0,68.79,8.1,201501
112.862387,24.781227,457.75,0,66.77,7.35,201501
112.875224,24.781227,482.75,0,66.35,6.5,201501
112.888061,24.781227,483.0,0,67.7,6.35,201501
112.900898,24.781227,483.25,0,65.14,6.25,201501
112.913735,24.781227,491.75,0,67.04,5.750000000000001,201501
112.926572,24.781227,503.0,0,68.54,5.300000000000001,201501
112.939409,24.781227,514.0,0,65.97,4.775,201501
112.952246,24.781227,528.25,0,70.7,4.45,201501
112.965083,24.781227,515.25,0,70.65,5.225,201501
112.97792,24.781227,491.0,0,68.89,6.050000000000001,201501
112.84955,24.789697,448.0,0,70.69,7.825,201501
112.862387,24.789697,459.25,0,66.11,7.175,201501
112.875224,24.789697,478.75,0,65.89,6.550000000000001,201501
112.888061,24.789697,484.5,0,68.58,6.2,201501
112.900898,24.789697,487.25,0,66.92,6.0,201501
112.913735,24.789697,498.5,0,65.14,5.375,201501
112.926572,24.789697,515.25,0,68.98,4.8,201501
112.939409,24.789697,521.0,0,66.61,4.4,201501
112.952246,24.789697,524.25,0,69.68,4.325,201501
112.965083,24.789697,516.0,0,69.26,5.0,201501
112.97792,24.789697,495.0,0,69.08,5.875,201501
112.84955,24.798167,450.0,0,69.07,7.65,201501
112.862387,24.798167,455.75,0,67.89,7.25,201501
112.875224,24.798167,455.75,0,68.01,7.175,201501
112.888061,24.798167,464.25,0,69.87,6.625,201501
112.900898,24.798167,483.25,0,66.25,6.05,201501
112.913735,24.798167,494.5,0,67.79,5.4750000000000005,201501
112.926572,24.798167,508.25,0,68.37,4.9,201501
112.939409,24.798167,517.0,0,67.69,4.375,201501
112.952246,24.798167,530.25,0,69.07,4.125,201501
112.965083,24.798167,520.0,0,68.32,4.625,201501
112.97792,24.798167,509.25,0,70.32,5.15,201501
112.875224,24.806637,435.5,0,69.35,7.725,201501
112.888061,24.806637,444.0,0,70.43,7.225,201501
112.900898,24.806637,465.75,0,67.77,6.5,201501
112.913735,24.806637,485.0,0,68.55,5.699999999999999,201501
112.926572,24.806637,501.25,0,68.58,5.15,201501
112.939409,24.806637,510.25,0,67.82,4.65,201501
112.952246,24.806637,528.75,0,68.77,4.275,201501
112.965083,24.806637,524.0,0,67.91,4.475,201501
112.97792,24.806637,511.25,0,71.92,5.125,201501
112.875224,24.815107,429.25,0,68.21,7.825,201501
112.888061,24.815107,437.5,0,67.92,7.324999999999999,201501
112.900898,24.815107,464.75,0,68.28,6.5,201501
112.913735,24.815107,489.25,0,66.94,5.65,201501
112.926572,24.815107,502.75,0,68.51,5.0,201501
112.939409,24.815107,511.75,0,67.98,4.475,201501
112.952246,24.815107,530.0,0,67.5,4.275,201501
112.965083,24.815107,512.0,0,69.72,4.9,201501
112.875224,24.823577,430.75,0,67.04,7.575,201501
112.888061,24.823577,439.0,0,69.06,7.3,201501
112.900898,24.823577,468.75,0,66.43,6.325,201501
112.913735,24.823577,490.75,0,68.9,5.6000000000000005,201501
112.926572,24.823577,510.25,0,67.47,4.8,201501
112.939409,24.823577,521.25,0,69.84,4.3500000000000005,201501
112.952246,24.823577,530.0,0,66.12,4.275,201501
112.965083,24.823577,511.75,0,71.83,4.875,201501
112.888061,24.832047,435.0,0,69.41,7.325,201501
112.900898,24.832047,470.75,0,69.73,6.175,201501
112.913735,24.832047,484.5,0,67.99,5.8,201501
112.888061,24.840517,429.0,0,68.06,7.425,201501
112.888061,24.848987,429.0,0,68.93,7.425,201501
112.952246,24.688057,593.25,1,67.3,8.925,201502
112.965083,24.688057,587.5,1,67.89,9.375,201502
112.97792,24.688057,582.25,1,65.84,9.85,201502
112.862387,24.696527,579.25,1,65.41,9.975,201502
112.888061,24.696527,607.0,1,66.83,7.549999999999999,201502
112.939409,24.696527,598.5,1,65.31,8.2,201502
112.952246,24.696527,595.5,1,67.61,8.649999999999999,201502
112.965083,24.696527,588.0,1,70.09,9.375,201502
112.97792,24.696527,582.25,1,70.78,9.85,201502
112.990757,24.696527,579.0,1,71.92,9.9,201502
113.003594,24.696527,577.75,1,73.21,9.85,201502
113.016431,24.696527,577.5,1,71.65,9.875,201502
112.84955,24.704997,571.0,1,66.18,10.225,201502
112.862387,24.704997,577.5,1,65.79,10.05,201502
