经度,纬度,降水量_avg,相对湿度 (%)_avg,温度_avg
112.952246,24.688057,621.778125,66.96549999999999,9.035625
112.965083,24.688057,609.7125,67.49412499999995,9.481250000000003
112.97792,24.688057,598.63125,66.61362499999998,9.928749999999999
112.862387,24.696527,610.240625,63.10862500000002,10.118750000000006
112.888061,24.696527,649.053125,64.06187500000001,7.6984375000000025
112.939409,24.696527,634.834375,65.12787499999996,8.325000000000003
112.952246,24.696527,628.04375,66.7565,8.769375
112.965083,24.696527,611.421875,66.19025000000002,9.465312500000001
112.97792,24.696527,598.63125,66.73225000000001,9.928749999999999
112.990757,24.696527,597.321875,66.98637500000002,9.99375
113.003594,24.696527,594.690625,67.427875,9.948750000000002
113.016431,24.696527,592.690625,66.42637499999998,9.951562499999998
112.84955,24.704997,603.45,63.75875,10.393750000000002
112.862387,24.704997,608.7625,63.25262500000002,10.199375
112.875224,24.704997,627.675,63.327375,8.986562500000002
112.888061,24.704997,643.109375,63.757625,8.045937499999999
112.900898,24.704997,664.8625,63.70337500000001,6.618749999999999
112.913735,24.704997,653.10625,64.22274999999999,7.1253125000000015
112.926572,24.704997,641.846875,64.81025,7.8378125
112.939409,24.704997,637.509375,65.50637500000002,8.192812500000002
112.952246,24.704997,629.04375,67.88075,8.717812500000003
112.965083,24.704997,613.3625,68.18150000000001,9.27625
112.97792,24.704997,603.284375,68.465125,9.730625
112.990757,24.704997,599.7625,69.32699999999997,9.869374999999998
113.003594,24.704997,594.690625,68.78175,9.948750000000002
113.016431,24.704997,592.690625,68.38337500000003,9.951562499999998
112.84955,24.713467,607.99375,63.011,10.075312499999995
112.862387,24.713467,619.95,63.234000000000016,9.450937499999997
112.875224,24.713467,644.521875,63.219249999999974,7.838749999999997
112.888061,24.713467,654.05625,63.348,7.266874999999999
112.900898,24.713467,661.0625,63.39475,6.645937500000004
112.913735,24.713467,650.090625,63.83749999999999,7.188125000000001
112.926572,24.713467,642.75,65.34137499999999,7.7371875
112.939409,24.713467,637.9625,67.24062500000005,8.118125000000001
112.952246,24.713467,627.94375,68.879125,8.65375
112.965083,24.713467,613.15,69.03812500000001,9.228750000000002
112.97792,24.713467,606.521875,67.11262499999998,9.5590625
112.990757,24.713467,603.346875,67.34437500000003,9.67
113.003594,24.713467,597.93125,67.66237499999998,9.785312499999996
112.84955,24.721937,616.090625,64.85824999999997,9.529375
112.862387,24.721937,628.578125,64.872875,8.893125000000001
112.875224,24.721937,648.025,64.867875,7.483437499999999
112.888061,24.721937,655.546875,65.05837500000003,6.839999999999998
112.900898,24.721937,655.728125,63.0855,6.773437500000004
112.913735,24.721937,648.334375,64.71662500000002,7.283125000000001
112.926572,24.721937,647.965625,65.12750000000001,7.5265625
112.939409,24.721937,646.0375,66.12625000000004,7.796249999999998
112.952246,24.721937,632.55625,68.18862499999999,8.474375000000004
112.965083,24.721937,620.121875,67.20587500000002,8.938750000000002
112.97792,24.721937,609.028125,66.616,9.420937499999999
112.990757,24.721937,608.4125,68.29600000000005,9.473125000000001
113.003594,24.721937,601.9125,67.86850000000003,9.669375
112.862387,24.730407,627.834375,67.19462500000002,8.932500000000005
112.875224,24.730407,644.575,67.083125,7.705625
112.888061,24.730407,645.596875,66.532125,7.358750000000003
112.900898,24.730407,646.403125,63.84312500000001,7.219687499999997
112.913735,24.730407,639.809375,65.473375,7.69375
112.926572,24.730407,649.190625,65.316,7.419999999999999
112.939409,24.730407,642.275,66.39175000000002,7.888749999999997
112.952246,24.730407,634.28125,66.50649999999999,8.405625
112.965083,24.730407,618.08125,65.294625,8.995624999999995
112.97792,24.730407,612.0,65.447,9.283125
112.990757,24.730407,607.225,65.373875,9.482499999999998
113.003594,24.730407,600.465625,67.66925,9.6984375
112.84955,24.738877,603.98125,67.93700000000001,9.866562499999999
112.862387,24.738877,618.4,68.28912500000004,9.28625
112.875224,24.738877,630.3,64.51537499999999,8.437187499999997
112.888061,24.738877,629.16875,64.73474999999999,8.250624999999996
112.900898,24.738877,625.3125,62.711249999999986,8.361250000000002
112.913735,24.738877,631.2,63.66725,8.179374999999999
112.926572,24.738877,642.815625,65.37974999999999,7.671249999999999
112.939409,24.738877,646.51875,66.682,7.702812500000002
112.952246,24.738877,634.421875,65.40812500000001,8.333749999999997
112.965083,24.738877,619.46875,64.10800000000002,8.962500000000002
112.97792,24.738877,608.24375,64.83437500000002,9.405
112.990757,24.738877,603.11875,64.8115,9.617499999999998
113.003594,24.738877,599.621875,65.912875,9.716249999999999
112.84955,24.747347,593.778125,67.751,10.295625
112.862387,24.747347,602.403125,68.41887499999996,9.812187499999997
112.875224,24.747347,606.21875,64.16325,9.434687499999999
112.888061,24.747347,613.86875,63.324125000000016,9.037187499999998
112.900898,24.747347,619.996875,61.95737499999999,8.7621875
112.913735,24.747347,631.928125,63.37149999999999,8.239687499999999
112.926572,24.747347,641.25,66.56249999999997,7.8371875000000015
112.939409,24.747347,648.6625,66.30624999999999,7.645625
112.952246,24.747347,639.20625,64.04024999999999,8.206562499999997
