时间步长,经度,纬度,相对湿度 (%),年份
0,112.952246,24.688057,74.25,200701
0,112.965083,24.688057,75.67,200701
0,112.97792,24.688057,73.07,200701
0,112.862387,24.696527,73.52,200701
0,112.888061,24.696527,73.96,200701
0,112.939409,24.696527,72.2,200701
0,112.952246,24.696527,75.94,200701
0,112.965083,24.696527,76.19,200701
0,112.97792,24.696527,75.3,200701
0,112.990757,24.696527,76.51,200701
0,113.003594,24.696527,76.9,200701
0,113.016431,24.696527,76.63,200701
0,112.84955,24.704997,74.43,200701
0,112.862387,24.704997,73.78,200701
0,112.875224,24.704997,73.86,200701
0,112.888061,24.704997,73.9,200701
0,112.900898,24.704997,75.24,200701
0,112.913735,24.704997,76.29,200701
0,112.926572,24.704997,76.7,200701
0,112.939409,24.704997,73.86,200701
0,112.952246,24.704997,76.92,200701
0,112.965083,24.704997,77.82,200701
0,112.97792,24.704997,77.85,200701
0,112.990757,24.704997,78.52,200701
0,113.003594,24.704997,78.42,200701
0,113.016431,24.704997,78.33,200701
0,112.84955,24.713467,73.84,200701
0,112.862387,24.713467,73.88,200701
0,112.875224,24.713467,73.8,200701
0,112.888061,24.713467,74.0,200701
0,112.900898,24.713467,74.95,200701
0,112.913735,24.713467,75.82,200701
0,112.926572,24.713467,76.46,200701
0,112.939409,24.713467,76.96,200701
0,112.952246,24.713467,78.31,200701
0,112.965083,24.713467,78.93,200701
0,112.97792,24.713467,76.24,200701
0,112.990757,24.713467,77.1,200701
0,113.003594,24.713467,77.64,200701
0,112.84955,24.721937,74.85,200701
0,112.862387,24.721937,75.04,200701
0,112.875224,24.721937,74.95,200701
0,112.888061,24.721937,76.05,200701
0,112.900898,24.721937,74.15,200701
0,112.913735,24.721937,75.77,200701
0,112.926572,24.721937,76.31,200701
0,112.939409,24.721937,76.98,200701
0,112.952246,24.721937,78.68,200701
0,112.965083,24.721937,76.53,200701
0,112.97792,24.721937,74.78,200701
0,112.990757,24.721937,77.21,200701
0,113.003594,24.721937,77.91,200701
0,112.862387,24.730407,76.95,200701
0,112.875224,24.730407,76.98,200701
0,112.888061,24.730407,76.63,200701
0,112.900898,24.730407,74.05,200701
0,112.913735,24.730407,75.34,200701
0,112.926572,24.730407,75.72,200701
0,112.939409,24.730407,78.12,200701
0,112.952246,24.730407,76.31,200701
0,112.965083,24.730407,73.87,200701
0,112.97792,24.730407,73.14,200701
0,112.990757,24.730407,72.52,200701
0,113.003594,24.730407,77.08,200701
0,112.84955,24.738877,77.4,200701
0,112.862387,24.738877,78.05,200701
0,112.875224,24.738877,73.39,200701
0,112.888061,24.738877,74.06,200701
0,112.900898,24.738877,71.1,200701
0,112.913735,24.738877,72.89,200701
0,112.926572,24.738877,75.57,200701
0,112.939409,24.738877,78.13,200701
0,112.952246,24.738877,73.89,200701
0,112.965083,24.738877,71.88,200701
0,112.97792,24.738877,72.36,200701
0,112.990757,24.738877,72.36,200701
0,113.003594,24.738877,74.91,200701
0,112.84955,24.747347,77.72,200701
0,112.862387,24.747347,78.76,200701
0,112.875224,24.747347,72.62,200701
0,112.888061,24.747347,71.88,200701
0,112.900898,24.747347,69.42,200701
0,112.913735,24.747347,71.58,200701
0,112.926572,24.747347,77.1,200701
0,112.939409,24.747347,76.48,200701
0,112.952246,24.747347,72.54,200701
0,112.965083,24.747347,75.42,200701
0,112.97792,24.747347,74.85,200701
0,112.84955,24.755817,77.35,200701
0,112.862387,24.755817,78.27,200701
0,112.875224,24.755817,72.92,200701
0,112.888061,24.755817,69.0,200701
0,112.900898,24.755817,70.71,200701
0,112.913735,24.755817,69.15,200701
0,112.926572,24.755817,75.2,200701
0,112.939409,24.755817,76.54,200701
0,112.952246,24.755817,74.66,200701
0,112.965083,24.755817,76.88,200701
0,112.97792,24.755817,78.64,200701
0,112.84955,24.764287,77.82,200701
0,112.862387,24.764287,75.41,200701
0,112.875224,24.764287,69.85,200701
0,112.888061,24.764287,67.79,200701
0,112.900898,24.764287,70.91,200701
0,112.913735,24.764287,69.06,200701
0,112.926572,24.764287,71.65,200701
0,112.939409,24.764287,75.66,200701
0,112.952246,24.764287,76.44,200701
0,112.965083,24.764287,77.32,200701
0,112.97792,24.764287,73.79,200701
0,112.836713,24.772757,67.92,200701
0,112.84955,24.772757,74.81,200701
0,112.862387,24.772757,72.29,200701
0,112.875224,24.772757,68.24,200701
0,112.888061,24.772757,68.02,200701
0,112.900898,24.772757,67.4,200701
0,112.913735,24.772757,68.61,200701
0,112.926572,24.772757,70.58,200701
0,112.939409,24.772757,70.74,200701
0,112.952246,24.772757,75.59,200701
0,112.965083,24.772757,73.95,200701
0,112.97792,24.772757,71.14,200701
0,112.836713,24.781227,69.0,200701
0,112.84955,24.781227,71.69,200701
0,112.862387,24.781227,68.73,200701
0,112.875224,24.781227,68.14,200701
0,112.888061,24.781227,69.17,200701
0,112.900898,24.781227,66.55,200701
0,112.913735,24.781227,69.21,200701
0,112.926572,24.781227,70.86,200701
0,112.939409,24.781227,67.11,200701
0,112.952246,24.781227,73.85,200701
0,112.965083,24.781227,73.76,200701
0,112.97792,24.781227,70.97,200701
0,112.84955,24.789697,74.2,200701
0,112.862387,24.789697,67.84,200701
0,112.875224,24.789697,67.69,200701
0,112.888061,24.789697,71.23,200701
0,112.900898,24.789697,68.82,200701
0,112.913735,24.789697,67.7,200701
0,112.926572,24.789697,70.7,200701
0,112.939409,24.789697,68.38,200701
0,112.952246,24.789697,71.94,200701
0,112.965083,24.789697,72.03,200701
0,112.97792,24.789697,71.15,200701
0,112.84955,24.798167,72.77,200701
0,112.862387,24.798167,70.31,200701
0,112.875224,24.798167,69.87,200701
0,112.888061,24.798167,72.67,200701
0,112.900898,24.798167,68.37,200701
0,112.913735,24.798167,70.56,200701
0,112.926572,24.798167,69.72,200701
0,112.939409,24.798167,70.37,200701
0,112.952246,24.798167,71.47,200701
0,112.965083,24.798167,70.62,200701
0,112.97792,24.798167,72.44,200701
0,112.875224,24.806637,71.24,200701
0,112.888061,24.806637,72.84,200701
0,112.900898,24.806637,70.21,200701
0,112.913735,24.806637,71.3,200701
0,112.926572,24.806637,69.93,200701
0,112.939409,24.806637,70.56,200701
0,112.952246,24.806637,71.27,200701
0,112.965083,24.806637,69.9,200701
0,112.97792,24.806637,74.13,200701
0,112.875224,24.815107,70.22,200701
0,112.888061,24.815107,69.88,200701
0,112.900898,24.815107,70.46,200701
0,112.913735,24.815107,68.34,200701
0,112.926572,24.815107,70.25,200701
0,112.939409,24.815107,69.85,200701
0,112.952246,24.815107,69.13,200701
0,112.965083,24.815107,71.93,200701
0,112.875224,24.823577,67.85,200701
0,112.888061,24.823577,70.6,200701
0,112.900898,24.823577,67.52,200701
0,112.913735,24.823577,70.08,200701
0,112.926572,24.823577,69.33,200701
0,112.939409,24.823577,71.15,200701
0,112.952246,24.823577,67.46,200701
0,112.965083,24.823577,73.96,200701
0,112.888061,24.832047,70.21,200701
0,112.900898,24.832047,70.63,200701
0,112.913735,24.832047,69.95,200701
0,112.888061,24.840517,68.9,200701
0,112.888061,24.848987,70.46,200701
1,112.952246,24.688057,70.2,200701
1,112.965083,24.688057,72.36,200701
1,112.97792,24.688057,71.0,200701
1,112.862387,24.696527,65.35,200701
1,112.888061,24.696527,65.74,200701
1,112.939409,24.696527,68.38,200701
1,112.952246,24.696527,71.55,200701
1,112.965083,24.696527,70.55,200701
1,112.97792,24.696527,69.4,200701
1,112.990757,24.696527,69.51,200701
1,113.003594,24.696527,70.59,200701
1,113.016431,24.696527,69.67,200701
1,112.84955,24.704997,65.35,200701
1,112.862387,24.704997,65.48,200701
1,112.875224,24.704997,65.42,200701
1,112.888061,24.704997,65.36,200701
1,112.900898,24.704997,64.54,200701
1,112.913735,24.704997,64.94,200701
1,112.926572,24.704997,65.35,200701
1,112.939409,24.704997,66.51,200701
1,112.952246,24.704997,69.55,200701
1,112.965083,24.704997,72.82,200701
1,112.97792,24.704997,72.32,200701
1,112.990757,24.704997,72.84,200701
1,113.003594,24.704997,72.68,200701
1,113.016431,24.704997,71.13,200701
1,112.84955,24.713467,63.94,200701
1,112.862387,24.713467,64.44,200701
1,112.875224,24.713467,64.12,200701
1,112.888061,24.713467,63.71,200701
1,112.900898,24.713467,63.42,200701
1,112.913735,24.713467,65.05,200701
1,112.926572,24.713467,63.83,200701
1,112.939409,24.713467,66.77,200701
1,112.952246,24.713467,70.25,200701
1,112.965083,24.713467,73.01,200701
1,112.97792,24.713467,70.61,200701
1,112.990757,24.713467,70.24,200701
1,113.003594,24.713467,69.62,200701
1,112.84955,24.721937,64.52,200701
1,112.862387,24.721937,64.35,200701
1,112.875224,24.721937,63.4,200701
1,112.888061,24.721937,64.75,200701
1,112.900898,24.721937,62.83,200701
1,112.913735,24.721937,66.71,200701
1,112.926572,24.721937,64.33,200701
1,112.939409,24.721937,65.43,200701
1,112.952246,24.721937,70.78,200701
