时间步长,经度,纬度,相对湿度 (%),年份
0,116.54307685075533,44.52731758211925,69.97,200401
0,116.555675526519,44.52628169621086,71.69,200401
0,116.56827382843034,44.52524468824284,71.04,200401
0,116.4534154435482,44.52567182207982,64.75,200401
0,116.47861448076847,44.52361494872934,64.82,200401
0,116.52900809558705,44.519487735485995,68.29,200401
0,116.54160556793306,44.5184531269864,67.55,200401
0,116.55420266695735,44.51741739652842,68.95,200401
0,116.56679939227095,44.51638054417074,69.8,200401
0,116.57939574348491,44.51534256997204,69.8,200401
0,116.59199172021039,44.514303473991184,70.95,200401
0,116.60458732205856,44.51326325628693,71.07,200401
0,116.43935707523013,44.51783307290659,66.27,200401
0,116.45195557245226,44.51680647384809,64.79,200401
0,116.46455369921813,44.51577875258231,64.8,200401
0,116.47715145513838,44.514749909167584,63.66,200401
0,116.48974883982369,44.513719943662046,62.4,200401
0,116.50234585288486,44.51268885612412,66.31,200401
0,116.51494249393276,44.51165664661222,68.91,200401
0,116.5275387625783,44.510623315184766,67.99,200401
0,116.54013465843252,44.50958886190024,68.58,200401
0,116.55273018110644,44.50855328681726,70.18,200401
0,116.56532533021124,44.50751658999444,71.53,200401
0,116.57792010535807,44.50647877149052,72.47,200401
0,116.5905145061583,44.50543983136408,71.26,200401
0,116.60310853222323,44.50439976967408,70.22,200401
0,116.43789915167886,44.50896776092387,65.56,200401
0,116.45049607181264,44.50794131588534,63.22,200401
0,116.46309262163048,44.50691374879966,62.71,200401
0,116.4756888007432,44.50588505972505,63.11,200401
0,116.48828460876165,44.50485524871963,63.48,200401
0,116.50088004529673,44.50382431584181,64.55,200401
0,116.51347510995946,44.50279226114998,68.97,200401
0,116.52606980236092,44.5017590847024,70.57,200401
0,116.53866412211227,44.50072478655775,70.46,200401
0,116.55125806882468,44.49968936677438,71.05,200401
0,116.56385164210946,44.49865282541102,70.83,200401
0,116.57644484157791,44.49761516252624,70.9,200401
0,116.58903766684153,44.496576378178844,71.01,200401
0,116.43644159805429,44.50010263898155,67.88,200401
0,116.44903694148893,44.49907634788837,64.95,200401
0,116.46163191474798,44.49804893490799,64.58,200401
0,116.4742265174423,44.49702040009856,65.09,200401
0,116.48682074918294,44.49599074351842,62.72,200401
0,116.49941460958094,44.494959965225675,64.66,200401
0,116.51200809824746,44.49392806527877,66.43,200401
0,116.5246012147937,44.49289504373602,69.43,200401
0,116.53719395883095,44.4918609006559,70.76,200401
0,116.54978632997056,44.49082563609691,69.74,200401
0,116.56237832782396,44.48978925011765,69.11,200401
0,116.57496995200262,44.48875174277664,70.84,200401
0,116.58756120211812,44.487713114132646,71.66,200401
0,116.44757818134087,44.49021156955398,66.37,200401
0,116.46017157843018,44.48918431060416,66.8,200401
0,116.47276460509512,44.488155929985204,66.65,200401
0,116.4853572609469,44.48712642775537,62.63,200401
0,116.49794954559667,44.4860958039728,66.16,200401
0,116.51054145865577,44.48506405869584,63.91,200401
0,116.52313299973548,44.4840311919828,68.01,200401
0,116.53572416844727,44.4829972038921,69.76,200401
0,116.54831496440268,44.48196209448226,68.35,200401
0,116.56090538721318,44.4809258638117,67.5,200401
0,116.57349543649048,44.479888511939,66.75,200401
0,116.58608511184626,44.47885003892297,70.19,200401
0,116.4335276000245,44.48237296400594,67.12,200401
0,116.44611979122824,44.48134698057936,66.37,200401
0,116.45871161253672,44.48031987558547,64.39,200401
0,116.47130306356117,44.479291649082235,65.71,200401
0,116.48389414391283,44.47826230112785,63.03,200401
0,116.4964848532031,44.477231831780564,64.42,200401
0,116.5090751910434,44.47620024109859,65.56,200401
0,116.5216651570452,44.47516752914016,67.24,200401
0,116.53425475082007,44.47413369596375,68.03,200401
0,116.54684397197965,44.47309874162781,67.15,200401
0,116.55943282013567,44.47206266619073,68.44,200401
0,116.57202129489988,44.471025469711094,68.31,200401
0,116.58460939588413,44.469987152247505,69.84,200401
0,116.43207115533924,44.4735084103669,66.64,200401
0,116.44466177101087,44.47248258066185,65.85,200401
0,116.45725201692733,44.471455629549155,63.51,200401
0,116.46984189269996,44.47042755708695,63.77,200401
0,116.48243139794022,44.46939836333332,62.83,200401
0,116.49502053225955,44.468368048346356,64.08,200401
0,116.50760929526953,44.46733661218444,68.05,200401
0,116.52019768658182,44.466304054905656,67.93,200401
0,116.53278570580814,44.465270376568505,66.44,200401
0,116.54537335256023,44.4642355772313,69.28,200401
0,116.55796062644997,44.46319965695242,70.31,200401
0,116.43061508002044,44.46464404555693,66.33,200401
0,116.44320412054867,44.46361836949879,67.25,200401
0,116.45579279146177,44.46259157219279,64.52,200401
0,116.46838109237119,44.46156365369694,62.14,200401
0,116.48096902288849,44.46053461406927,65.51,200401
0,116.49355658262533,44.45950445336794,64.23,200401
0,116.5061437711934,44.45847317165116,67.67,200401
0,116.5187305882045,44.45744076897709,69.87,200401
0,116.53131703327045,44.456407245404115,68.76,200401
0,116.5439031060032,44.455372600990614,71.61,200401
0,116.5564888060147,44.454336835794884,72.8,200401
0,116.42915937392824,44.45577986927346,68.97,200401
0,116.4417468397017,44.45475434678791,66.85,200401
0,116.45433393599988,44.45372770321405,63.97,200401
0,116.46692066243452,44.45269993860995,63.75,200401
0,116.47950701861726,44.45167105303359,66.53,200401
0,116.49209300415987,44.450641046543126,67.34,200401
0,116.50467861867425,44.44960991919666,67.31,200401
0,116.51726386177228,44.44857767105248,69.47,200401
0,116.52984873306599,44.44754430216866,68.47,200401
0,116.54243323216737,44.44650981260376,72.34,200401
0,116.55501735868863,44.445474202416,69.83,200401
0,116.41511777656872,44.44794012921539,63.49,200401
0,116.42770403692288,44.44691588121453,69.92,200401
0,116.44028992832993,44.44589051222705,67.13,200401
0,116.45287545040163,44.44486402231089,65.49,200401
0,116.46546060274973,44.44383641152395,64.77,200401
0,116.47804538498613,44.44280767992434,64.95,200401
0,116.49062979672271,44.441777827569965,66.96,200401
0,116.50321383757145,44.44074685451912,66.52,200401
0,116.51579750714446,44.43971476082984,67.05,200401
0,116.52838080505381,44.43868154656035,69.42,200401
0,116.54096373091174,44.43764721176899,69.7,200401
0,116.55354628433052,44.436611756514154,68.33,200401
0,116.41366438262818,44.43907617581458,65.88,200401
0,116.42624906886456,44.43805208107794,68.03,200401
0,116.43883338629352,44.43702686551421,66.05,200401
0,116.45141733452694,44.436000529181264,66.73,200401
0,116.4640009131767,44.43497307213704,66.13,200401
0,116.47658412185483,44.4339444944395,65.21,200401
0,116.48916696017336,44.432914796146704,66.43,200401
0,116.50174942774443,44.43188397731659,66.79,200401
0,116.51433152418025,44.430852038007494,65.0,200401
0,116.52691324909307,44.429818978277474,70.85,200401
0,116.53949460209527,44.42878479818482,70.05,200401
0,116.55207558279923,44.42774949778779,69.63,200401
0,116.42479446961369,44.429188468561875,70.25,200401
0,116.43737721345272,44.428163406347515,65.67,200401
0,116.44995958823593,44.42713722352346,65.82,200401
0,116.46254159357535,44.426109920147546,67.13,200401
0,116.47512322908312,44.42508149627759,66.15,200401
0,116.48770449437148,44.424051951971656,66.02,200401
0,116.50028538905269,44.42302128728776,67.8,200401
0,116.51286591273903,44.421989502284006,66.67,200401
0,116.52544606504298,44.420956597018616,70.65,200401
0,116.53802584557702,44.419922571549684,70.24,200401
0,116.5506052539537,44.4188874259356,69.96,200401
0,116.42334023903062,44.420325043364606,69.97,200401
0,116.43592140966774,44.41930013442552,67.48,200401
0,116.44850221138869,44.41827410503602,66.79,200401
0,116.46108264380563,44.4172469552539,68.01,200401
0,116.47366270653089,44.416218685137004,65.45,200401
0,116.48624239917679,44.41518929474344,67.69,200401
0,116.49882172135575,44.41415878413107,67.1,200401
0,116.51140067268027,44.413127153358054,68.66,200401
0,116.52397925276287,44.41209440248243,70.83,200401
0,116.53655746121618,44.411060531562455,69.43,200401
0,116.54913529765291,44.410025540656385,70.77,200401
0,116.44704520384542,44.4094111734174,67.54,200401
0,116.45962406372763,44.4083841771547,68.27,200401
0,116.472202554058,44.40735606071657,66.66,200401
0,116.48478067444907,44.4063268241608,67.86,200401
0,116.49735842451331,44.40529646754542,66.84,200401
0,116.50993580386339,44.40426499092843,68.46,200401
0,116.52251281211201,44.40323239436797,70.06,200401
0,116.53508944887191,44.40219867792209,68.06,200401
0,116.54766571375596,44.40116384164914,70.34,200401
0,116.44558856546644,44.40054842836639,66.58,200401
0,116.45816585320148,44.39952158554893,66.22,200401
0,116.47074277152448,44.39849362271508,67.01,200401
0,116.48331932004812,44.39746453992268,65.49,200401
0,116.49589549838501,44.39643433722977,66.61,200401
0,116.508471306148,44.39540301469423,66.44,200401
0,116.52104674294986,44.394370572374186,67.01,200401
0,116.53362180840354,44.39333701032776,69.03,200401
0,116.44413229611202,44.391685869582126,65.01,200401
0,116.45670801208735,44.390659180135536,66.97,200401
0,116.46928335879038,44.389631370831665,65.27,200401
0,116.4818583358339,44.38860244172823,67.33,200401
0,116.4944329428307,44.3875723928833,66.52,200401
0,116.50700717939372,44.38654122435465,67.16,200401
0,116.51958104513594,44.38550893620043,65.42,200401
0,116.53215453967039,44.38447552847863,69.6,200401
0,116.45525054024553,44.38179696061376,66.66,200401
0,116.46782431571583,44.38076930476555,67.33,200401
0,116.48039772166638,44.37974052927677,68.36,200401
0,116.45379343753638,44.37293492668286,67.22,200401
0,116.4523367038203,44.36407307804254,70.62,200401
1,116.54307685075533,44.52731758211925,65.48,200401
1,116.555675526519,44.52628169621086,67.0,200401
1,116.56827382843034,44.52524468824284,65.99,200401
1,116.4534154435482,44.52567182207982,60.74,200401
1,116.47861448076847,44.52361494872934,61.54,200401
1,116.52900809558705,44.519487735485995,63.4,200401
1,116.54160556793306,44.5184531269864,66.05,200401
1,116.55420266695735,44.51741739652842,66.62,200401
1,116.56679939227095,44.51638054417074,67.05,200401
1,116.57939574348491,44.51534256997204,67.47,200401
1,116.59199172021039,44.514303473991184,68.94,200401
1,116.60458732205856,44.51326325628693,68.18,200401
1,116.43935707523013,44.51783307290659,60.9,200401
