时间,聚类标签0数量,聚类标签1数量,聚类标签2数量,年份,月份
200301,186,0,0,2003,01
200302,186,0,0,2003,02
200303,186,0,0,2003,03
200304,0,186,0,2003,04
200305,0,0,186,2003,05
200306,0,0,186,2003,06
200307,0,186,0,2003,07
200308,0,185,1,2003,08
200309,0,186,0,2003,09
200310,0,186,0,2003,10
200311,185,1,0,2003,11
200312,186,0,0,2003,12
200401,186,0,0,2004,01
200402,186,0,0,2004,02
200403,34,152,0,2004,03
200404,0,0,186,2004,04
200405,0,0,186,2004,05
200406,0,177,9,2004,06
200407,0,185,1,2004,07
200408,0,186,0,2004,08
200409,0,186,0,2004,09
200410,0,186,0,2004,10
200411,117,69,0,2004,11
200412,186,0,0,2004,12
200501,186,0,0,2005,01
200502,186,0,0,2005,02
200503,43,143,0,2005,03
200504,0,186,0,2005,04
200505,0,0,186,2005,05
200506,0,0,186,2005,06
200507,0,186,0,2005,07
200508,0,186,0,2005,08
200509,0,186,0,2005,09
200510,0,186,0,2005,10
200511,101,85,0,2005,11
200512,186,0,0,2005,12
200601,186,0,0,2006,01
200602,186,0,0,2006,02
200603,0,186,0,2006,03
200604,0,0,186,2006,04
200605,0,0,186,2006,05
200606,0,6,180,2006,06
200607,0,117,69,2006,07
200608,0,175,11,2006,08
200609,0,186,0,2006,09
200610,0,186,0,2006,10
200611,170,16,0,2006,11
200612,186,0,0,2006,12
200701,186,0,0,2007,01
200702,186,0,0,2007,02
200703,186,0,0,2007,03
200704,0,186,0,2007,04
200705,0,141,45,2007,05
200706,0,0,186,2007,06
200707,0,186,0,2007,07
200708,0,37,149,2007,08
200709,0,186,0,2007,09
200710,0,186,0,2007,10
200711,186,0,0,2007,11
200712,186,0,0,2007,12
200801,186,0,0,2008,01
200802,186,0,0,2008,02
200803,121,65,0,2008,03
200804,0,186,0,2008,04
200805,0,176,10,2008,05
200806,0,0,186,2008,06
200807,0,186,0,2008,07
200808,0,186,0,2008,08
200809,0,186,0,2008,09
200810,0,186,0,2008,10
200811,186,0,0,2008,11
200812,186,0,0,2008,12
200901,186,0,0,2009,01
200902,184,2,0,2009,02
200903,91,95,0,2009,03
200904,0,186,0,2009,04
200905,0,0,186,2009,05
200906,0,0,186,2009,06
200907,0,186,0,2009,07
200908,0,186,0,2009,08
200909,0,186,0,2009,09
200910,0,186,0,2009,10
200911,186,0,0,2009,11
200912,186,0,0,2009,12
201001,186,0,0,2010,01
201002,186,0,0,2010,02
201003,184,2,0,2010,03
201004,0,17,169,2010,04
201005,0,0,186,2010,05
201006,0,0,186,2010,06
201007,0,186,0,2010,07
201008,0,186,0,2010,08
201009,0,158,28,2010,09
201010,17,169,0,2010,10
201011,186,0,0,2010,11
201012,186,0,0,2010,12
201101,186,0,0,2011,01
201102,186,0,0,2011,02
201103,186,0,0,2011,03
201104,0,186,0,2011,04
201105,0,0,186,2011,05
201106,0,0,186,2011,06
201107,0,186,0,2011,07
201108,0,186,0,2011,08
201109,0,184,2,2011,09
201110,0,186,0,2011,10
201111,186,0,0,2011,11
201112,186,0,0,2011,12
201201,186,0,0,2012,01
201202,186,0,0,2012,02
201203,186,0,0,2012,03
201204,0,0,186,2012,04
201205,0,0,186,2012,05
201206,0,0,186,2012,06
201207,0,186,0,2012,07
201208,0,186,0,2012,08
201209,0,186,0,2012,09
201210,0,186,0,2012,10
201211,186,0,0,2012,11
201212,186,0,0,2012,12
201301,186,0,0,2013,01
201302,186,0,0,2013,02
201303,122,64,0,2013,03
201304,0,120,66,2013,04
201305,0,0,186,2013,05
201306,0,184,2,2013,06
201307,0,186,0,2013,07
201308,0,17,169,2013,08
201309,0,186,0,2013,09
201310,0,186,0,2013,10
201311,184,2,0,2013,11
201312,186,0,0,2013,12
201401,186,0,0,2014,01
201402,186,0,0,2014,02
201403,0,0,186,2014,03
201404,0,18,168,2014,04
201405,0,0,186,2014,05
201406,0,163,23,2014,06
201407,0,186,0,2014,07
201408,0,19,167,2014,08
201409,0,186,0,2014,09
201410,0,186,0,2014,10
201411,82,104,0,2014,11
201412,186,0,0,2014,12
201501,186,0,0,2015,01
201502,186,0,0,2015,02
201503,0,186,0,2015,03
201504,0,186,0,2015,04
201505,0,0,186,2015,05
201506,0,34,152,2015,06
201507,0,180,6,2015,07
201508,0,149,37,2015,08
201509,0,186,0,2015,09
201510,0,186,0,2015,10
201511,186,0,0,2015,11
201512,186,0,0,2015,12
201601,186,0,0,2016,01
201602,186,0,0,2016,02
201603,125,61,0,2016,03
201604,0,0,186,2016,04
201605,0,0,186,2016,05
201606,0,0,186,2016,06
201607,0,186,0,2016,07
201608,0,0,186,2016,08
201609,0,186,0,2016,09
201610,0,186,0,2016,10
201611,184,2,0,2016,11
201612,186,0,0,2016,12
201701,186,0,0,2017,01
201702,186,0,0,2017,02
201703,55,131,0,2017,03
201704,0,186,0,2017,04
201705,0,0,186,2017,05
201706,0,0,186,2017,06
201707,0,186,0,2017,07
201708,0,146,40,2017,08
201709,0,186,0,2017,09
201710,0,186,0,2017,10
201711,159,27,0,2017,11
201712,186,0,0,2017,12
201801,186,0,0,2018,01
201802,186,0,0,2018,02
201803,0,186,0,2018,03
201804,0,186,0,2018,04
201805,0,0,186,2018,05
201806,0,0,186,2018,06
201807,0,186,0,2018,07
201808,0,150,36,2018,08
201809,0,186,0,2018,09
