经度,纬度,降水量,时间步长,相对湿度 (%),温度,月份
112.952246,24.688057,504.0,0,79.55,5.4750000000000005,200301
112.965083,24.688057,489.75,0,80.06,5.9,200301
112.97792,24.688057,476.5,0,77.38,6.325,200301
112.862387,24.696527,502.0,0,72.5,6.5,200301
112.888061,24.696527,531.75,0,73.27,4.175,200301
112.939409,24.696527,514.5,0,77.22,4.775,200301
112.952246,24.696527,510.75,0,76.05,5.2250000000000005,200301
112.965083,24.696527,490.75,0,77.44,5.875,200301
112.97792,24.696527,476.5,0,77.65,6.325,200301
112.990757,24.696527,467.0,0,78.05,6.375,200301
113.003594,24.696527,464.75,0,78.21,6.35,200301
113.016431,24.696527,464.75,0,77.77,6.325,200301
112.84955,24.704997,495.25,0,73.42,6.775,200301
112.862387,24.704997,499.75,0,71.63,6.575,200301
112.875224,24.704997,519.0,0,72.13,5.425,200301
112.888061,24.704997,527.0,0,73.3,4.525,200301
112.900898,24.704997,548.75,0,72.9,3.1,200301
112.913735,24.704997,533.25,0,76.08,3.625,200301
112.926572,24.704997,520.75,0,77.32,4.299999999999999,200301
112.939409,24.704997,515.75,0,76.21,4.65,200301
112.952246,24.704997,509.25,0,76.2,5.15,200301
112.965083,24.704997,487.75,0,79.19,5.675,200301
112.97792,24.704997,478.5,0,79.77,6.125,200301
112.990757,24.704997,470.75,0,80.96,6.25,200301
113.003594,24.704997,464.75,0,79.68,6.35,200301
113.016431,24.704997,464.75,0,78.31,6.324999999999999,200301
112.84955,24.713467,499.0,0,72.59,6.475,200301
112.862387,24.713467,507.25,0,71.91,5.85,200301
112.875224,24.713467,527.5,0,71.77,4.324999999999999,200301
112.888061,24.713467,537.5,0,72.61,3.775,200301
112.900898,24.713467,543.0,0,73.35,3.15,200301
112.913735,24.713467,527.25,0,75.55,3.675,200301
112.926572,24.713467,520.25,0,77.42,4.199999999999999,200301
112.939409,24.713467,517.75,0,78.55,4.574999999999999,200301
112.952246,24.713467,506.25,0,78.11,5.075,200301
112.965083,24.713467,490.25,0,79.17,5.65,200301
112.97792,24.713467,483.75,0,79.01,5.95,200301
112.990757,24.713467,481.75,0,79.56,6.05,200301
113.003594,24.713467,472.5,0,79.52,6.175,200301
112.84955,24.721937,509.75,0,74.79,5.95,200301
112.862387,24.721937,514.75,0,74.61,5.324999999999999,200301
112.875224,24.721937,526.75,0,74.43,3.975,200301
112.888061,24.721937,538.0,0,75.07,3.35,200301
112.900898,24.721937,534.0,0,73.27,3.275,200301
112.913735,24.721937,526.75,0,75.56,3.75,200301
112.926572,24.721937,528.25,0,76.54,4.0,200301
112.939409,24.721937,528.75,0,78.57,4.25,200301
112.952246,24.721937,511.5,0,78.73,4.9,200301
112.965083,24.721937,500.75,0,77.51,5.35,200301
112.97792,24.721937,491.75,0,79.24,5.800000000000001,200301
112.990757,24.721937,489.5,0,81.12,5.875000000000001,200301
113.003594,24.721937,480.5,0,81.02,6.050000000000001,200301
112.862387,24.730407,519.5,0,76.65,5.35,200301
112.875224,24.730407,529.25,0,77.25,4.175,200301
112.888061,24.730407,532.0,0,77.82,3.825,200301
