经度,纬度,降水量,时间步长,相对湿度 (%),温度,月份
112.952246,24.688057,347.0,0,74.25,5.4750000000000005,200701
112.965083,24.688057,337.25,0,75.67,5.9,200701
112.97792,24.688057,327.5,0,73.07,6.325,200701
112.862387,24.696527,348.75,0,73.52,6.5,200701
112.888061,24.696527,368.25,0,73.96,4.175,200701
112.939409,24.696527,353.75,0,72.2,4.775,200701
112.952246,24.696527,351.25,0,75.94,5.2250000000000005,200701
112.965083,24.696527,337.5,0,76.19,5.875,200701
112.97792,24.696527,327.5,0,75.3,6.325,200701
112.990757,24.696527,319.75,0,76.51,6.375,200701
113.003594,24.696527,317.0,0,76.9,6.35,200701
113.016431,24.696527,316.5,0,76.63,6.325,200701
112.84955,24.704997,343.75,0,74.43,6.775,200701
112.862387,24.704997,347.25,0,73.78,6.575,200701
112.875224,24.704997,359.5,0,73.86,5.425,200701
112.888061,24.704997,364.75,0,73.9,4.525,200701
112.900898,24.704997,379.25,0,75.24,3.1,200701
112.913735,24.704997,367.25,0,76.29,3.625,200701
112.926572,24.704997,358.5,0,76.7,4.299999999999999,200701
112.939409,24.704997,354.25,0,73.86,4.65,200701
112.952246,24.704997,349.5,0,76.92,5.15,200701
112.965083,24.704997,334.0,0,77.82,5.675,200701
112.97792,24.704997,328.0,0,77.85,6.125,200701
112.990757,24.704997,321.75,0,78.52,6.25,200701
113.003594,24.704997,317.0,0,78.42,6.35,200701
113.016431,24.704997,316.5,0,78.33,6.324999999999999,200701
112.84955,24.713467,346.0,0,73.84,6.475,200701
112.862387,24.713467,351.5,0,73.88,5.85,200701
112.875224,24.713467,364.25,0,73.8,4.324999999999999,200701
112.888061,24.713467,371.0,0,74.0,3.775,200701
112.900898,24.713467,374.0,0,74.95,3.15,200701
112.913735,24.713467,362.25,0,75.82,3.675,200701
112.926572,24.713467,357.25,0,76.46,4.199999999999999,200701
112.939409,24.713467,354.75,0,76.96,4.574999999999999,200701
112.952246,24.713467,346.5,0,78.31,5.075,200701
112.965083,24.713467,334.75,0,78.93,5.65,200701
112.97792,24.713467,330.25,0,76.24,5.95,200701
112.990757,24.713467,328.0,0,77.1,6.05,200701
113.003594,24.713467,321.25,0,77.64,6.175,200701
112.84955,24.721937,352.25,0,74.85,5.95,200701
112.862387,24.721937,355.5,0,75.04,5.324999999999999,200701
112.875224,24.721937,363.0,0,74.95,3.975,200701
112.888061,24.721937,369.75,0,76.05,3.35,200701
112.900898,24.721937,366.75,0,74.15,3.275,200701
112.913735,24.721937,361.0,0,75.77,3.75,200701
112.926572,24.721937,361.75,0,76.31,4.0,200701
112.939409,24.721937,361.25,0,76.98,4.25,200701
112.952246,24.721937,349.0,0,78.68,4.9,200701
112.965083,24.721937,341.0,0,76.53,5.35,200701
112.97792,24.721937,334.75,0,74.78,5.800000000000001,200701
112.990757,24.721937,332.25,0,77.21,5.875000000000001,200701
113.003594,24.721937,325.75,0,77.91,6.050000000000001,200701
112.862387,24.730407,358.0,0,76.95,5.35,200701
112.875224,24.730407,363.5,0,76.98,4.175,200701
112.888061,24.730407,364.75,0,76.63,3.825,200701
112.900898,24.730407,361.5,0,74.05,3.675,200701
112.913735,24.730407,355.75,0,75.34,4.125,200701
112.926572,24.730407,362.5,0,75.72,3.875,200701
112.939409,24.730407,358.0,0,78.12,4.325,200701
112.952246,24.730407,349.5,0,76.31,4.824999999999999,200701
112.965083,24.730407,337.75,0,73.87,5.375,200701
112.97792,24.730407,335.25,0,73.14,5.65,200701
112.990757,24.730407,330.75,0,72.52,5.874999999999999,200701
113.003594,24.730407,324.5,0,77.08,6.074999999999999,200701
112.84955,24.738877,342.0,0,77.4,6.25,200701
112.862387,24.738877,353.25,0,78.05,5.699999999999999,200701
112.875224,24.738877,354.25,0,73.39,4.875,200701
112.888061,24.738877,353.75,0,74.06,4.674999999999999,200701
112.900898,24.738877,351.0,0,71.1,4.775,200701
112.913735,24.738877,352.5,0,72.89,4.6,200701
112.926572,24.738877,357.25,0,75.57,4.1,200701
112.939409,24.738877,362.25,0,78.13,4.15,200701
112.952246,24.738877,352.0,0,73.89,4.75,200701
112.965083,24.738877,340.0,0,71.88,5.3500000000000005,200701
112.97792,24.738877,331.75,0,72.36,5.775,200701
112.990757,24.738877,327.5,0,72.36,5.975,200701
113.003594,24.738877,323.25,0,74.91,6.074999999999999,200701
112.84955,24.747347,332.75,0,77.72,6.675000000000001,200701
112.862387,24.747347,340.0,0,78.76,6.199999999999999,200701
112.875224,24.747347,339.25,0,72.62,5.825,200701
112.888061,24.747347,342.75,0,71.88,5.425000000000001,200701
112.900898,24.747347,346.0,0,69.42,5.175,200701
112.913735,24.747347,353.0,0,71.58,4.675000000000001,200701
112.926572,24.747347,355.75,0,77.1,4.25,200701
112.939409,24.747347,361.25,0,76.48,4.074999999999999,200701
112.952246,24.747347,354.5,0,72.54,4.625,200701
112.965083,24.747347,342.75,0,75.42,5.300000000000001,200701
112.97792,24.747347,332.25,0,74.85,5.8500000000000005,200701
112.84955,24.755817,322.0,0,77.35,7.274999999999999,200701
112.862387,24.755817,325.25,0,78.27,6.9,200701
112.875224,24.755817,328.5,0,72.92,6.475,200701
112.888061,24.755817,337.5,0,69.0,5.825000000000001,200701
112.900898,24.755817,346.75,0,70.71,5.175000000000001,200701
112.913735,24.755817,355.5,0,69.15,4.575,200701
112.926572,24.755817,360.75,0,75.2,4.025,200701
112.939409,24.755817,365.75,0,76.54,3.825,200701
112.952246,24.755817,355.25,0,74.66,4.574999999999999,200701
112.965083,24.755817,349.0,0,76.88,5.074999999999999,200701
112.97792,24.755817,336.75,0,78.64,5.7,200701
112.84955,24.764287,319.0,0,77.82,7.574999999999999,200701
112.862387,24.764287,320.25,0,75.41,7.15,200701
112.875224,24.764287,325.5,0,69.85,6.625,200701
112.888061,24.764287,332.5,0,67.79,6.125,200701
112.900898,24.764287,341.75,0,70.91,5.5,200701
112.913735,24.764287,350.5,0,69.06,4.9,200701
112.926572,24.764287,359.75,0,71.65,4.175,200701
112.939409,24.764287,368.5,0,75.66,3.7,200701
112.952246,24.764287,367.5,0,76.44,4.15,200701
112.965083,24.764287,359.25,0,77.32,4.625,200701
112.97792,24.764287,343.0,0,73.79,5.4,200701
112.836713,24.772757,320.0,0,67.92,7.8,200701
112.84955,24.772757,321.5,0,74.81,7.475,200701
112.862387,24.772757,326.75,0,72.29,6.9,200701
112.875224,24.772757,334.0,0,68.24,6.324999999999999,200701
112.888061,24.772757,333.5,0,68.02,6.175,200701
112.900898,24.772757,338.5,0,67.4,5.749999999999999,200701
112.913735,24.772757,347.5,0,68.61,5.15,200701
112.926572,24.772757,356.75,0,70.58,4.574999999999999,200701
112.939409,24.772757,367.5,0,70.74,3.95,200701
112.952246,24.772757,374.25,0,75.59,3.95,200701
112.965083,24.772757,358.5,0,73.95,4.775,200701
112.97792,24.772757,345.75,0,71.14,5.275,200701
112.836713,24.781227,320.75,0,69.0,7.775,200701
112.84955,24.781227,320.25,0,71.69,7.3,200701
112.862387,24.781227,329.5,0,68.73,6.550000000000001,200701
112.875224,24.781227,346.25,0,68.14,5.699999999999999,200701
112.888061,24.781227,346.0,0,69.17,5.55,200701
112.900898,24.781227,345.25,0,66.55,5.45,200701
112.913735,24.781227,350.5,0,69.21,4.949999999999999,200701
112.926572,24.781227,357.5,0,70.86,4.5,200701
112.939409,24.781227,364.5,0,67.11,3.975000000000001,200701
112.952246,24.781227,373.75,0,73.85,3.65,200701
112.965083,24.781227,362.75,0,73.76,4.425,200701
112.97792,24.781227,345.0,0,70.97,5.25,200701
112.84955,24.789697,324.75,0,74.2,7.025,200701
112.862387,24.789697,332.0,0,67.84,6.375,200701
112.875224,24.789697,345.25,0,67.69,5.75,200701
112.888061,24.789697,348.75,0,71.23,5.4,200701
112.900898,24.789697,350.0,0,68.82,5.2,200701
112.913735,24.789697,357.25,0,67.7,4.574999999999999,200701
112.926572,24.789697,368.0,0,70.7,4.0,200701
112.939409,24.789697,371.25,0,68.38,3.6,200701
112.952246,24.789697,372.5,0,71.94,3.525,200701
112.965083,24.789697,366.25,0,72.03,4.2,200701
112.97792,24.789697,349.75,0,71.15,5.075,200701
112.84955,24.798167,327.0,0,72.77,6.85,200701
112.862387,24.798167,330.5,0,70.31,6.45,200701
112.875224,24.798167,330.5,0,69.87,6.375,200701
112.888061,24.798167,335.75,0,72.67,5.825,200701
112.900898,24.798167,348.75,0,68.37,5.25,200701
112.913735,24.798167,356.0,0,70.56,4.675,200701
112.926572,24.798167,364.75,0,69.72,4.1000000000000005,200701
112.939409,24.798167,370.0,0,70.37,3.575,200701
112.952246,24.798167,379.25,0,71.47,3.325,200701
112.965083,24.798167,371.0,0,70.62,3.825,200701
112.97792,24.798167,362.75,0,72.44,4.35,200701
112.875224,24.806637,317.5,0,71.24,6.925000000000001,200701
112.888061,24.806637,322.75,0,72.84,6.425000000000001,200701
112.900898,24.806637,338.0,0,70.21,5.7,200701
112.913735,24.806637,351.0,0,71.3,4.9,200701
112.926572,24.806637,362.0,0,69.93,4.3500000000000005,200701
112.939409,24.806637,367.25,0,70.56,3.85,200701
112.952246,24.806637,380.25,0,71.27,3.475,200701
112.965083,24.806637,375.5,0,69.9,3.675,200701
112.97792,24.806637,365.0,0,74.13,4.325,200701
112.875224,24.815107,314.0,0,70.22,7.025,200701
112.888061,24.815107,319.5,0,69.88,6.525,200701
112.900898,24.815107,338.75,0,70.46,5.699999999999999,200701
112.913735,24.815107,355.5,0,68.34,4.85,200701
112.926572,24.815107,364.75,0,70.25,4.2,200701
112.939409,24.815107,370.0,0,69.85,3.675,200701
112.952246,24.815107,383.25,0,69.13,3.475,200701
112.965083,24.815107,368.75,0,71.93,4.1000000000000005,200701
112.875224,24.823577,316.5,0,67.85,6.775,200701
112.888061,24.823577,322.25,0,70.6,6.5,200701
112.900898,24.823577,343.5,0,67.52,5.525,200701
