region_id,count,mean_value
1,528,0.338282
2,1020,0.171656
3,873,0.174632
4,953,0.137953
5,791,0.374654
6,832,0.325389
7,1176,0.336568
8,1204,0.262131
9,1204,0.185904
10,1201,0.173877
11,1227,0.184765
12,1050,0.157672
13,1222,0.179760
14,1176,0.180296
15,1609,0.305423
16,1204,0.370431
17,1643,0.356568
18,1746,0.355541
19,1586,0.364667
20,1204,0.365255
21,1204,0.366795
22,1204,0.353559
23,1204,0.227787
24,1176,0.184918
25,1204,0.160442
26,938,0.115944
27,780,0.183621
28,1176,0.282697
29,1204,0.355414
30,1204,0.368376
31,1204,0.368823
32,1204,0.347460
33,1176,0.353742
34,1204,0.356097
35,1204,0.366819
36,1204,0.360330
37,1204,0.309034
38,1176,0.170881
39,1410,0.114725
40,888,0.307226
41,1176,0.327175
42,1204,0.401265
43,1204,0.370468
44,1204,0.375637
45,1204,0.371516
46,1176,0.374217
47,1204,0.370484
48,1204,0.355152
49,1204,0.362211
50,1204,0.362745
51,1176,0.192303
52,1380,0.152142
53,1358,0.381225
54,1247,0.363864
55,1247,0.380851
56,1247,0.370687
57,1247,0.364323
58,1218,0.367094
59,1247,0.371518
60,1247,0.362210
61,1247,0.366920
62,1247,0.360293
63,1218,0.256413
64,1236,0.173648
65,828,0.375854
66,1176,0.363782
67,1204,0.362889
68,1204,0.359028
69,1204,0.352848
70,1204,0.353384
71,1176,0.364134
72,1204,0.369669
73,1204,0.369763
74,1204,0.376541
75,1204,0.361330
76,1249,0.279227
77,365,0.176979
78,705,0.373467
79,1176,0.358461
80,1204,0.351247
81,1204,0.368390
82,1204,0.367120
83,1204,0.366872
84,1176,0.369864
85,1204,0.368090
86,1204,0.357622
87,1204,0.367961
88,1372,0.362082
89,759,0.369950
90,1176,0.360203
91,1204,0.375791
92,1204,0.370670
93,1204,0.376532
94,1204,0.372770
95,1176,0.374928
96,1204,0.372172
97,1204,0.364187
98,1204,0.365502
99,1385,0.364133
100,1308,0.373319
101,1218,0.355711
102,1247,0.381675
103,1247,0.374730
104,1247,0.372442
105,1247,0.371677
106,1218,0.369352
107,1247,0.356592
108,1247,0.372655
109,1247,0.371981
110,1383,0.361008
111,704,0.294325
112,1204,0.398541
113,1176,0.384710
114,1204,0.378831
115,1204,0.372819
116,1204,0.368895
117,1204,0.374290
118,1176,0.363084
119,1204,0.345802
120,1204,0.365933
121,1204,0.370952
122,1298,0.371135
123,1052,0.250772
124,1204,0.340710
125,1176,0.371755
126,1204,0.371941
127,1204,0.370862
128,1204,0.371149
129,1204,0.371321
130,1176,0.370264
131,1204,0.369946
132,1204,0.365404
133,1204,0.368601
134,1251,0.361230
135,1443,0.339042
136,1176,0.370978
137,1204,0.375895
138,1204,0.369681
139,1204,0.369741
140,1204,0.361545
141,1176,0.364696
142,1204,0.368767
143,1204,0.371480
144,1204,0.367958
145,1188,0.357773
146,1342,0.316541
147,1303,0.372373
148,1247,0.366781
149,1247,0.376628
150,1247,0.369501
151,1247,0.371507
152,1218,0.363336
153,1247,0.360587
154,1247,0.366675
155,1247,0.367324
156,1161,0.348903
157,1190,0.360891
158,1204,0.367955
159,1204,0.367499
160,1204,0.365522
161,1176,0.358175
162,1204,0.369403
163,1204,0.369658
164,1204,0.366227
165,1172,0.363447
166,767,0.365993
167,1204,0.358632
168,1204,0.363173
169,1204,0.358641
170,1176,0.362768
171,1204,0.368113
172,1204,0.361240
173,1379,0.367633
174,559,0.360755
175,1204,0.355453
176,1204,0.371342
177,1204,0.358190
178,1054,0.367100
179,1060,0.364013
180,1145,0.372853
181,792,0.367884
182,1365,0.369153
183,1488,0.363787
184,1264,0.366360
185,1210,0.370808
186,654,0.218473
