year_month,region_id,longitude,latitude,ndvi
2015_08,1,112.954156,24.688673,0.853
2015_08,2,112.965106,24.687923,0.88629997
2015_08,3,112.978756,24.687773,0.88479996
2015_08,4,112.861906,24.697823,0.80399996
2015_08,5,112.888156,24.697973,0.861
2015_08,6,112.938256,24.697073,0.89199996
2015_08,7,112.952206,24.696623,0.7845
2015_08,8,112.965106,24.696623,0.75079995
2015_08,9,112.978006,24.696623,0.81949997
2015_08,10,112.990756,24.695123,0.8592
2015_08,11,113.003506,24.695873,0.83489996
2015_08,12,113.015806,24.695573,0.7748
2015_08,13,112.850656,24.702473,0.85249996
2015_08,14,112.862356,24.705023,0.85249996
2015_08,15,112.875106,24.702923,0.8782
2015_08,16,112.888006,24.705023,0.8734
2015_08,17,112.900906,24.703073,0.89959997
2015_08,18,112.913806,24.702773,0.875
2015_08,19,112.926556,24.702923,0.6999
2015_08,20,112.939306,24.705023,0.9032
2015_08,21,112.952206,24.705023,0.77489996
2015_08,22,112.965106,24.705023,0.8032
2015_08,23,112.978006,24.705023,0.8128
2015_08,24,112.990756,24.705023,0.8574
2015_08,25,113.003506,24.705023,0.81219995
2015_08,26,113.014606,24.707873,0.8031
2015_08,27,112.851406,24.713423,0.8286
2015_08,28,112.862356,24.713423,0.8487
2015_08,29,112.875106,24.713423,0.8067
2015_08,30,112.888006,24.713423,0.8164
2015_08,31,112.900906,24.713423,0.4477
2015_08,32,112.913806,24.713423,0.7769
2015_08,33,112.926556,24.713423,0.7626
2015_08,34,112.939306,24.713423,0.7614
2015_08,35,112.952206,24.713423,0.8563
2015_08,36,112.965106,24.713423,0.8041
2015_08,37,112.978006,24.713423,0.85319996
2015_08,38,112.990756,24.713423,0.8833
2015_08,39,113.005306,24.713423,0.77059996
2015_08,40,112.852156,24.724073,0.8849
2015_08,41,112.862356,24.721823,0.79109997
2015_08,42,112.875106,24.721823,0.824
2015_08,43,112.888006,24.721823,0.7801
2015_08,44,112.900906,24.721823,0.7655
2015_08,45,112.913806,24.721823,0.7662
2015_08,46,112.926556,24.721823,0.7711
2015_08,47,112.939306,24.721823,0.7205
2015_08,48,112.952206,24.721823,0.9262
2015_08,49,112.965106,24.721823,0.8642
2015_08,50,112.978006,24.721823,0.9076
2015_08,51,112.990756,24.721823,0.9076
2015_08,52,113.004856,24.721823,0.80719995
2015_08,53,112.860856,24.730373,0.8411
2015_08,54,112.875106,24.730373,0.84709996
2015_08,55,112.888006,24.730373,0.9325
2015_08,56,112.900906,24.730373,0.7632
2015_08,57,112.913806,24.730373,0.7632
2015_08,58,112.926556,24.730373,0.75619996
2015_08,59,112.939306,24.730373,0.77879995
2015_08,60,112.952206,24.730373,0.6572
2015_08,61,112.965106,24.730373,0.8677
2015_08,62,112.978006,24.730373,0.8764
2015_08,63,112.990756,24.730373,0.8556
2015_08,64,113.004256,24.730373,0.7859
2015_08,65,112.852006,24.736823,0.8576
2015_08,66,112.862356,24.738923,0.86499995
2015_08,67,112.875106,24.738923,0.86969995
2015_08,68,112.888006,24.738923,0.8329
2015_08,69,112.900906,24.738923,0.3523
2015_08,70,112.913806,24.738923,0.7568
2015_08,71,112.926556,24.738923,0.75339997
2015_08,72,112.939306,24.738923,0.766
2015_08,73,112.952206,24.738923,0.8979
2015_08,74,112.965106,24.738923,0.8718
2015_08,75,112.978006,24.738923,0.82809997
2015_08,76,112.990756,24.740873,0.842
2015_08,77,113.001856,24.737423,0.7883
2015_08,78,112.852006,24.747323,0.83769995
2015_08,79,112.862356,24.747323,0.8605
2015_08,80,112.875106,24.747323,0.8681
2015_08,81,112.888006,24.747323,0.8512
2015_08,82,112.900906,24.747323,0.73469996
2015_08,83,112.913806,24.747323,0.5543
2015_08,84,112.926556,24.747323,0.4423
2015_08,85,112.939306,24.747323,0.68759996
2015_08,86,112.952206,24.747323,0.83379996
2015_08,87,112.965106,24.747323,0.8605
2015_08,88,112.979356,24.747323,0.86329997
2015_08,89,112.850356,24.755723,0.8458
2015_08,90,112.862356,24.755723,0.8624
2015_08,91,112.875106,24.755723,0.8657
2015_08,92,112.888006,24.755723,0.82199997
2015_08,93,112.900906,24.755723,0.76919997
2015_08,94,112.913806,24.755723,0.41579998
2015_08,95,112.926556,24.755723,0.7055
2015_08,96,112.939306,24.755723,0.48749998
2015_08,97,112.952206,24.755723,0.9034
2015_08,98,112.965106,24.755723,0.9034
2015_08,99,112.979206,24.755723,0.8584
2015_08,100,112.848406,24.764273,0.78709996
2015_08,101,112.862356,24.764273,0.8055
2015_08,102,112.875106,24.764273,0.8757
2015_08,103,112.888006,24.764273,0.8757
2015_08,104,112.900906,24.764273,0.79459995
2015_08,105,112.913806,24.764273,0.8322
2015_08,106,112.926556,24.764273,0.8096
2015_08,107,112.939306,24.764273,0.90809995
2015_08,108,112.952206,24.764273,0.91819996
2015_08,109,112.965106,24.764273,0.922
2015_08,110,112.979056,24.764273,0.7869
2015_08,111,112.838506,24.771023,0.7741
2015_08,112,112.849606,24.772823,0.84029996
2015_08,113,112.862356,24.772823,0.8567
2015_08,114,112.875106,24.772823,0.86429995
2015_08,115,112.888006,24.772823,0.83379996
2015_08,116,112.900906,24.772823,0.7827
2015_08,117,112.913806,24.772823,0.82449996
2015_08,118,112.926556,24.772823,0.8641
2015_08,119,112.939306,24.772823,0.7047
2015_08,120,112.952206,24.772823,0.89839995
2015_08,121,112.965106,24.772823,0.9137
2015_08,122,112.978756,24.772823,0.8494
2015_08,123,112.838056,24.784523,0.7657
2015_08,124,112.849606,24.781223,0.83129996
2015_08,125,112.862356,24.781223,0.8472
2015_08,126,112.875106,24.781223,0.8634
2015_08,127,112.888006,24.781223,0.85749996
2015_08,128,112.900906,24.781223,0.8813
2015_08,129,112.913806,24.781223,0.8813
2015_08,130,112.926556,24.781223,0.87219995
2015_08,131,112.939306,24.781223,0.86139995
2015_08,132,112.952206,24.781223,0.5205
2015_08,133,112.965106,24.781223,0.8761
2015_08,134,112.978606,24.781223,0.8818
2015_08,135,112.847356,24.789623,0.8347
2015_08,136,112.862356,24.789623,0.7994
2015_08,137,112.875106,24.789623,0.8504
2015_08,138,112.888006,24.789623,0.8685
2015_08,139,112.900906,24.789623,0.87009996
2015_08,140,112.913806,24.789623,0.8911
2015_08,141,112.926556,24.789623,0.88619995
2015_08,142,112.939306,24.789623,0.8368
2015_08,143,112.952206,24.789623,0.8849
2015_08,144,112.965106,24.789623,0.5523
2015_08,145,112.978306,24.789623,0.88879997
2015_08,146,112.847806,24.799523,0.85819995
2015_08,147,112.862356,24.799223,0.82119995
2015_08,148,112.875106,24.798173,0.8657
2015_08,149,112.888006,24.798173,0.877
2015_08,150,112.900906,24.798173,0.88839996
2015_08,151,112.913806,24.798173,0.8885
2015_08,152,112.926556,24.798173,0.9077
2015_08,153,112.939306,24.798173,0.9077
2015_08,154,112.952206,24.798173,0.6791
2015_08,155,112.965106,24.798173,0.84709996
2015_08,156,112.977856,24.798173,0.6857
2015_08,157,112.874356,24.806723,0.8095
2015_08,158,112.888006,24.806723,0.8418
2015_08,159,112.900906,24.806723,0.7676
2015_08,160,112.913806,24.806723,0.7687
2015_08,161,112.926556,24.806723,0.81439996
2015_08,162,112.939306,24.806723,0.81399995
2015_08,163,112.952206,24.806723,0.88729995
2015_08,164,112.965106,24.806723,0.88729995
2015_08,165,112.977556,24.809423,0.86219996
2015_08,166,112.875256,24.815123,0.85819995
2015_08,167,112.888006,24.815123,0.85819995
2015_08,168,112.900906,24.815123,0.8759
2015_08,169,112.913806,24.815123,0.8861
2015_08,170,112.926556,24.815123,0.9201
2015_08,171,112.939306,24.815123,0.87729996
2015_08,172,112.952206,24.815123,0.8799
2015_08,173,112.966756,24.815123,0.86219996
2015_08,174,112.878106,24.826223,0.8685
2015_08,175,112.888006,24.823523,0.8933
2015_08,176,112.900906,24.823523,0.9174
2015_08,177,112.913806,24.823523,0.91359997
2015_08,178,112.926556,24.824273,0.9248
2015_08,179,112.939306,24.823373,0.92429996
2015_08,180,112.952206,24.823523,0.9187
2015_08,181,112.965706,24.823523,0.94409996
2015_08,182,112.886356,24.832073,0.9004
2015_08,183,112.900906,24.834173,0.9108
2015_08,184,112.915156,24.833723,0.9375
2015_08,185,112.888306,24.840623,0.87119997
2015_08,186,112.887856,24.850823,0.8774
